=== RC103_point0_p55, E = 2614.511 кэВ: плечо тормозного электронов обвязки (доля на историю; «умолчание − рычаг»)
арбитр: def60 (60000000) − killoutbrem60 (60000000)
плечо                                        [ 0.. 25%E)           [25.. 50%E)           [50.. 75%E)           [75..100%E)              0–50 кэВ            50–100 кэВ             0–100 кэВ           100–200 кэВ           200–400 кэВ             континуум                   пик
G4 def − killoutbrem                +2.121E-04 ±1.9E-05  +3.533E-06 ±1.6E-05  +4.183E-06 ±1.8E-05  +1.467E-06 ±1.4E-05  +1.051E-04 ±6.4E-06  +5.555E-05 ±6.0E-06  +1.607E-04 ±8.7E-06  +3.387E-05 ±8.0E-06  +1.153E-05 ±1.1E-05  +2.213E-04 ±3.4E-05  +0.000E+00 ±5.8E-06
наша def100 − outbrem0_100          +1.899E-04 ±1.5E-05  -3.180E-06 ±1.2E-05  +1.140E-06 ±1.4E-05  -5.230E-06 ±1.1E-05  +8.899E-05 ±4.9E-06  +5.139E-05 ±4.6E-06  +1.404E-04 ±6.7E-06  +2.480E-05 ±6.1E-06  +9.420E-06 ±8.4E-06  +1.826E-04 ±2.6E-05  +0.000E+00 ±4.6E-06
   наша/G4                                 0.895 ± 0.108        -0.900 ± 5.326         0.273 ± 3.487       -3.566 ± 34.512         0.846 ± 0.069         0.925 ± 0.129         0.874 ± 0.063         0.732 ± 0.250         0.817 ± 1.060         0.825 ± 0.172                     —
наша lbang1_100 − lbang1_outbrem0_100  +2.005E-04 ±1.5E-05  -3.930E-06 ±1.2E-05  -3.170E-06 ±1.4E-05  -2.100E-07 ±1.1E-05  +9.536E-05 ±4.9E-06  +5.102E-05 ±4.6E-06  +1.464E-04 ±6.7E-06  +2.843E-05 ±6.1E-06  +1.011E-05 ±8.4E-06  +1.932E-04 ±2.6E-05  +0.000E+00 ±4.6E-06
   наша/G4                                 0.945 ± 0.111        -1.112 ± 6.080        -0.758 ± 4.617        -0.143 ± 7.490         0.907 ± 0.072         0.918 ± 0.129         0.911 ± 0.065         0.839 ± 0.268         0.877 ± 1.102         0.873 ± 0.178                     —

уровни (доля на историю):
G4 def                                        1.1326E-02            7.5481E-03            9.6248E-03            5.7701E-03            1.2664E-03            1.0995E-03            2.3659E-03            1.9226E-03            3.5287E-03            3.4269E-02            1.0021E-03
наша def100                                   1.1306E-02            7.5157E-03            9.4490E-03            5.8319E-03            1.2339E-03            1.0770E-03            2.3109E-03            1.8973E-03            3.5663E-03            3.4103E-02            1.0450E-03
   наша/G4 def                                     0.998                 0.996                 0.982                 1.011                 0.974                 0.979                 0.977                 0.987                 1.011                 0.995                 1.043
наша lbang1_100                               1.1317E-02            7.5140E-03            9.4436E-03            5.8363E-03            1.2398E-03            1.0771E-03            2.3169E-03            1.9009E-03            3.5673E-03            3.4111E-02            1.0445E-03
   наша/G4 def                                     0.999                 0.995                 0.981                 1.011                 0.979                 0.980                 0.979                 0.989                 1.011                 0.995                 1.042
