AS80_Charoite	ok 117	НЕТ 0	строк с двумя и более именами 1 (наибольшее число имён 2)	ВСЕ СОШЛИСЬ
AS80_Th232_v2	ok 184	НЕТ 0	строк с двумя и более именами 3 (наибольшее число имён 2)	ВСЕ СОШЛИСЬ
AS80_UGlass	ok 185	НЕТ 0	строк с двумя и более именами 4 (наибольшее число имён 2)	ВСЕ СОШЛИСЬ
AS80_Onyx	ok 159	НЕТ 0	строк с двумя и более именами 3 (наибольшее число имён 2)	ВСЕ СОШЛИСЬ
ASN16_BrazilNuts	ok 177	НЕТ 0	строк с двумя и более именами 4 (наибольшее число имён 2)	ВСЕ СОШЛИСЬ
ASN16_Th232	ok 186	НЕТ 0	строк с двумя и более именами 3 (наибольшее число имён 2)	ВСЕ СОШЛИСЬ
AS80_Th232WT20	ok 214	НЕТ 0	строк с двумя и более именами 5 (наибольшее число имён 2)	ВСЕ СОШЛИСЬ
