ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
1180,398.070,240.660,263.032,84.492,138.819,105.666,0.450,17.948,0.000,0.000,0.146,0.000,0.000,0.000
1181,398.417,266.846,263.195,84.351,139.346,105.322,0.442,17.936,0.000,0.000,0.146,0.000,0.000,0.000
1182,398.764,266.029,263.358,84.211,139.876,104.975,0.434,17.925,0.000,0.000,0.145,0.000,0.000,0.000
1183,399.111,244.734,263.521,84.070,140.408,104.626,0.426,17.914,0.000,0.000,0.145,0.000,0.000,0.000
1184,399.458,216.031,263.684,83.930,140.941,104.275,0.418,17.903,0.000,0.000,0.144,0.000,0.000,0.000
1185,399.805,273.808,263.847,83.789,141.475,103.923,0.410,17.893,0.000,0.000,0.144,0.000,0.000,0.000
1186,400.152,258.844,264.010,83.649,142.008,103.570,0.402,17.883,0.000,0.000,0.143,0.000,0.000,0.000
1187,400.499,237.067,264.166,83.508,142.539,103.214,0.395,17.873,0.000,0.000,0.143,0.000,0.000,0.000
1188,400.846,245.770,264.315,83.368,143.063,102.855,0.387,17.864,0.000,0.000,0.142,0.000,0.000,0.000
1189,401.193,228.364,264.453,83.227,143.581,102.493,0.380,17.854,0.000,0.000,0.142,0.000,0.000,0.000
1190,401.541,218.735,264.582,83.087,144.092,102.129,0.373,17.844,0.000,0.000,0.141,0.000,0.000,0.000
1191,401.888,215.512,264.700,82.946,144.594,101.762,0.366,17.834,0.000,0.000,0.141,0.000,0.000,0.000
1192,402.235,255.068,264.806,82.806,145.087,101.392,0.359,17.824,0.000,0.000,0.141,0.000,0.000,0.000
1193,402.582,253.992,264.900,82.665,145.569,101.021,0.353,17.814,0.000,0.000,0.140,0.000,0.000,0.000
1194,402.929,241.659,264.982,82.525,146.041,100.648,0.346,17.804,0.000,0.000,0.140,0.000,0.000,0.000
1195,403.276,264.620,265.050,82.384,146.500,100.274,0.340,17.794,0.000,0.000,0.139,0.000,0.000,0.000
1196,403.623,231.363,265.105,82.244,146.946,99.898,0.334,17.785,0.000,0.000,0.139,0.000,0.000,0.000
1197,403.970,204.512,265.147,82.103,147.380,99.522,0.328,17.775,0.000,0.000,0.138,0.000,0.000,0.000
1198,404.317,240.400,265.174,81.963,147.798,99.145,0.323,17.766,0.000,0.000,0.138,0.000,0.000,0.000
1199,404.664,276.584,265.188,81.822,148.203,98.769,0.317,17.758,0.000,0.000,0.138,0.000,0.000,0.000
1200,405.011,250.659,265.186,81.682,148.591,98.393,0.312,17.749,0.000,0.000,0.137,0.000,0.000,0.000
1201,405.358,249.067,265.170,81.541,148.964,98.018,0.308,17.741,0.000,0.000,0.137,0.000,0.000,0.000
1202,405.705,211.512,265.140,81.401,149.319,97.644,0.303,17.733,0.000,0.000,0.136,0.000,0.000,0.000
1203,406.052,266.880,265.094,81.260,149.658,97.272,0.299,17.726,0.000,0.000,0.136,0.000,0.000,0.000
1204,406.399,221.881,265.030,81.120,149.976,96.900,0.295,17.720,0.000,0.000,0.136,0.000,0.000,0.000
1205,406.746,253.658,264.943,80.979,150.273,96.528,0.291,17.713,0.000,0.000,0.135,0.000,0.000,0.000
