spectrum,arm,what,name,A,B,changed
radon1,free,member,Bi-214,"141.5 Бк z=60 доля=40.9%","143.4 Бк z=60.2 доля=43.3%",*
radon1,free,member,Pb-212,"10.83 Бк z=12.8 доля=4.25%","11.25 Бк z=13.2 доля=4.67%",*
radon1,free,member,Ra-224,"10.83 Бк z=12.8 доля=0.228% по Pb-212","11.25 Бк z=13.2 доля=0.251% по Pb-212",*
radon1,free,member,Tl-208,"12.12 Бк z=5.72 доля=2.79%","13.41 Бк z=6.24 доля=3.19%",*
radon1,free,member,Esc-CsI,"774.9 Бк z=14.7 доля=6.08%","—",*
radon1,free,member,Ra-226,"< 30.1","< 30.3",*
radon1,free,member,Rn-222,"< 2.71e+03","< 2.73e+03",*
radon1,free,member,Pb-210,"< 67.2","< 37.3",*
radon1,free,member,Po-214,"< 2.72e+04","< 2.75e+04",*
radon1,free,member,Th-232,"< 594","< 583",*
radon1,free,member,Ac-228,"< 7.8","< 7.85",*
radon1,free,member,Th-228,"< 184","< 185",*
radon1,free,member,Rn-220,"< 2.17e+03","< 2.19e+03",*
radon1,free,member,Po-216,"< 1.61e+05","< 1.63e+05",*
radon1,free,member,Bi-212,"< 50.6","< 51.1",*
radon1,free,member,Po-210,"< 2.72e+04","< 2.75e+04",*
radon1,eq,chi2/ndf,,1.260,1.264,*
radon1,eq,gates,,"","рентген кристалла снят 1, вылет кристалла снят 1",
radon1,eq,layer,Pb-214,46.586,46.597,*
radon1,eq,layer,Bi-214,39.832,39.860,*
radon1,eq,layer,Ra-226,3.175,3.177,*
radon1,eq,layer,Pb-212,3.115,3.099,*
radon1,eq,layer,Ac-228,2.694,2.681,*
radon1,eq,layer,Pb-210,2.097,2.096,*
radon1,eq,layer,Tl-208,1.897,1.888,*
radon1,eq,layer,Bi-212,0.324,0.322,*
radon1,eq,layer,Ra-224,0.166,0.165,*
radon1,eq,layer,other,0.115,0.114,*
radon1,eq,member,Ra-226,"134.5 Бк z=116 доля=3.18%","134.5 Бк z=116 доля=3.18%",
radon1,eq,member,Rn-222,"134.5 Бк z=116 доля=0.0291%","134.5 Бк z=116 доля=0.0291%",
radon1,eq,member,Pb-214,"134.5 Бк z=116 доля=46.6%","134.5 Бк z=116 доля=46.6%",
radon1,eq,member,Bi-214,"134.5 Бк z=116 доля=39.8%","134.5 Бк z=116 доля=39.9%",*
radon1,eq,member,Pb-210,"134.5 Бк z=116 доля=2.1%","134.5 Бк z=116 доля=2.1%",
radon1,eq,member,Po-214,"134.5 Бк z=116 доля=0.00315%","134.5 Бк z=116 доля=0.00315%",
radon1,eq,member,Po-210,"134.5 Бк z=116 доля=0.000336%","134.5 Бк z=116 доля=0.000336%",
radon1,eq,member,Th-232,"7.794 Бк z=10.1 доля=0.0103%","7.754 Бк z=10.1 доля=0.0102%",*
