"Проба","ключ","ДО глотал","ДО код","ПОСЛЕ код","ПОСЛЕ назвал","зак. ДО","зак. ПОСЛЕ","зак. вывод","с"
"OrderProbe","--reff=x","НЕТ","0","2","да","0","0","тот же","0,6"
"RoiLoadProbe","--dirr=x","да","0","2","да","0","0","РАЗОШЁЛСЯ","0,1"
