BecquerelMonitor/AboutForm.cs:19	СТР	print	string.Format	this.label2.Text = string.Format(Resources.AboutVersionFormat,
BecquerelMonitor/AboutForm.cs:66	СТР	print	string.Format	AppUi.Report(string.Format(Resources.ERROpenLinkFailure, url, ex.Message),
BecquerelMonitor/AppLog.cs:351	ТИП	print	ToString	.GetName().Version.ToString();
BecquerelMonitor/AudioInputDeviceController.cs:77	ИНВ	print	concat	"BecqMoni: the audio input device could not be opened (id " + deviceId.ToString(CultureInfo.InvariantCulture) + ", "
BecquerelMonitor/AudioVolumeController.cs:41	ТИП	print	ToString	string a = stringBuilder.ToString();
BecquerelMonitor/AudioVolumeController.cs:64	ТИП	print	ToString	return device.FriendlyName + "(" + properties[guid].Value.ToString() + ")";
BecquerelMonitor/DocEnergySpectrum.cs:567	ТИП	print	ToString	base.GetType().ToString(),
BecquerelMonitor/DocEnergySpectrum.cs:1121	СТР	print	string.Format	string.Format(Properties.Resources.FsaNoFwhmSource, chosen.Name),
BecquerelMonitor/DocumentManager.cs:794	ИНВ	print	concat	resultData.SampleInfo.Name = fileName + "(" + list_count.ToString(CultureInfo.InvariantCulture) + ")";
BecquerelMonitor/DocumentManager.cs:820	ИНВ	print	concat	resultData.SampleInfo.Name = fileName + "(" + list_count.ToString(CultureInfo.InvariantCulture) + ")";
BecquerelMonitor/DocumentManager.cs:848	ИНВ	print	concat	resultData.BackgroundSpectrumFile = "BackgroundEnergySpectrum" + " (" + list_count.ToString(CultureInfo.InvariantCulture) + ")";
BecquerelMonitor/DocumentManager.cs:90	СТР	print	string.Format	string text = String.Format(Resources.ERRFileOpenFailure, filename, Resources.ERRSpectrumCheck) + "\n" + Resources.CalcResetQuesti
BecquerelMonitor/DocumentManager.cs:348	СТР	print	string.Format	string text = String.Format(Resources.ERRFileOpenFailure, filename, Resources.ERRSpectrumCheck) + "\n" + Resources.CalcResetQuesti
BecquerelMonitor/DocumentManager.cs:360	СТР	print	string.Format	string text = string.Format(Resources.ERRFileOpenFailure, filename, Detail(ex));
BecquerelMonitor/DocumentManager.cs:413	СТР	print	string.Format	string empty = string.Format(Resources.ERRFileOpenFailure, filename, "");
BecquerelMonitor/DocumentManager.cs:443	СТР	print	string.Format	string text = String.Format(Resources.ERRFileOpenFailure, pathname, Resources.ERRSpectrumCheck) + "\n" + Resources.CalcResetQuesti
BecquerelMonitor/DocumentManager.cs:453	СТР	print	string.Format	string text = string.Format(Resources.ERRFileOpenFailure, pathname, Detail(ex));
BecquerelMonitor/DocumentManager.cs:556	СТР	print	string.Format	string text = string.Format(Resources.ERRFileOpenFailure, filename, Detail(ex));
