родитель;дочерний;BR;пар;медиана;min;max
Cu70;Zn70;1;78;1.0004;0.9972;1.2161
Cu70m;Zn70;0.52;26;0.9212;0.7340;1.2083
Cu70m2;Zn70;0.932;5;0.9384;0.8742;0.9384
Cu71;Zn71;0.814087631724903;14;1.0004;0.9965;1.0195
Cu72;Zn72;1;30;0.7006;0.3142;0.8689
Cu73;Zn73;1;2;0.4707;0.4707;0.4707
Cu74;Zn74;1;23;0.8610;0.7808;0.9294
Cu76;Zn76;1;15;1.0011;1.0007;1.0014
Cu76m;Zn76;1;15;1.0011;1.0007;1.0014
Zn60;Cu60;1;1;0.6426;0.6426;0.6426
Zn61;Cu61;1;18;0.0780;0.0061;12.6820
Zn62;Cu62;1;11;0.2614;0.0669;0.2632
Zn63;Cu63;1;5;0.0813;0.0069;0.0847
Zn71;Ga71;1;20;0.3157;0.0774;0.3570
Zn71m;Ga71;1;119;0.9300;0.7537;4.9065
Zn72;Ga72;1;7;0.7096;0.6741;0.8678
Zn73;Ga73;1;3;0.0061;0.0061;0.0061
Zn75;Ga75;1;385;0.0943;0.0134;0.4881
Zn76;Ga76;1;117;0.7747;0.4658;0.8062
Zn77;Ga77;1;528;0.0788;0.0089;0.2857
Zn78;Ga78;1;358;0.1917;0.0248;0.5017
Zn79;Ga79;1;22;0.3111;0.0304;0.3127
Zn80;Ga80;1;46;0.3967;0.0893;1.7248
Ga60;Zn60;1;5;0.8703;0.7584;0.8716
Ga63;Zn63;1;4;0.1120;0.0099;0.1158
Ga64;Zn64;1;44;0.3652;0.1566;0.4724
Ga65;Zn65;1;45;0.5400;0.2729;0.5442
Ga66;Zn66;1;55;0.3622;0.0557;0.5874
Ga67;Zn67;1;5;1.0016;0.9998;1.0032
Ga72;Ge72;1;167;0.9400;0.6673;1.7387
Ga73;Ge73m;0.984464888018237;4;0.8099;0.8099;0.8104
Ga73;Ge73;0.0155351119817632;4;0.2549;0.2299;0.2856
