родитель;дочерний;BR;пар;медиана;min;max
Tc95;Mo95;1;3;0.0939;0.0938;0.0958
Tc95m;Mo95;0.9612;6;0.0658;0.0043;0.0660
Tc96;Mo96;1;63;1.0006;0.3550;1.9403
Tc96m;Mo96;0.02;7;0.9383;0.8901;0.9502
Tc98;Ru98;1;1;1.0025;1.0025;1.0025
Tc100;Ru100;0.999982;2;0.0663;0.0663;0.0663
Tc101;Ru101;1;16;0.0887;0.0078;0.0949
Tc102;Ru102;1;7;0.0674;0.0045;0.0722
Tc102m;Ru102;1;41;0.8433;0.7226;0.9676
Tc103;Ru103;1;36;0.1752;0.0295;0.2080
Tc104;Ru104;1;404;0.7939;0.6137;0.9045
Tc105;Ru105;1;276;0.1250;0.0037;0.6882
Tc106;Ru106;1;77;0.5419;0.1690;0.5663
Tc107;Ru107;1;426;1.0000;0.8364;1.8999
Tc108;Ru108;1;188;0.6674;0.5214;0.9426
Tc109;Ru109;1;29;1.2985;0.9316;6.0261
Tc110;Ru110;1;38;1.0569;0.1696;1.8105
Tc111;Ru111;1;13;0.3673;0.0580;0.4775
Tc112;Ru112;1;7;1.0602;1.0000;1.0602
Ru92;Tc92;1;175;0.9145;0.7854;0.9667
Ru93;Tc93m;0.00425404738589106;1;0.0543;0.0543;0.0543
Ru93;Tc93;0.995745952614109;1;0.0057;0.0057;0.0057
Ru93m;Tc93m;0.779927976176735;3;0.4944;0.4943;0.4944
Ru94;Tc94m;1;1;0.7588;0.7588;0.7588
Ru95;Tc95m;0.0258610477288257;3;1.2119;1.2119;1.2119
Ru95;Tc95;0.974138952271175;198;0.9605;0.3875;2.6538
Ru97;Tc97;0.999634216503252;5;0.8561;0.6795;0.8573
Ru101m;Ru101;1;1;0.9920;0.9920;0.9920
Ru103;Rh103m;0.98827780757493;2;0.9039;0.9039;0.9039
Ru103m;Ru103;1;1;0.9111;0.9111;0.9111
Ru105;Rh105m;0.286076714563672;16;0.4458;0.1432;0.5128
Ru105;Rh105;0.713923285436328;31;0.4725;0.0298;0.6678
Ru107;Rh107;1;98;0.0530;0.0019;0.4715
Ru108;Rh108;1;1;0.2800;0.2800;0.2800
Ru109;Rh109;1;802;0.2180;0.0018;0.2313
Ru110;Rh110m;1;9;0.0250;0.0137;0.0369
Ru111;Rh111;1;150;0.1650;0.0038;0.2253
Ru112;Rh112;1;4;0.0488;0.0390;0.0488
Ru113;Rh113;1;93;0.6642;0.0133;2.7502
Ru113m;Rh113;1;30;18.4862;1.2348;456.7928
Ru114;Rh114;1;2;0.1492;0.0581;0.2404
Rh94;Ru94;1;7;1.0000;1.0000;1.2252
Rh94m;Ru94;1;3;0.9843;0.7415;0.9843
Rh95;Ru95;1;64;0.6694;0.0169;3.3961
Rh96;Ru96;1;183;0.0100;0.0010;0.1101
Rh96m;Ru96;0.4;29;0.0964;0.0085;0.1177
Rh97;Ru97;1;63;0.7381;0.0989;0.8554
Rh97m;Ru97;0.941;131;0.3675;0.1848;1.8021
Rh98;Ru98;1;3;0.9725;0.8050;1.7848
