nucid;E_A;E_B;P;from_seq;z;a
152EU;1112.069;121.781;0.46403712297;14;62;152
152EU;1212.940;121.781;0.46403712297;22;62;152
152EU;1212.940;244.697;0.903097624853;22;62;152
152EU;1249.930;121.781;0.46403712297;17;62;152
152EU;1299.140;344.278;0.961630926051;20;64;152
152EU;1408.006;121.781;0.46403712297;20;62;152
152EU;1457.643;121.781;0.46403712297;22;62;152
152EU;1528.103;121.781;0.46403712297;25;62;152
176LU;201.820;88.350;0.145772594752;2;72;176
176LU;306.880;88.350;0.145772594752;3;72;176
176LU;306.880;201.820;0.780031201248;3;72;176
176LU;401.100;88.350;0.145772594752;4;72;176
176LU;401.100;201.820;0.780031201248;4;72;176
176LU;401.100;306.880;0.93049223039;4;72;176
133BA;53.162;79.614;0.00560914610957;4;55;133
133BA;53.162;80.997;0.251874133787;4;55;133
133BA;53.162;160.613;0.00135012146857;4;55;133
133BA;53.162;223.234;0.01574887645;4;55;133
133BA;53.162;302.853;0.637606334007;4;55;133
133BA;53.162;383.848;0.311151890995;4;55;133
133BA;79.614;80.997;0.369959304477;2;55;133
133BA;223.234;79.614;0.324520882237;3;55;133
133BA;223.234;80.997;0.332564870069;3;55;133
133BA;223.234;160.613;0.0781121763545;3;55;133
133BA;276.400;79.614;0.324520882237;4;55;133
133BA;276.400;80.997;0.332564870069;4;55;133
133BA;276.400;160.613;0.0781121763545;4;55;133
133BA;302.853;80.997;0.369959304477;3;55;133
133BA;356.017;80.997;0.369959304477;4;55;133
60CO;1173.228;1332.492;0.999837526402;4;28;60
134CS;475.350;563.246;0.818162382139;4;56;134
134CS;475.350;604.721;0.819203394326;4;56;134
134CS;475.350;1167.860;0.175659463445;4;56;134
134CS;563.246;604.721;0.994045666458;2;56;134
134CS;569.331;604.721;0.994043164788;6;56;134
134CS;569.331;795.800;0.996945009566;6;56;134
134CS;795.800;604.721;0.994045666458;3;56;134
134CS;801.900;563.246;0.818162382139;6;56;134
134CS;801.900;604.721;0.819203394326;6;56;134
134CS;801.900;1167.860;0.175659463445;6;56;134
134CS;1038.500;604.721;0.994045666458;4;56;134
134CS;1365.130;604.721;0.994045666458;6;56;134
88Y;898.042;1836.063;0.999607154388;2;38;88
207BI;1442.200;569.700;0.00684256910004;4;82;207
207BI;1442.200;897.800;0.970399327086;4;82;207
207BI;1770.230;569.700;0.97885669538;4;82;207
212PB;300.087;115.183;0.128205128205;8;83;212
212BI;288.200;39.857;0.0393700787402;2;81;208
212BI;452.800;39.857;0.0393700787402;4;81;208
212BI;785.370;727.330;0.986261378991;6;84;212
212BI;893.408;727.330;0.986261378991;11;84;212
212BI;952.120;727.330;0.986261378991;13;84;212
212BI;1078.620;727.330;0.986261378991;18;84;212
208TL;211.400;233.360;0.0118923181627;5;82;208
