device;curve;guid;rmx_present;format;phys;nodes;emin;emax;histories;hist_spent;noise_weighted_pct;valid_for_curve;curve_stamp;curve_phys;matrix_stamp;created_utc;build_seconds;bytes
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка;7fbb8fc3-24b8-440a-b750-80fb11b5a0e6;1;9;21;100;5;3000;1000000;838307102;3.864;1;"phys=21; hist=1000000; grid=6.1-3000 keV/97 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;d4e05fa74f4f151f9fe69da3d4ea1a67ddd729f93ba45e55c32f95376eb361b6";2026-09-19 12:34:52;224.5;443613
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Маринелли;41dc6e6a-c186-474f-96d3-4cc500538ab7;1;9;21;100;5;3000;1000000;375606504;2.896;1;"phys=21; hist=1000000; grid=6.1-3000 keV/97 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;86b36062c4935de6fe8d950d5fe9a8737fa6c1ec4ac328b2645e7e99ce25febd";2026-09-19 12:40:58;350.9;452369
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр;42333387-5295-4665-8c82-6e85c8498a18;1;9;21;100;5;3000;1000000;309315942;2.889;1;"phys=21; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;7b7ab5fe67ec1427d4065bfb12ecaf070d7e3c75e38b3056b0f4a92e0fe654f5";2026-09-19 12:46:37;258.6;449437
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка впритык;3b84ce13-d635-47d0-b734-62caa283e3f3;1;9;21;100;5;3000;1000000;237899993;2.686;1;"phys=21; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;f8e589c961a702d9819073974518796bb5c286ae13302912c4d47a7e22e79494";2026-09-19 12:49:32;112.8;447185
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр с боку;aa8a6ecb-5866-4f9d-b359-3c68dba82e5a;1;9;21;100;5;3000;1000000;287145735;2.849;1;"phys=21; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;babd9c39ad090af86e5578d45794554fe19418c92803f5e736e0fef28f64374f";2026-09-19 12:53:13;184.0;445861
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка в защите;c482e3bc-e2a8-491f-8759-5df93827eaef;1;9;21;100;5;3000;1000000;236013597;2.666;1;"phys=21; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;e81d249fd0c43761e84841cf1b72e94c4ead4ae142835c064962796c4aefe10c";2026-09-19 12:56:04;129.0;445533
Atom Spectra 80x80;Точка;4c5aa26d-d776-481f-96d8-c01022590f39;1;9;21;100;5;3000;1000000;250056441;2.727;1;"phys=21; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;1d1abf4378a3212a556d949f00f676878d1f0113eab5f496fe29626075c10d7c";2026-09-19 13:00:46;204.2;445421
Atom Spectra 80x80;Точка 10 см;5cb11287-beed-4fa3-bf52-21453effbdc8;1;9;21;100;5;3000;1000000;412154954;2.884;1;"phys=21; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;669634b98027df5c89625f11b00c275fdba4bf39f9dc42e9e2861c60602338e5";2026-09-19 13:07:13;314.2;445233
Atom Spectra 80x80;Th медальон;04cb27d4-6b6e-4c6c-b665-b6175d78bdcb;1;9;21;100;5;3000;1000000;261415507;2.777;1;"phys=21; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;8cc9552566a9bad8c160f83dd640a6df90c59813df89bd55c690d0dcba73055c";2026-09-19 13:11:13;186.3;452481
Atom Spectra 80x80;Цилиндр;50a57c5a-3237-4154-b269-b9fd1a2c7d88;1;9;21;100;5;3000;1000000;264377069;2.860;1;"phys=21; hist=1000000; grid=7.4-3000 keV/94 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;0e46cb53dfd7de7a04da021f7cf5c7444deaee8e2af7cc57977dbc18e86bb8a6";2026-09-19 13:15:39;211.2;445217
RC-103;Цилиндр;755bbe16-49f5-465c-8407-0e2520d106fd;1;9;21;100;5;3000;1000000;339270182;2.857;1;"phys=21; hist=1000000; grid=5.3-3000 keV/99 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1";21;"phys=21;9f8d5547fe5bd6f24cbf8ccf0e03dac9117c70df5f75af4d1404cbc60f3cfdb2";2026-09-19 13:20:32;229.7;445697
