call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,31,24,930,0,23,0,7.1270437627004077E-09,71.270437627004071,-569860.90982935613,-2.2158826822311721E-06,-310.91189503115709,1.3869794202037156E-11,0
2,31,24,930,0,23,0,7.1270437627004077E-09,71.270437627004071,-569860.90982935613,-2.2158826822311721E-06,-310.91189503115709,1.3869794202037156E-11,0
3,31,24,930,0,23,0,7.1268967366429258E-09,71.268967366429251,-492862.67633156996,-1.5787146586128371E-06,-221.5150179594828,1.2732925824820995E-11,0
4,31,24,930,0,23,0,7.1269011500348216E-09,71.269011500348213,-489319.50554723205,-1.4818731574673717E-06,-207.92671685366807,8.7538865045644343E-12,0
5,32,25,960,0,24,0,7.1270437627004077E-09,71.270437627004071,-569878.81258030643,-2.5711634723940547E-06,-360.76156650676313,1.4551915228366852E-11,0
6,32,25,960,0,24,0,7.1268964981818206E-09,71.2689649818182,-492823.54703928361,-1.9675669613090268E-06,-276.07626430536533,3.4674485505092889E-12,0
7,32,25,960,0,24,0,7.1269006346895466E-09,71.269006346895466,-489132.85392751341,-1.8677595379773543E-06,-262.07178038742438,3.865352482534945E-12,0
8,24,24,720,0,23,0,7.1270437627004077E-09,71.270437627004071,-569875.54851334775,-67.694520811209486,-9498260858.9399643,7.9580786405131221E-13,0
9,24,24,720,0,23,0,7.1268966567548694E-09,71.268966567548688,-492744.20132834068,-53.0159645895302,-7438856930.7065353,4.5474735088646412E-13,0
10,24,24,720,0,23,0,7.1269008127594195E-09,71.269008127594191,-489022.9324788964,-52.234679741602122,-7329227824.81909,4.5474735088646412E-13,0
11,24,24,720,0,23,0,7.1270437627004077E-09,71.270437627004071,-569875.54851334787,-67.694520811210282,-9498260858.9400749,7.9580786405131221E-13,0
12,24,24,720,0,23,0,7.1268966567548694E-09,71.268966567548688,-492744.2013283408,-53.015964589528721,-7438856930.7063284,9.0949470177292824E-13,0
13,24,24,720,0,23,0,7.1269008127594195E-09,71.269008127594191,-489022.93247889576,-52.234679741600985,-7329227824.81893,5.1159076974727213E-13,0
