spectrum,det,part,matrix,component,energy_kev,lines,intensity_pct,expected,measured,sigma,z,ratio,purity,decision,obligatory
AS80_Th232_v2,AS80x80,unknown,0,Bi-214,1390.64,4,8.5070,16360.8,15139.6,358.0,-3.41,0.9254,0.539,437.1,1
AS80_Th232_v2,AS80x80,unknown,0,Bi-214,1527.69,2,2.8350,32607.6,35870.6,309.0,10.56,1.1001,0.092,334.5,1
AS80_Th232_v2,AS80x80,unknown,0,Bi-214,1753.65,3,19.2060,21066.9,17580.8,233.4,-14.94,0.8345,0.916,278.3,1
AS80_Th232_v2,AS80x80,unknown,0,Bi-214,1847.43,1,2.0270,11619.9,11594.5,210.3,-0.12,0.9978,0.974,271.8,1
AS80_Th232_v2,AS80x80,unknown,0,Bi-214,2187.82,2,6.0760,5808.4,6734.7,229.1,4.04,1.1595,1.000,334.0,1
AS80_Th232_v2,AS80x80,unknown,0,Bi-214,2447.69,1,1.5450,7565.4,6897.7,182.9,-3.65,0.9117,0.207,253.8,1
AS80_Th232_v2,AS80x80,unknown,0,K-40,1460.82,1,10.6600,26237.4,26169.3,360.6,-0.19,0.9974,0.339,418.4,1
AS80_UGlass,AS80x80,unknown,0,Th-234,63.29,1,3.6650,413665.6,400761.1,1149.7,-11.22,0.9688,0.932,1336.5,1
AS80_UGlass,AS80x80,unknown,0,Th-234,92.46,3,4.2900,774134.5,824132.5,1431.1,34.94,1.0646,0.578,1449.0,1
AS80_UGlass,AS80x80,unknown,0,Th-234,112.81,1,0.2100,288017.8,264261.4,1235.2,-19.23,0.9175,0.270,1430.7,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,73.92,1,0.0130,295666.5,306880.7,1216.0,9.22,1.0379,0.002,1477.1,0
AS80_UGlass,AS80x80,unknown,0,Pa-234m,96.98,2,0.0176,786498.7,816211.0,1445.8,20.55,1.0378,0.001,1465.5,0
AS80_UGlass,AS80x80,unknown,0,Pa-234m,112.06,2,0.0052,301405.1,280507.6,1237.1,-16.89,0.9307,0.002,1424.6,0
AS80_UGlass,AS80x80,unknown,0,Pa-234m,258.23,1,0.0764,35812.7,28590.2,826.4,-8.74,0.7983,0.089,1009.3,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,691.00,1,0.0089,4092.2,3518.1,429.4,-1.34,0.8597,0.756,544.3,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,762.90,4,0.4889,22462.3,24898.8,430.4,5.66,1.1085,0.880,509.4,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,932.41,2,0.0229,21695.1,22214.9,401.1,1.30,1.0240,0.501,460.2,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,1001.03,1,0.8420,40658.9,40147.9,402.5,-1.27,0.9874,0.873,432.4,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,1193.73,1,0.0136,2028.5,3279.1,308.0,4.06,1.6165,0.280,372.4,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,1434.14,1,0.0097,20458.2,19977.3,420.0,-1.15,0.9765,0.032,467.5,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,1510.21,1,0.0131,17968.0,18783.1,331.9,2.46,1.0454,0.042,359.1,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,1745.81,2,0.0301,3947.1,3841.3,188.8,-0.56,0.9732,0.420,213.9,1
AS80_UGlass,AS80x80,unknown,0,Pa-234m,1843.97,2,0.0267,2911.6,3383.1,156.7,3.01,1.1619,0.541,175.9,1
AS80_UGlass,AS80x80,unknown,0,U-234,53.20,1,0.1228,202735.1,198926.3,894.8,-4.26,0.9812,0.215,1091.1,1
AS80_UGlass,AS80x80,unknown,0,U-234,120.90,1,0.0341,128473.8,116863.5,1164.9,-9.97,0.9096,0.094,1414.9,1
AS80_UGlass,AS80x80,unknown,0,U-235,92.05,2,9.1403,782229.1,834515.4,1455.5,35.92,1.0668,0.036,1485.9,1
AS80_UGlass,AS80x80,unknown,0,U-235,107.42,3,4.3472,501395.7,534232.8,1339.6,24.51,1.0655,0.042,1436.2,1
AS80_UGlass,AS80x80,unknown,0,U-235,143.76,1,10.9600,47947.6,56567.0,1106.5,7.79,1.1798,0.722,1377.9,1
AS80_UGlass,AS80x80,unknown,0,U-235,163.36,1,5.0800,78280.6,63357.8,1066.9,-13.99,0.8094,0.883,1324.9,1
AS80_UGlass,AS80x80,unknown,0,U-235,186.12,3,58.7100,170706.7,165920.1,1067.3,-4.48,0.9720,0.994,1256.7,1
AS80_UGlass,AS80x80,unknown,0,U-235,205.32,1,5.0200,105548.0,124741.3,999.1,19.21,1.1818,0.970,1182.2,1
AS80_UGlass,AS80x80,unknown,0,Pa-231,38.20,1,0.1451,22811.0,15767.4,524.5,-13.43,0.6912,0.009,708.7,0
AS80_UGlass,AS80x80,unknown,0,Pa-231,46.34,1,0.1863,37292.8,35193.8,669.5,-3.14,0.9437,0.007,905.2,0
AS80_UGlass,AS80x80,unknown,0,Pa-231,89.66,2,1.8666,748742.8,816825.2,1449.4,46.97,1.0909,0.003,1493.0,1
AS80_UGlass,AS80x80,unknown,0,Pa-231,104.11,1,0.5432,651663.3,694572.4,1404.1,30.56,1.0658,0.002,1451.6,0
AS80_UGlass,AS80x80,unknown,0,Pa-231,258.57,2,0.2874,35338.6,28225.7,821.1,-8.66,0.7987,0.033,1002.9,1
AS80_UGlass,AS80x80,unknown,0,Pa-231,296.73,3,6.3338,22721.2,23066.5,734.6,0.47,1.0152,0.269,893.2,1
AS80_UGlass,AS80x80,unknown,0,Pa-231,333.83,3,1.7014,22961.6,22559.3,691.2,-0.58,0.9825,0.133,835.2,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,82.76,2,40.8200,470041.9,483416.6,1314.5,10.17,1.0285,0.113,1490.8,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,95.52,2,11.6400,795290.2,828564.5,1454.8,22.87,1.0418,0.047,1477.4,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,122.32,1,1.3045,115655.7,109369.4,1156.7,-5.43,0.9456,0.020,1408.5,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,151.14,3,10.2316,51155.8,54585.8,1075.2,3.19,1.0671,0.225,1339.9,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,179.54,1,0.1609,164765.5,156633.8,1079.4,-7.53,0.9506,0.011,1281.2,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,269.67,2,13.4529,30763.1,25312.0,795.1,-6.86,0.8228,0.510,972.2,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,330.17,4,6.6196,22962.8,22739.3,693.4,-0.32,0.9903,0.331,837.8,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,371.68,1,0.4346,11511.6,13717.1,630.3,3.50,1.1916,0.183,772.4,1
AS80_UGlass,AS80x80,unknown,0,Ra-223,445.03,1,1.2184,2634.3,1209.7,539.1,-2.64,0.4592,0.540,678.1,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,57.77,1,0.4700,370658.5,369842.3,1061.3,-0.77,0.9978,0.000,1219.6,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,93.49,3,6.4700,789349.4,833249.3,1450.7,30.26,1.0556,0.002,1474.3,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,106.33,2,1.5400,555253.5,595678.4,1366.2,29.59,1.0728,0.002,1444.0,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,129.07,1,2.4200,76456.3,84670.5,1141.4,7.20,1.1074,0.009,1403.7,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,153.98,1,0.7220,54532.7,55435.1,1085.8,0.83,1.0165,0.004,1353.8,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,209.49,3,4.9650,73357.8,91798.0,959.8,19.21,1.2514,0.017,1149.6,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,270.25,1,3.4600,30773.1,25412.7,796.5,-6.73,0.8258,0.028,973.8,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,336.20,4,14.9890,22603.6,22103.4,684.4,-0.73,0.9779,0.163,827.1,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,409.46,1,1.9200,1459.0,3361.5,564.4,3.37,2.3039,0.379,706.0,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,463.00,1,4.4000,2565.7,691.7,531.2,-3.53,0.2696,0.452,669.5,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,508.96,1,0.4500,841.4,1123.5,515.4,0.55,1.3352,0.518,649.7,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,562.50,1,0.8700,2971.4,3678.1,518.0,1.36,1.2378,0.080,646.9,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,674.75,1,2.1000,2447.8,1018.6,433.9,-3.29,0.4161,0.240,553.4,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,779.42,5,7.8450,21515.9,23022.8,419.0,3.60,1.0700,0.094,495.9,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,836.18,3,3.0600,6874.1,6729.3,389.1,-0.37,0.9789,0.381,478.1,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,936.14,5,47.6400,23191.3,23687.9,399.9,1.24,1.0214,0.450,456.2,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,1110.61,1,0.2850,2869.6,3643.7,344.1,2.25,1.2698,0.025,416.0,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,1247.08,1,0.5000,1392.1,1529.6,289.8,0.47,1.0988,0.090,352.4,0
AS80_UGlass,AS80x80,unknown,0,Ac-228,1482.93,3,2.1500,20921.2,20635.3,376.8,-0.76,0.9863,0.034,412.5,1
AS80_UGlass,AS80x80,unknown,0,Ac-228,1602.51,4,5.8000,2419.1,2999.5,178.2,3.26,1.2400,0.609,206.3,1
AS80_UGlass,AS80x80,unknown,0,Pb-212,76.25,2,26.8038,276060.2,276687.2,1216.9,0.52,1.0023,0.053,1489.5,1
AS80_UGlass,AS80x80,unknown,0,Pb-212,87.95,2,7.5051,707871.7,780774.1,1441.3,50.58,1.1030,0.015,1505.8,1
AS80_UGlass,AS80x80,unknown,0,Pb-212,115.18,1,0.5964,209182.9,176760.3,1189.9,-27.25,0.8450,0.001,1415.9,0
