spectrum,kind,channels,first_ch,first_keV,thr_ch,thr_keV,how,pair_floor_keV,winner
ASN3_Tile,проба,2500,26,26.577,27,27.763,"рампа 26.58→27.76 кэВ (каналы 26→27; подошва 26.58, середина в канале 27 при уровне 8978, хвост 0)",27.763,проба
ASN3_Tile,фон,2500,26,23.797,27,25.045,"рампа 23.80→25.05 кэВ (каналы 26→27; подошва 23.80, середина в канале 27 при уровне 1347, хвост 0)",27.763,проба
ASN8_Am241,проба,8192,101,33.049,101,33.049,"жёсткий рез 33.05 кэВ (канал 101 уже на уровне 25749)",46.454,ФОН
ASN8_Am241,фон,8192,137,46.454,137,46.454,"жёсткий рез 46.45 кэВ (канал 137 уже на уровне 92)",46.454,ФОН
ASN8_Th232_1024,проба,1024,12,25.607,13,28.557,"рампа 25.61→28.56 кэВ (каналы 12→13; подошва 25.61, середина в канале 13 при уровне 88044, хвост 0)",44.616,ФОН
ASN8_Th232_1024,фон,1024,16,41.596,17,44.616,"рампа 41.60→44.62 кэВ (каналы 16→17; подошва 41.60, середина в канале 17 при уровне 775, хвост 0)",44.616,ФОН
ASN8_Th232_2048,проба,2048,24,26.131,25,27.602,"рампа 26.13→27.60 кэВ (каналы 24→25; подошва 26.13, середина в канале 25 при уровне 40849, хвост 0)",40.044,ФОН
ASN8_Th232_2048,фон,2048,33,40.044,33,40.044,"жёсткий рез 40.04 кэВ (канал 33 уже на уровне 366)",40.044,ФОН
ASN8_Th232_3000,проба,3000,34,25.515,34,25.515,"жёсткий рез 25.52 кэВ (канал 34 уже на уровне 51262)",38.596,ФОН
ASN8_Th232_3000,фон,3000,47,38.596,47,38.596,"жёсткий рез 38.60 кэВ (канал 47 уже на уровне 748)",38.596,ФОН
ASN8_Th232_4096,проба,4096,49,26.937,50,27.672,"рампа 26.94→27.67 кэВ (каналы 49→50; подошва 26.94, середина в канале 50 при уровне 46914, хвост 0)",38.886,ФОН
ASN8_Th232_4096,фон,4096,66,38.886,66,38.886,"жёсткий рез 38.89 кэВ (канал 66 уже на уровне 202)",38.886,ФОН
ASN8_Th232_8192,проба,8192,99,27.052,99,27.052,"жёсткий рез 27.05 кэВ (канал 99 уже на уровне 23344)",44.209,ФОН
ASN8_Th232_8192,фон,8192,132,44.209,132,44.209,"жёсткий рез 44.21 кэВ (канал 132 уже на уровне 103)",44.209,ФОН
ASN8_UGlass,проба,8192,101,24.073,101,24.073,"жёсткий рез 24.07 кэВ (канал 101 уже на уровне 38093)",37.581,ФОН
ASN8_UGlass,фон,8192,137,37.581,137,37.581,"жёсткий рез 37.58 кэВ (канал 137 уже на уровне 91)",37.581,ФОН
G1S16_Am241_P25,проба,1024,5,2.277,5,2.277,"подъём 7.96→16.50 кэВ (от подошвы к уровню 2452) шире рампы (5 кэВ) — порог по первому каналу 2.28",2.277,равны (ниже пусто — не применяется)
G1S16_Am241_P25,фон,1024,5,2.277,5,2.277,"подъём 5.12→16.50 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 2.28",2.277,равны (ниже пусто — не применяется)
G1S16_Am241_P5,проба,1024,5,1.234,5,1.234,"подъём 6.95→15.52 кэВ (от подошвы к уровню 18167) шире рампы (5 кэВ) — порог по первому каналу 1.23",1.234,равны (ниже пусто — не применяется)
G1S16_Am241_P5,фон,1024,5,1.234,5,1.234,"подъём 1.23→15.52 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.23",1.234,равны (ниже пусто — не применяется)
G1S16_Ba133_P25,проба,1024,5,8.925,5,8.925,"подъём 20.20→25.84 кэВ (от подошвы к уровню 23793) шире рампы (5 кэВ) — порог по первому каналу 8.92",8.925,равны (ниже пусто — не применяется)
G1S16_Ba133_P25,фон,1024,5,8.925,5,8.925,"подъём 11.74→23.02 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 8.92",8.925,равны (ниже пусто — не применяется)
G1S16_Ba133_P5,проба,1024,5,9.122,5,9.122,"подъём 20.30→25.90 кэВ (от подошвы к уровню 301188) шире рампы (5 кэВ) — порог по первому каналу 9.12",9.122,равны (ниже пусто — не применяется)
G1S16_Ba133_P5,фон,1024,5,9.122,5,9.122,"подъём 9.12→23.10 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 9.12",9.122,равны (ниже пусто — не применяется)
G1S16_Cd109_P25,проба,1024,5,9.359,5,9.359,"подъём от 9.36 кэВ кончается падением (пик на пороге) — порог по первому каналу",9.359,равны (ниже пусто — не применяется)
G1S16_Cd109_P25,фон,1024,5,9.359,5,9.359,"подъём 12.21→23.60 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 9.36",9.359,равны (ниже пусто — не применяется)
G1S16_Cd109_P5,проба,1024,5,7.937,5,7.937,"подъём от 7.94 кэВ кончается падением (пик на пороге) — порог по первому каналу",7.937,равны (ниже пусто — не применяется)
G1S16_Cd109_P5,фон,1024,5,7.937,5,7.937,"подъём 7.94→22.25 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 7.94",7.937,равны (ниже пусто — не применяется)
G1S16_Ce139_P25,проба,1024,5,9.049,5,9.049,"подъём 17.55→28.91 кэВ (от подошвы к уровню 1374) шире рампы (5 кэВ) — порог по первому каналу 9.05",9.049,равны (ниже пусто — не применяется)
G1S16_Ce139_P25,фон,1024,5,9.049,5,9.049,"подъём 11.88→23.23 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 9.05",9.049,равны (ниже пусто — не применяется)
G1S16_Ce139_P5,проба,1024,5,8.338,5,8.338,"подъём 22.59→28.29 кэВ (от подошвы к уровню 15186) шире рампы (5 кэВ) — порог по первому каналу 8.34",8.338,равны (ниже пусто — не применяется)
