spectrum,kind,channels,first_ch,first_keV,thr_ch,thr_keV,how,pair_floor_keV,winner
G1S24_Co60_P5,проба,1024,5,16.816,5,16.816,"подъём 25.07→33.34 кэВ (от подошвы к уровню 8818) шире рампы (5 кэВ) — порог по первому каналу 16.82",16.816,равны (ниже пусто — не применяется)
G1S24_Co60_P5,фон,1024,5,16.816,5,16.816,"подъём 19.57→33.34 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 16.82",16.816,равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120,проба,1024,5,6.691,5,6.691,"подъём 15.26→23.83 кэВ (от подошвы к уровню 382) шире рампы (5 кэВ) — порог по первому каналу 6.69",6.691,равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120,фон,1024,5,6.691,5,6.691,"подъём 9.55→23.83 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 6.69",6.691,равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120_2,проба,1024,5,7.148,5,7.148,"уровень не устоялся в 20 кэВ от 7.15 кэВ (растущий континуум) — порог по первому каналу",7.148,равны (ниже пусто — не применяется)
G1S24_Cs137_Denta120_2,фон,1024,5,7.148,5,7.148,"подъём 10.00→24.29 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.15",7.148,равны (ниже пусто — не применяется)
G1S24_Cs137_Mar,проба,1024,5,11.491,5,11.491,"подъём 19.90→28.32 кэВ (от подошвы к уровню 2271) шире рампы (5 кэВ) — порог по первому каналу 11.49",11.491,равны (ниже пусто — не применяется)
G1S24_Cs137_Mar,фон,1024,5,11.491,5,11.491,"подъём 14.29→28.32 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 11.49",11.491,равны (ниже пусто — не применяется)
G1S24_Cs137_Mar_2,проба,1024,5,7.923,5,7.923,"подъём 13.55→27.66 кэВ (от подошвы к уровню 3749) шире рампы (5 кэВ) — порог по первому каналу 7.92",7.923,равны (ниже пусто — не применяется)
G1S24_Cs137_Mar_2,фон,1024,5,7.923,5,7.923,"подъём 10.74→24.83 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.92",7.923,равны (ниже пусто — не применяется)
G1S24_Cs137_P25,проба,1024,5,11.400,5,11.400,"подъём 19.69→28.00 кэВ (от подошвы к уровню 11039) шире рампы (5 кэВ) — порог по первому каналу 11.40",11.400,равны (ниже пусто — не применяется)
G1S24_Cs137_P25,фон,1024,5,11.400,5,11.400,"подъём 16.93→30.77 кэВ (от подошвы к уровню 7422) шире рампы (5 кэВ) — порог по первому каналу 11.40",11.400,равны (ниже пусто — не применяется)
G1S24_Cs137_P5,проба,1024,5,10.748,5,10.748,"подъём 18.99→29.99 кэВ (от подошвы к уровню 67042) шире рампы (5 кэВ) — порог по первому каналу 10.75",10.748,равны (ниже пусто — не применяется)
G1S24_Cs137_P5,фон,1024,5,10.748,5,10.748,"подъём 13.49→27.24 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 10.75",10.748,равны (ниже пусто — не применяется)
