scene,E_keV,material,rho,eps,err_pct,eps_air,err_air_pct,F_mc,Cs_mc,Cs_mc_err_pct,Cs_deb_total,Cs_deb_nocoh,Cs_formula,d_mc_deb_total_pct,d_mc_formula_pct,mu_rho_total,mu_rho_nocoh
J,238.6,H2O,1,1.233667E-001,0.095,1.421955E-001,0.091,0.86759,1.15262,0.132,1.14046,1.13935,,1.067,,0.128694,0.127715
J,238.6,SiO2,0.02,1.419182E-001,0.091,1.421955E-001,0.091,0.99805,1.00195,0.129,1.00246,1.00242,1.00234,-0.050,-0.039,0.117328,0.115394
J,238.6,SiO2,0.4,1.352576E-001,0.092,1.421955E-001,0.091,0.95121,1.05129,0.130,1.04988,1.04904,1.04786,0.135,0.328,0.117328,0.115394
J,238.6,SiO2,0.8,1.283751E-001,0.094,1.421955E-001,0.091,0.90281,1.10766,0.131,1.10130,1.09958,1.09800,0.577,0.879,0.117328,0.115394
J,238.6,SiO2,1.2,1.221102E-001,0.096,1.421955E-001,0.091,0.85875,1.16449,0.132,1.15426,1.15160,1.15055,0.886,1.211,0.117328,0.115394
J,238.6,SiO2,1.6,1.163228E-001,0.097,1.421955E-001,0.091,0.81805,1.22242,0.133,1.20874,1.20510,1.20561,1.132,1.394,0.117328,0.115394
J,238.6,SiO2,2,1.108478E-001,0.099,1.421955E-001,0.091,0.77955,1.28280,0.135,1.26473,1.26006,1.26331,1.429,1.543,0.117328,0.115394
J,238.6,SiO2,2.4,1.058841E-001,0.101,1.421955E-001,0.091,0.74464,1.34293,0.136,1.32221,1.31646,1.32376,1.567,1.448,0.117328,0.115394
J,238.6,SiO2,2.8,1.010697E-001,0.103,1.421955E-001,0.091,0.71078,1.40690,0.138,1.38116,1.37429,1.38711,1.864,1.427,0.117328,0.115394
J,338.3,H2O,1,1.020267E-001,0.108,1.159842E-001,0.104,0.87966,1.13680,0.150,1.12299,1.12244,,1.230,,0.113248,0.112759
J,338.3,SiO2,0.02,1.156747E-001,0.104,1.159842E-001,0.104,0.99733,1.00268,0.147,1.00215,1.00213,1.00205,0.053,0.063,0.102503,0.101532
J,338.3,SiO2,0.4,1.106329E-001,0.106,1.159842E-001,0.104,0.95386,1.04837,0.148,1.04349,1.04307,1.04179,0.468,0.632,0.102503,0.101532
J,338.3,SiO2,0.8,1.055508E-001,0.107,1.159842E-001,0.104,0.91004,1.09885,0.149,1.08816,1.08730,1.08532,0.982,1.246,0.102503,0.101532
J,338.3,SiO2,1.2,1.009936E-001,0.108,1.159842E-001,0.104,0.87075,1.14843,0.150,1.13400,1.13269,1.13068,1.272,1.570,0.102503,0.101532
J,338.3,SiO2,1.6,9.651874E-002,0.110,1.159842E-001,0.104,0.83217,1.20168,0.152,1.18102,1.17921,1.17793,1.749,2.016,0.102503,0.101532
J,338.3,SiO2,2,9.251324E-002,0.112,1.159842E-001,0.104,0.79764,1.25370,0.153,1.22918,1.22688,1.22715,1.995,2.164,0.102503,0.101532
J,338.3,SiO2,2.4,8.864374E-002,0.113,1.159842E-001,0.104,0.76427,1.30843,0.154,1.27850,1.27566,1.27844,2.341,2.346,0.102503,0.101532
J,338.3,SiO2,2.8,8.499339E-002,0.115,1.159842E-001,0.104,0.73280,1.36463,0.155,1.32895,1.32557,1.33186,2.685,2.460,0.102503,0.101532
J,583.2,H2O,1,6.671005E-002,0.140,7.413053E-002,0.136,0.89990,1.11123,0.195,1.09775,1.09756,,1.229,,0.090663,0.090498
J,583.2,SiO2,0.02,7.396286E-002,0.136,7.413053E-002,0.136,0.99774,1.00227,0.193,1.00171,1.00170,1.00164,0.055,0.063,0.081736,0.081407
J,583.2,SiO2,0.4,7.133191E-002,0.137,7.413053E-002,0.136,0.96225,1.03923,0.194,1.03458,1.03444,1.03329,0.449,0.575,0.081736,0.081407
J,583.2,SiO2,0.8,6.853014E-002,0.139,7.413053E-002,0.136,0.92445,1.08172,0.195,1.06992,1.06963,1.06769,1.103,1.314,0.081736,0.081407
J,583.2,SiO2,1.2,6.618674E-002,0.140,7.413053E-002,0.136,0.89284,1.12002,0.196,1.10600,1.10556,1.10323,1.268,1.522,0.081736,0.081407
J,583.2,SiO2,1.6,6.387267E-002,0.142,7.413053E-002,0.136,0.86162,1.16060,0.197,1.14283,1.14223,1.13996,1.555,1.811,0.081736,0.081407
J,583.2,SiO2,2,6.147406E-002,0.144,7.413053E-002,0.136,0.82927,1.20588,0.198,1.18040,1.17963,1.17791,2.159,2.375,0.081736,0.081407
J,583.2,SiO2,2.4,5.937019E-002,0.145,7.413053E-002,0.136,0.80089,1.24862,0.199,1.21870,1.21777,1.21712,2.455,2.588,0.081736,0.081407
J,583.2,SiO2,2.8,5.743736E-002,0.147,7.413053E-002,0.136,0.77481,1.29063,0.200,1.25774,1.25663,1.25764,2.616,2.624,0.081736,0.081407
J,911.2,H2O,1,4.630670E-002,0.173,5.065276E-002,0.169,0.91420,1.09385,0.242,1.07927,1.07919,,1.351,,0.073926,0.073858
