key,det,part,component,kind,keV,intensity_pct,min_range_keV,curve_floor_keV,col_norm,col_sum,col_sum_below,amplitude,area,area_below,continuum_share,model_share,degenerate
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.612,22.7723,30.00,16.00,1.18474E-06,0.0280796,0.01842,0,0,0,0.000147,0.224982,0
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.317,12.2606,30.00,16.00,6.10337E-07,0.0146385,0.0100877,0,0,0,0.000149,0.220175,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.612,46.6215,30.00,20.00,2.09682E-05,0.0284196,0.0191422,4.35204E+06,123683,83307.6,0.108395,0.192714,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.317,25.101,30.00,20.00,1.05146E-05,0.0142973,0.0101967,4.35204E+06,62222.4,44376.4,0.095996,0.170538,0
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,Nuisance,29.154,0.0469259,30.00,20.00,2.39894E-08,3.23404E-05,1.9308E-05,3.90376E+07,1262.49,753.739,0.135838,0.970850,0
G1S16_Am241_P25,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,2.79553E-07,3.68626E-05,3.60044E-05,6.82147E+07,2514.57,2456.03,0.107137,0.107137,0
G1S16_Ba133_P25,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,1.53674E-09,3.39877E-06,3.33218E-06,0,0,0,0.041964,0.053025,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,6.26917E-06,0.000271511,0.000271402,485971,131.946,131.893,0.000000,0.000000,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,1.19449E-05,0.000527222,0.000527018,485971,256.214,256.115,0.000000,0.000000,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,6.16351E-06,0.000224627,0.000202334,485971,109.162,98.3283,0.000443,0.000454,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,1.07507E-06,4.03338E-05,3.6769E-05,485971,19.6011,17.8687,0.000370,0.000379,0
G1S16_Am241_P5,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,6.00423E-07,0.000631363,0.000615065,1.06922E+07,6750.65,6576.39,0.176593,0.176599,0
G1S16_Ba133_P5,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,7.10335E-09,5.74119E-05,5.58711E-05,0,0,0,0.540857,0.650686,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,3.18052E-05,0.0044877,0.00446866,88386.3,396.651,394.968,0.000021,0.057407,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,6.03398E-05,0.00872737,0.00869188,88386.3,771.38,768.243,0.000020,0.056560,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,7.66709E-05,0.00381202,0.0032158,88386.3,336.93,284.233,0.004072,0.510201,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,1.31119E-05,0.000686778,0.000591799,88386.3,60.7018,52.307,0.003520,0.476224,0
G1S24_Am241_P5,G1S24,known,Am-241,Single,26.345,2.27,30.00,20.00,1.88497E-07,0.000631523,0.000544798,1.19142E+08,75240.9,64908.3,0.000000,0.000000,0
G1S24_Ba133_P5,G1S24,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,2.75021E-09,5.74302E-05,5.54952E-05,0,0,0,0.000000,0.033144,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.65055E-05,0.00449015,0.00448724,400684,1799.13,1797.96,0.000023,0.000065,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,22.163,55.1289,30.00,20.00,3.14692E-05,0.00873172,0.00872631,400684,3498.66,3496.49,0.000023,0.000065,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.030,15.2723,30.00,20.00,3.15064E-05,0.00381318,0.00367305,400684,1527.88,1471.73,0.000616,0.000697,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.454,2.65737,30.00,20.00,5.34748E-06,0.000687,0.000664752,400684,275.27,266.355,0.000541,0.000621,0
