key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.23,16.00,2,2,60.8068,52.20,249221972.4,35083063.9,5851827.1,287959.3,5563867.8,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,20.00,3,3,22.4109,23.84,45553353.9,531567.0,269330.4,129725.5,139604.9,128437.7
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,3.02,20.00,2,0,14.6905,63.24,7646138.8,51326.2,46128.6,0.0,46128.6,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,30.00,0,0,3.4275,15.20,4359770.1,198742.4,147169.4,144484.1,2685.3,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,1.47,30.00,0,0,0.3579,0.00,34951.8,1809.9,1426.8,1421.3,5.5,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,30.00,0,0,5.9294,86.87,771320.0,-53194.9,48.2,0.0,48.2,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,7.23,20.00,3,1,2.4577,41.44,94246.7,12175.9,8628.1,349.5,8278.6,2456.0
G1S16_Ba133_P25,G1S16,known,30.00,20.00,2.29,20.00,3,1,9.3261,74.89,379354.2,113010.6,10090.9,804.6,9286.3,0.0
G1S16_Cd109_P25,G1S16,known,30.00,20.00,2.29,20.00,6,4,2.0657,93.09,16365.2,12908.6,520.3,16.9,503.4,504.2
G1S16_Ce139_P25,G1S16,known,30.00,20.00,2.28,20.00,2,0,1.9614,72.49,18116.3,4959.6,617.0,266.7,350.3,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,20.00,2,0,1.9355,5.66,430170.2,1321.8,771.0,771.0,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,2.28,20.00,2,0,4.6375,32.27,452832.7,25945.6,5788.8,109.0,5679.7,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,2.29,20.00,2,0,9.3195,54.43,864447.8,43881.2,20940.7,19710.5,1230.2,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,20.00,2,0,1.8158,9.01,184435.3,2925.6,2241.3,2241.3,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,20.00,2,0,4.5265,8.38,1445830.2,17182.5,12213.1,12213.1,0.0,0.0
G1S16_Th228_P25,G1S16,known,30.00,20.00,5.29,20.00,2,0,1.2729,13.10,60416.6,723.2,601.9,497.1,104.8,0.0
G1S16_Y88_P25,G1S16,known,30.00,20.00,5.12,20.00,2,0,1.2240,26.03,6894.6,-34.8,0.0,0.0,0.0,0.0
G1S16_Am241_P5,G1S16,known,30.00,20.00,4.07,20.00,3,1,8.1861,76.32,664962.7,91527.7,25620.1,2679.0,22941.1,6576.4
G1S16_Ba133_P5,G1S16,known,30.00,20.00,1.25,20.00,3,1,34.7359,73.90,4673220.2,1505550.0,100975.4,68409.2,32566.2,0.0
G1S16_Cd109_P5,G1S16,known,30.00,20.00,1.26,20.00,6,4,6.0128,97.56,240792.8,182142.0,1620.2,123.4,1496.9,1499.8
G1S16_Ce139_P5,G1S16,known,30.00,20.00,1.25,20.00,2,0,6.7914,79.80,249576.7,68732.0,2206.4,68.6,2137.8,0.0
G1S16_Co57_P5,G1S16,known,30.00,20.00,4.07,20.00,2,0,1.0481,15.34,8186.8,43.0,51.2,51.2,0.0,0.0
G1S16_Co60_P5,G1S16,known,30.00,20.00,1.24,20.00,2,0,9.7627,13.83,2911373.2,34623.2,29108.3,29108.3,0.0,0.0
G1S16_Cs137_P5,G1S16,known,30.00,20.00,1.43,20.00,2,0,22.6323,50.83,4955835.8,438940.0,209083.3,126309.5,82773.8,0.0
G1S16_Eu152_P5,G1S16,known,30.00,20.00,1.25,20.00,2,0,32.1733,54.58,5019321.6,259739.0,114814.6,110523.1,4291.5,0.0
G1S16_Mn54_P5,G1S16,known,30.00,20.00,0.89,20.00,2,0,4.1573,13.69,656470.7,27129.8,25659.7,25659.7,0.0,0.0
G1S16_Na22_P5,G1S16,known,30.00,20.00,20.80,20.00,2,0,18.9646,20.11,5185070.6,6440.6,2109.8,2142.9,-33.1,0.0
G1S16_Th228_P5,G1S16,known,30.00,20.00,1.01,20.00,2,0,4.2587,30.27,365610.8,7721.3,7974.2,6932.8,1041.4,0.0
G1S16_Y88_P5,G1S16,known,30.00,20.00,7.97,20.00,2,0,1.3170,9.52,50508.2,390.0,232.3,232.3,0.0,0.0
G1S24_Cs137_P25,G1S24,known,30.00,20.00,11.31,20.00,2,0,3.8844,14.40,965016.9,13209.3,14362.4,8.6,14353.8,0.0
G1S24_Na22_P25,G1S24,known,30.00,20.00,5.23,20.00,2,0,18.1857,23.54,4807167.8,51990.7,48847.1,48847.1,0.0,0.0
G1S24_Th228_P25,G1S24,known,30.00,20.00,10.33,20.00,2,0,4.9712,13.99,1592342.3,11272.6,11295.2,6110.5,5184.7,0.0
G1S24_Y88_P25,G1S24,known,30.00,20.00,11.17,20.00,2,0,2.1060,5.73,513855.6,1593.3,1386.6,1386.6,0.0,0.0
G1S24_Am241_P5,G1S24,known,30.00,20.00,5.39,20.00,3,1,11.9863,48.47,3407676.8,335531.4,184872.3,11.8,184860.5,64908.3
G1S24_Ba133_P5,G1S24,known,30.00,20.00,4.92,20.00,3,1,31.9917,61.54,8693353.3,2121574.3,395213.2,7.1,395206.0,0.0
G1S24_Bi207_P5,G1S24,known,30.00,20.00,15.05,20.00,2,0,48.0429,52.69,14994588.8,26980.3,32355.3,29788.1,2567.2,0.0
G1S24_Cd109_P5,G1S24,known,30.00,20.00,3.88,20.00,6,4,3.4493,88.72,60818.6,36000.4,7038.5,7.5,7031.0,7032.5
