spectrum,det,n,tag_pipeline,tag_choose,null_worst_kev,null_worst_fwhm,null_worst_cause,shift_weakest_fwhm,shift_weakest_cause,pipe_null_worst_kev,pipe_null_worst_fwhm,pipe_shift_weakest_fwhm,trace
G1S24_Cs137_Denta120_2,G1S24,4,affine,gain,0.0,0.0,neutral,0.2382,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.191); gain=ok(0.120,paid); affine=ok(0.122,paid)"
G1S24_K40_Denta120,G1S24,8,gain,poly2,0.0,0.0,neutral,0.359,reacted,,,,"poly1=extrap_below; stored=ok(0.172); gain=ok(0.124,paid); affine=ok(0.090,paid); poly2=ok(0.066,paid)"
G1S24_K40_Denta120_2,G1S24,4,poly2,poly2,0.0,0.0,neutral,0.7925,reacted,,,,"poly1=extrap_below; stored=ok(0.173); gain=ok(0.117,paid); affine=ok(0.118,paid); poly2=ok(0.073,paid)"
G1S24_Ra226_Denta120,G1S24,11,affine,affine,0.0,0.0,neutral,1.2914,reacted,,,,"poly1=extrap_below; stored=ok(0.217); gain=ok(0.210,paid); affine=ok(0.095,paid); poly2=ok(0.217,paid)"
G1S24_Ra226_Denta120_2,G1S24,11,affine,affine,0.0,0.0,neutral,1.1249,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.112); gain=ok(0.107,paid); affine=ok(0.076,paid)"
G1S24_Th232_Denta120,G1S24,9,gain/robust,gain,0.0,0.0,neutral,0.212,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.200); gain=ok(0.163,paid); affine=ok(0.164,paid)"
G1S24_Th232_Denta120_2,G1S24,11,affine/robust,gain,0.0,0.0,neutral,0.2021,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.182); gain=ok(0.124,paid); affine=ok(0.126,paid)"
G1S24_Cs137_Mar,G1S24,3,affine,affine,0.0,0.0,neutral,1.9514,reacted,,,,"poly2=count; poly1=extrap_below; stored=ok(0.186); gain=ok(0.182,paid); affine=ok(0.039,paid)"
G1S24_Cs137_Mar_2,G1S24,4,affine,affine,0.0,0.0,neutral,0.5942,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.182); gain=ok(0.139,paid); affine=ok(0.119,paid)"
G1S24_K40_Mar,G1S24,4,stored,stored,31.2532,0.6376,gate:extrap_below,0.0,frozen,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.288); gain=ok(0.289,paid); affine=ok(0.267,paid)"
G1S24_K40_Mar_2,G1S24,2,gain,gain,35.3282,9.0307,unlock,0.2046,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.267); gain=ok(0.152,paid)"
G1S24_Ra226_Mar,G1S24,12,affine,affine,0.0,0.0,neutral,0.9021,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.169); gain=ok(0.151,paid); affine=ok(0.069,paid)"
G1S24_Ra226_Mar_2,G1S24,13,affine,affine,0.0,0.0,neutral,0.8448,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.091); gain=ok(0.068,paid); affine=ok(0.044,paid)"
G1S24_Th232_Mar,G1S24,9,poly2,poly2,0.0,0.0,neutral,0.4536,reacted,,,,"poly1=extrap_below; stored=ok(0.113); gain=ok(0.117,paid); affine=ok(0.114,paid); poly2=ok(0.062,paid)"
G1S24_Th232_Mar_2,G1S24,9,affine,affine,0.0,0.0,neutral,0.6833,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.095); gain=ok(0.078,paid); affine=ok(0.064,paid)"
G1S24_Cs137_Petri,G1S24,3,poly2,affine,0.0,0.0,neutral,3.2986,reacted,,,,"poly2=count; poly1=extrap_below; stored=ok(0.333); gain=ok(0.155,paid); affine=ok(0.084,paid)"
G1S24_Cs137_Petri_2,G1S24,3,poly2,affine,0.0,0.0,neutral,0.6034,reacted,,,,"poly2=count; poly1=extrap_below; stored=ok(0.248); gain=ok(0.219,paid); affine=ok(0.185,paid)"
G1S24_K40_Petri,G1S24,8,poly2,gain,0.0,0.0,neutral,0.1614,reacted,,,,"poly1=extrap_below; stored=ok(0.153); gain=ok(0.105,paid); affine=ok(0.118,paid); poly2=ok(0.098,paid)"
G1S24_K40_Petri_2,G1S24,2,gain,gain,17.4816,3.6067,unlock,0.1089,reacted,,,,"affine=count; poly1=count; poly2=count; stored=ok(0.136); gain=ok(0.068,paid)"
G1S24_Ra226_Petri,G1S24,10,affine/robust,poly2,0.0,0.0,neutral,1.098,reacted,,,,"poly1=extrap_below; stored=ok(0.174); gain=ok(0.105,paid); affine=ok(0.082,paid); poly2=ok(0.072,paid)"
G1S24_Ra226_Petri_2,G1S24,15,affine,affine,0.0,0.0,neutral,1.5429,reacted,,,,"poly1=extrap_below; stored=ok(0.264); gain=ok(0.257,paid); affine=ok(0.124,paid); poly2=ok(0.229,paid)"
G1S24_Th232_Petri,G1S24,11,gain,gain,0.0,0.0,neutral,0.2156,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.164); gain=ok(0.118,paid); affine=ok(0.114,paid)"
G1S24_Th232_Petri_2,G1S24,9,poly2,affine,0.0,0.0,neutral,0.9209,reacted,,,,"poly1=extrap_below; stored=ok(0.140); gain=ok(0.110,paid); affine=ok(0.090,paid); poly2=ok(0.081,paid)"
G1S24_Cs137_P25,G1S24,6,affine,affine,0.0,0.0,neutral,1.279,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.181); gain=ok(0.143,paid); affine=ok(0.108,paid)"
G1S24_Na22_P25,G1S24,4,gain/robust,affine,0.0,0.0,neutral,0.8866,reacted,,,,"poly1=extrap_below; poly2=extrap_below; stored=ok(0.044); gain=ok(0.042,paid); affine=ok(0.031,paid)"
