spectrum,det,n,level,arm,place,e_star,ch_star,tag_before,tag_after,d_max_kev,d_max_fwhm,ch_max,d_at_star_kev,cause
ASN8_Th232_4096,ASN8_4096,11,choose,shift,low,119.43,222.42,stored,affine,10.167,1.627,4095,-5.0938,reacted
ASN8_Th232_4096,ASN8_4096,11,choose,null,mid,790.25,1067.86,stored,stored,0.0,0.0,0,0.0,neutral
ASN8_Th232_4096,ASN8_4096,11,choose,shift,mid,790.25,1187.02,stored,stored,0.0,0.0,0,0.0,frozen
ASN8_Th232_8192,ASN8_8192,10,choose,null,low,119.19,348.4,stored,stored,0.0,0.0,0,0.0,neutral
ASN8_Th232_8192,ASN8_8192,10,choose,shift,low,119.19,455.85,stored,affine,9.5014,2.2871,8191,-8.3662,reacted
ASN8_Th232_8192,ASN8_8192,10,choose,null,mid,789.45,2129.26,stored,stored,0.0,0.0,0,0.0,neutral
ASN8_Th232_8192,ASN8_8192,10,choose,shift,mid,789.45,2397.01,stored,stored,0.0,0.0,0,0.0,frozen
ASN8_UGlass,ASN8_8192,4,choose,null,low,25.17,103.71,affine,affine,0.0,0.0,5544,-0.0,neutral
ASN8_UGlass,ASN8_8192,4,choose,shift,low,25.17,147.18,affine,affine,6.7626,1.6222,8191,-5.7045,reacted
ASN8_UGlass,ASN8_8192,4,choose,null,mid,362.77,998.45,affine,affine,0.0,0.0,5745,-0.0,neutral
ASN8_UGlass,ASN8_8192,4,choose,shift,mid,362.77,1160.82,affine,stored,45.0946,1.1218,8191,-2.3612,reacted
ASN8_Am241,ASN8_8192,2,choose,null,low,29.73,106.27,stored,poly1,88.1909,0.754,8191,2.4382,unlock
ASN8_Am241,ASN8_8192,2,choose,shift,low,29.73,167.13,stored,affine,48.1185,2.0158,8191,-8.2589,reacted
ASN8_Am241,ASN8_8192,2,choose,null,mid,294.21,819.03,stored,affine,25.857,0.4582,8191,4.2356,unlock
ASN8_Am241,ASN8_8192,2,choose,shift,mid,294.21,1007.97,stored,stored,0.0,0.0,0,0.0,frozen
ASN8_Am241,ASN8_8192,2,choose,null,high,2183.46,5662.52,stored,poly1,73.4193,0.6602,8191,-1.0762,unlock
ASN8_Am241,ASN8_8192,2,choose,shift,high,2183.46,6135.29,stored,gain,188.5976,1.6123,8191,-138.6114,reacted
OBS_UGlass,OBS,2,choose,null,low,26.86,21.05,stored,gain,40.8701,0.4359,1023,-0.391,gate:drift>5%
OBS_UGlass,OBS,2,choose,shift,low,26.86,28.46,stored,affine,31.7339,2.9776,1023,-12.071,reacted
OBS_UGlass,OBS,2,choose,null,mid,308.04,138.11,stored,gain,36.0564,0.3846,1023,-3.9563,gate:drift>5%
OBS_UGlass,OBS,2,choose,shift,mid,308.04,164.69,stored,gain,105.9382,1.13,1023,-13.9545,reacted
OBS_UGlass,OBS,2,choose,null,high,2649.58,989.01,stored,gain,18.2027,0.1942,1023,-17.1797,gate:drift>5%
OBS_UGlass,OBS,2,choose,shift,high,2649.58,1029.52,stored,gain,125.5092,1.3388,1023,-126.9148,reacted
RC101_I131,RC101,2,choose,null,low,182.02,78.77,gain,gain,0.0,0.0,783,-0.0,neutral
RC101_I131,RC101,2,choose,shift,low,182.02,113.3,gain,stored,20.7619,0.1203,1023,1.8532,reacted
RC101_I131,RC101,2,choose,null,mid,476.52,195.31,gain,affine,51.3741,1.4152,1023,0.1626,unlock
RC101_I131,RC101,2,choose,shift,mid,476.52,248.42,gain,stored,20.7619,0.1203,1023,4.2617,reacted
RC101_I131,RC101,2,choose,null,high,935.62,366.26,gain,affine,9.8358,0.3948,1023,-1.1644,unlock
RC101_I131,RC101,2,choose,shift,high,935.62,435.62,gain,stored,20.7619,0.1203,1023,7.8294,reacted
AS1Pro_Ra226,AS1PRO,12,choose,null,low,23.94,74.5,affine,affine,0.0,0.0,1417,0.0,neutral
AS1Pro_Ra226,AS1PRO,12,choose,shift,low,23.94,121.84,affine,poly2,117.7065,2.8736,8191,-10.0557,reacted
AS1Pro_Ra226,AS1PRO,12,choose,null,mid,290.23,762.22,affine,affine,0.0,0.0,1417,0.0,neutral
AS1Pro_Ra226,AS1PRO,12,choose,shift,mid,290.23,923.84,affine,gain,7.1891,1.7335,0,-6.0382,reacted
AS1Pro_Ra226,AS1PRO,12,choose,null,high,2638.46,6330.97,affine,poly2,11.7722,0.669,8191,-3.7374,rank:margin
AS1Pro_Ra226,AS1PRO,12,choose,shift,high,2638.46,6752.16,affine,gain,37.1918,1.7199,8191,-31.4366,reacted
ASN16_Charoite_v2,ASN16,12,choose,null,low,93.42,279.04,affine,affine,0.0,0.0,5486,0.0,neutral
ASN16_Charoite_v2,ASN16,12,choose,shift,low,93.42,354.44,affine,affine,4.5111,1.1272,8191,-3.4531,reacted
