spectrum,det,part,component,tail_counts,missing_pct,excess_pct
G1S24_Y88_P5,G1S24,known,Y-88,33381.2,3.991,2.728
G1S24_Zn65_P5,G1S24,known,Zn-65,16.4,8.289,8.068
