spectrum,det,part,component,tail_counts,missing_pct,excess_pct
G1S16_Eu152_P25,G1S16,known,Eu-152,1.2,4.893,4.722
G1S16_Mn54_P25,G1S16,known,Mn-54,92.8,3.654,3.369
G1S16_Co57_P5,G1S16,known,Co-57,330.0,23.551,17.893
G1S16_Co60_P5,G1S16,known,Co-60,4809.4,5.556,3.079
G1S16_Cs137_P5,G1S16,known,Cs-137,1.7,4.010,3.453
G1S16_Eu152_P5,G1S16,known,Eu-152,0.5,7.141,5.546
G1S16_Mn54_P5,G1S16,known,Mn-54,30750.5,8.112,3.230
G1S16_Y88_P5,G1S16,known,Y-88,348.1,7.040,5.987
