spectrum,det,part,matrix_applied,component,energy_kev,lines,intensity_pct,expected,measured,sigma,z,ratio,purity,decision,obligatory
AS80_Th232WT20,AS80x80,unknown,0,Th-232,1089.36,2,0.8490,51932.4,-158297.8,918.9,-228.78,-3.0481,0.000,1498.2,0
AS80_Th232WT20,AS80x80,unknown,0,Th-232,1247.08,1,0.5000,7909.1,31478.5,809.0,29.13,3.9800,0.000,1160.3,0
AS80_Th232WT20,AS80x80,unknown,0,Th-232,1486.46,4,2.4400,82356.9,130737.1,925.8,52.26,1.5874,0.000,1212.0,0
AS80_Th232WT20,AS80x80,unknown,0,Th-232,1606.15,5,7.2700,299929.9,312367.4,862.6,14.42,1.0415,0.000,1005.6,0
AS80_Th232WT20,AS80x80,unknown,0,Th-232,1806.00,1,0.0900,1167.9,-9685.8,622.6,-17.43,-8.2934,0.000,970.5,0
AS80_Th232WT20,AS80x80,unknown,0,Th-232,2614.51,1,35.8516,275053.0,527362.2,909.5,277.43,1.9173,0.000,833.5,0
AS80_Cs137_0cm,AS80x80,known,1,Cs-137,32.94,4,7.0080,125184.4,98794.5,494.8,-53.33,0.7892,1.000,445.0,1
AS80_Cs137_0cm,AS80x80,known,1,Cs-137,661.66,1,85.1000,2778604.3,2908900.0,1741.5,74.82,1.0469,1.000,494.5,1
ASN16_Lu176,ASN16,known,1,Lu-176,57.10,4,33.4927,496549.3,557788.0,767.8,79.76,1.1233,0.856,272.6,1
ASN16_Lu176,ASN16,known,1,Lu-176,88.34,1,14.5080,134458.5,128641.2,462.4,-12.58,0.9567,1.000,456.1,1
ASN16_Lu176,ASN16,known,1,Lu-176,201.83,1,77.9688,1223630.9,1303422.7,1149.0,69.44,1.0652,1.000,155.9,1
ASN16_Lu176,ASN16,known,1,Lu-176,306.78,1,93.6000,1093615.1,1042080.6,1049.3,-49.11,0.9529,1.000,375.3,1
ASN16_Lu176_P0,ASN16,known,1,Lu-176,57.10,4,33.4927,2919.0,3903.8,79.3,12.41,1.3373,1.000,58.8,1
ASN16_Lu176_P0,ASN16,known,1,Lu-176,88.34,1,14.5080,1064.2,899.7,73.1,-2.25,0.8455,1.000,79.9,1
ASN16_Lu176_P0,ASN16,known,1,Lu-176,201.83,1,77.9688,10381.2,10373.8,112.6,-0.07,0.9993,1.000,56.0,1
ASN16_Lu176_P0,ASN16,known,1,Lu-176,306.78,1,93.6000,9376.2,9645.6,103.4,2.61,1.0287,1.000,38.5,1
AS80_Lu176,AS80x80,known,1,Lu-176,57.10,4,33.4927,42006.9,27822.5,368.5,-38.49,0.6623,1.000,395.2,1
AS80_Lu176,AS80x80,known,1,Lu-176,88.34,1,14.5080,15293.4,21037.3,400.3,14.35,1.3756,1.000,480.9,1
AS80_Lu176,AS80x80,known,1,Lu-176,201.83,1,77.9688,176446.2,176705.1,539.9,0.48,1.0015,1.000,447.8,1
AS80_Lu176,AS80x80,known,1,Lu-176,306.78,1,93.6000,198645.3,202156.9,530.2,6.62,1.0177,1.000,372.6,1
G1S16_Am241_P25,G1S16,known,1,Am-241,26.34,1,2.2700,11033.6,9558.1,108.3,-13.63,0.8663,1.000,69.9,1
G1S16_Am241_P25,G1S16,known,1,Am-241,59.54,1,35.9000,75724.5,78288.4,285.5,8.98,1.0339,1.000,72.2,1
G1S16_Ba133_P25,G1S16,known,1,Ba-133,31.69,4,114.6900,111052.3,109047.9,334.0,-6.00,0.9820,1.000,60.9,1
