spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
ASN16_Lu176,ASN16,known,Lu-176,55.786,54.429,61.608,7.178,0.228,0.1696,138.96,130,190,0,share,3.735
ASN16_Lu176,ASN16,known,Lu-176,88.340,87.730,86.018,-1.712,0.288,0.1935,91.65,213,287,0,share,4.175
ASN16_Lu176,ASN16,known,Lu-176,201.830,201.254,201.778,0.524,0.417,0.8693,998.30,499,609,1,,3.177
ASN16_Lu176,ASN16,known,Lu-176,306.780,305.160,304.630,-0.530,0.516,0.9122,944.11,760,896,1,,2.705
ASN16_Lu176_P0,ASN16,known,Lu-176,55.786,51.636,59.918,8.282,0.590,0.2044,14.57,131,185,0,share,3.735
ASN16_Lu176_P0,ASN16,known,Lu-176,88.340,85.566,104.629,19.063,13.799,0.2415,1.47,211,279,0,z,4.175
ASN16_Lu176_P0,ASN16,known,Lu-176,201.830,201.476,202.828,1.352,0.425,0.8724,84.13,493,599,1,,3.177
ASN16_Lu176_P0,ASN16,known,Lu-176,306.780,307.651,306.253,-1.398,0.532,0.9448,90.90,755,889,1,,2.705
