spectrum,det,part,component,kind,detected,decay_s,dt_decay_s,mda_decay_s,degenerate,collinearity,mda_peak_counts,total_yield_pct
G1S16_Am241_P25,G1S16,known,Am-241,single,1,1.1608E+005,3.7554E+002,7.5780E+002,0,0.1068,579.7,74.8095
G1S16_Ba133_P25,G1S16,known,Ba-133,single,1,2.4864E+004,6.4707E+001,1.3085E+002,0,0.3498,1630.4,264.8544
G1S16_Cd109_P25,G1S16,known,Cd-109,single,1,6.8186E+003,2.4757E+001,5.2438E+001,0,0.0076,111.9,116.3035
G1S16_Ce139_P25,G1S16,known,Ce-139,single,1,1.8547E+003,2.7962E+001,5.6481E+001,0,0.3036,468.4,171.0783
G1S16_Co60_P25,G1S16,known,Co-60,single,1,3.6633E+004,3.4213E+001,6.9949E+001,0,0.5023,214.8,199.8440
G1S16_Cs137_P25,G1S16,known,Cs-137,single,1,7.4359E+004,5.5679E+001,1.1380E+002,0,0.3089,285.8,93.0229
G1S16_Eu152_P25,G1S16,known,Eu-152,single,1,2.8679E+004,9.9612E+001,2.0046E+002,0,0.5531,4379.6,242.9866
G1S16_Mn54_P25,G1S16,known,Mn-54,single,1,2.8246E+004,6.0538E+001,1.2302E+002,0,0.3443,243.0,126.3352
G1S16_Na22_P25,G1S16,known,Na-22,single,1,6.5489E+004,1.2998E+002,2.6693E+002,0,0.4008,359.6,100.0808
G1S16_Th228_P25,G1S16,known,Th-228,chain,1,2.3080E+003,2.9139E+001,5.8655E+001,0,0.4493,1124.1,237.9770
G1S16_Y88_P25,G1S16,known,Y-88,single,1,6.0145E+002,1.3533E+001,2.7477E+001,0,0.1164,166.4,256.3332
G1S16_Am241_P5,G1S16,known,Am-241,single,1,9.1375E+004,7.2012E+001,1.4547E+002,0,0.0189,988.0,74.8095
G1S16_Ba133_P5,G1S16,known,Ba-133,single,1,2.0876E+004,4.4034E+001,8.8780E+001,0,0.5200,17144.3,264.8544
G1S16_Cd109_P5,G1S16,known,Cd-109,single,1,6.0111E+003,8.7909E+000,1.8067E+001,0,0.0046,642.2,116.3035
G1S16_Ce139_P5,G1S16,known,Ce-139,single,1,1.5380E+003,3.9906E+000,8.1393E+000,0,0.1939,1115.2,171.0783
G1S16_Co57_P5,G1S16,known,Co-57,single,1,6.3017E+001,6.2012E-001,1.2706E+000,0,0.0664,130.5,163.4431
G1S16_Co60_P5,G1S16,known,Co-60,single,1,3.1883E+004,2.1356E+001,4.3564E+001,0,0.4681,1091.1,199.8440
G1S16_Cs137_P5,G1S16,known,Cs-137,single,1,6.3928E+004,1.7808E+001,3.6468E+001,0,0.2905,1242.4,93.0229
G1S16_Eu152_P5,G1S16,known,Eu-152,single,1,2.2921E+004,5.5111E+001,1.1095E+002,0,0.5843,18106.1,242.9866
G1S16_Mn54_P5,G1S16,known,Mn-54,single,1,2.4713E+004,1.2096E+001,2.5065E+001,0,0.4418,210.9,126.3352
G1S16_Na22_P5,G1S16,known,Na-22,single,1,5.5701E+004,1.3975E+002,2.8793E+002,0,0.6206,1580.5,100.0808
G1S16_Th228_P5,G1S16,known,Th-228,chain,1,1.8958E+003,8.0632E+000,1.6369E+001,0,0.5436,2334.0,237.9770
G1S16_Y88_P5,G1S16,known,Y-88,single,1,5.5876E+002,2.4322E+000,5.0216E+000,0,0.5735,127.3,256.3332
