spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S16_Y88_P25,G1S16,known,1.0705,1.0346,1.007127,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,5,234,219,,0,,1.2749,,26.885,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,1,2,0.000,"опор 2; усиление 1.00713, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.94 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00650 по 1836.1 кэВ",NaI:Tl,1.0000,line
G1S16_Am241_P5,G1S16,known,2.6969,1.6422,0.864396,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,3,3,105,78,,0,,18.6385,,16.417,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.86440, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.03 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.21888 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S16_Ba133_P5,G1S16,known,11.5116,3.3929,0.993159,-0.469,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,3,151,156,,0,,296.5758,,25.361,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-1.360,"опор 3; усиление 0.99316, ноль -1.36 кэВ (-0.469 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.84 кэВ калибровки, свет -2.43 кэВ (по съёмке: опор 4 из 6 (32.3…358.0 кэВ), нуль света кан 0.86), растяжение 1.00622 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S16_Cd109_P5,G1S16,known,3.5826,1.8928,0.999794,-0.362,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,95,78,,0,,32.2843,,36.295,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.077,"опор 2; усиление 0.99979, ноль -1.08 кэВ (-0.362 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -6.35 кэВ калибровки, свет -0.80 кэВ (по съёмке: опор 2 из 2 (24.1…91.8 кэВ), нуль света кан 0.29), растяжение 1.06250 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S16_Ce139_P5,G1S16,known,3.2744,1.8095,1.006599,-0.485,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,3,102,78,,0,,15.1879,,24.167,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.434,"опор 2; усиление 1.00660, ноль -1.43 кэВ (-0.485 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.89 кэВ калибровки, свет -0.50 кэВ (по съёмке: опор 2 из 2 (36.2…169.1 кэВ), нуль света кан 0.18), растяжение 1.03243 по 165.9 кэВ",NaI:Tl,1.0000,line
G1S16_Co57_P5,G1S16,known,1.0076,1.0038,0.996334,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,3,3,148,125,,0,,1.2353,,17.492,sample,"распад 1, атомных 2, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.99633, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.36 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 1, нехватка), растяжение 1.05394 по 136.5 кэВ",NaI:Tl,1.0000,line
G1S16_Co60_P5,G1S16,known,9.6069,3.0995,1.003848,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,7,170,156,,0,,57.0621,,13.983,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00385, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.06 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00980 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S16_Cs137_P5,G1S16,known,8.2573,2.8735,0.993565,0.383,0,0,0,1,"НАЙДЕНА, применена",1,1,1,5,2,105,109,,0,,51.4948,,10.171,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,1.135,"опор 2; усиление 0.99357, ноль 1.14 кэВ (0.383 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -10.86 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.01641 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S16_Eu152_P5,G1S16,known,13.9796,3.7389,1.007214,-0.045,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,10,720,672,,0,,247.0379,,22.267,sample,"распад 1, атомных 2, линий 43; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1408, DE-1408, SE-1299, DE-1299, SE-1213, DE-1213",1,0,0,1,4,-0.135,"опор 4; усиление 1.00721, ноль -0.13 кэВ (-0.045 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.03 кэВ калибровки, свет -1.67 кэВ (по съёмке: опор 4 из 15 (42.9…346.4 кэВ), нуль света кан 0.59), растяжение 1.00436 по 1457.6 кэВ",NaI:Tl,1.0000,line
G1S16_Mn54_P5,G1S16,known,2.8640,1.6923,1.005570,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,6,2,230,109,,0,,5.6517,,8.489,sample,"распад 1, атомных 1, линий 4; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 1.00557, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -43.75 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 1, нехватка), растяжение 1.05240 по 834.8 кэВ",NaI:Tl,1.0000,line
G1S16_Na22_P5,G1S16,known,13.7339,3.7059,0.988765,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,5,197,156,,0,,71.1555,,11.698,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,0.000,"опор 2; усиление 0.98877, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 6.94 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 0.99455 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S16_Th228_P5,G1S16,known,4.4704,2.1143,1.016375,-0.753,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,8,414,344,,0,,14.3287,,19.372,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,4,-2.261,"опор 4; усиление 1.01637, ноль -2.26 кэВ (-0.753 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -16.72 кэВ калибровки, свет -7.55 кэВ (по съёмке: опор 5 из 14 (80.3…584.8 кэВ), нуль света кан 2.60), растяжение 1.00350 по 2614.5 кэВ",NaI:Tl,1.0000,line
G1S16_Y88_P5,G1S16,known,1.3388,1.1571,1.008714,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,5,261,188,,0,,1.5438,,11.082,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1836, DE-1836",1,0,0,2,2,0.000,"опор 2; усиление 1.00871, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -13.08 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 1.00712 по 1836.1 кэВ",NaI:Tl,1.0000,line
