spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal,light_shift_kev
G1S16_Am241_P25,G1S16,known,Am-241,26.345,17.512,14.361,-3.152,0.254,0.2508,22.23,8,12,0,share,2.284
G1S16_Am241_P25,G1S16,known,Am-241,59.541,54.616,54.609,-0.007,0.179,0.9358,260.76,20,26,1,,3.843
G1S16_Ba133_P25,G1S16,known,Ba-133,30.973,28.758,28.830,0.072,0.122,0.8257,275.40,10,14,1,,2.444
G1S16_Ba133_P25,G1S16,known,Ba-133,53.162,54.319,54.466,0.147,0.312,0.2062,20.62,18,24,0,share,3.697
G1S16_Ba133_P25,G1S16,known,Ba-133,80.998,80.448,82.628,2.180,0.222,0.8176,205.25,26,34,0,outlier,3.778
G1S16_Ba133_P25,G1S16,known,Ba-133,160.612,160.429,165.619,5.190,1.088,0.0504,11.68,52,64,0,share,3.178
G1S16_Ba133_P25,G1S16,known,Ba-133,302.851,302.892,303.479,0.586,0.529,0.6430,111.45,99,117,1,,2.469
G1S16_Ba133_P25,G1S16,known,Ba-133,356.013,357.038,356.371,-0.668,0.575,0.8846,233.18,117,137,1,,2.120
G1S16_Cd109_P25,G1S16,known,Cd-109,22.163,20.497,20.474,-0.023,0.109,0.7713,84.75,7,11,1,,2.093
G1S16_Cd109_P25,G1S16,known,Cd-109,88.034,91.128,91.196,0.068,0.345,0.7062,27.08,30,38,1,,3.727
G1S16_Ce139_P25,G1S16,known,Ce-139,33.442,31.759,31.716,-0.043,0.144,0.7862,52.77,11,15,1,,2.212
G1S16_Ce139_P25,G1S16,known,Ce-139,165.858,168.901,168.959,0.059,0.376,0.9018,66.00,55,67,1,,3.136
G1S16_Co60_P25,G1S16,known,Ann-511,511.000,515.650,520.837,5.187,4.615,0.0239,5.15,166,192,0,share,1.268
G1S16_Co60_P25,G1S16,known,Co-60,1173.228,1173.626,1173.111,-0.515,1.255,0.9025,213.10,378,420,1,,-4.309
G1S16_Co60_P25,G1S16,known,Co-60,1332.492,1330.500,1331.005,0.505,1.358,0.9851,211.98,429,473,1,,-5.821
G1S16_Cs137_P25,G1S16,known,Cs-137,32.193,31.749,31.830,0.081,0.134,0.6568,104.40,11,15,1,,2.462
G1S16_Cs137_P25,G1S16,known,Cs-137,661.657,661.835,661.681,-0.154,0.858,0.9860,382.87,215,243,1,,0.000
G1S16_Eu152_P25,G1S16,known,Eu-152,40.117,37.112,37.001,-0.111,0.145,0.6672,294.82,13,19,1,,2.871
G1S16_Eu152_P25,G1S16,known,Eu-152,121.782,120.549,123.375,2.827,0.286,0.7007,240.80,40,50,0,outlier,3.333
G1S16_Eu152_P25,G1S16,known,Eu-152,244.697,243.203,245.503,2.300,0.465,0.3941,91.07,79,95,0,share,2.705
G1S16_Eu152_P25,G1S16,known,Eu-152,295.939,295.610,267.698,-27.912,13.659,0.0364,2.35,96,114,0,z,2.506
G1S16_Eu152_P25,G1S16,known,Eu-152,344.279,344.017,345.431,1.413,0.559,0.7250,214.53,113,131,1,,2.207
G1S16_Eu152_P25,G1S16,known,Eu-152,411.117,412.602,414.426,1.824,1.030,0.1591,23.73,135,157,0,share,1.880
G1S16_Eu152_P25,G1S16,known,Eu-152,443.961,444.280,444.861,0.581,0.903,0.2000,31.50,144,166,0,share,1.702
G1S16_Eu152_P25,G1S16,known,Eu-152,563.986,575.318,572.217,-3.101,4.214,0.0821,5.60,187,213,0,share,0.865
G1S16_Eu152_P25,G1S16,known,Eu-152,688.670,685.546,687.113,1.567,1.719,0.1057,17.86,221,251,0,share,-0.185
G1S16_Eu152_P25,G1S16,known,Eu-152,778.905,779.727,779.693,-0.034,0.994,0.5148,84.67,252,284,1,,-0.855
G1S16_Eu152_P25,G1S16,known,Eu-152,867.380,870.033,866.934,-3.099,1.519,0.2579,26.17,281,315,0,share,-1.580
G1S16_Eu152_P25,G1S16,known,Eu-152,964.057,966.319,965.547,-0.771,1.135,0.6345,91.04,312,348,1,,-2.442
G1S16_Eu152_P25,G1S16,known,Eu-152,1112.076,1102.724,1101.622,-1.102,1.216,0.7727,126.09,355,395,1,,-3.752
G1S16_Eu152_P25,G1S16,known,Eu-152,1212.948,1214.944,1241.537,26.593,6.064,0.1994,9.31,391,433,0,share,-4.676
G1S16_Eu152_P25,G1S16,known,Eu-152,1299.142,1303.121,1300.796,-2.325,2.671,0.3127,18.82,419,463,0,share,-5.496
G1S16_Eu152_P25,G1S16,known,Eu-152,1408.013,1411.554,1411.781,0.227,1.429,0.9347,108.23,454,500,1,,-6.428
G1S16_Mn54_P25,G1S16,known,Mn-54,834.848,832.542,832.528,-0.014,0.994,0.9838,228.21,271,303,1,,-1.306
G1S16_Na22_P25,G1S16,known,Ann-511,511.000,510.307,510.184,-0.123,0.720,0.9205,620.34,167,191,1,,1.268
G1S16_Na22_P25,G1S16,known,Na-22,1274.537,1272.800,1273.004,0.204,1.313,0.9833,288.78,410,454,1,,-5.258
G1S16_Th228_P25,G1S16,known,Th-228,39.857,36.618,,,,0.0917,-1.40,13,19,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,77.108,75.680,75.587,-0.093,0.258,0.6429,48.65,26,34,1,,3.819
G1S16_Th228_P25,G1S16,known,Th-228,115.183,113.943,,,,0.0590,-1.21,38,48,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,166.410,165.437,161.642,-3.795,4.597,0.0081,2.47,55,67,0,z,3.131
G1S16_Th228_P25,G1S16,known,Th-228,238.632,237.845,238.830,0.984,0.470,0.8089,69.22,78,94,1,,2.719
G1S16_Th228_P25,G1S16,known,Th-228,300.087,298.686,297.365,-1.321,2.297,0.2592,7.03,97,115,0,share,2.484
G1S16_Th228_P25,G1S16,known,Th-228,452.980,455.160,,,,0.0546,-1.29,149,171,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,510.770,510.780,512.097,1.317,1.439,0.5654,16.26,167,191,1,,1.270
G1S16_Th228_P25,G1S16,known,Th-228,583.187,584.926,583.412,-1.514,0.927,0.8854,40.56,191,217,1,,0.707
G1S16_Th228_P25,G1S16,known,Th-228,727.330,729.015,727.637,-1.378,2.503,0.6823,11.02,237,267,1,,-0.463
G1S16_Th228_P25,G1S16,known,Th-228,860.557,861.202,865.231,4.030,4.523,0.6061,6.73,279,313,1,,-1.522
G1S16_Th228_P25,G1S16,known,Th-228,1078.620,1079.215,,,,0.1559,-1.18,349,387,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,1512.700,1511.051,,,,0.0453,-0.19,486,534,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,1620.500,1621.427,1647.744,26.317,38.715,0.1336,1.39,521,571,0,z,-8.165
G1S16_Th228_P25,G1S16,known,Th-228,1806.000,1802.577,,,,0.0096,-0.47,579,633,0,z,0.000
G1S16_Th228_P25,G1S16,known,Th-228,2614.511,2614.620,2614.408,-0.212,2.415,0.9829,28.73,845,913,1,,-17.385
G1S16_Y88_P25,G1S16,known,Y-88,898.042,896.807,895.927,-0.880,1.335,0.9036,31.22,292,326,1,,-1.846
G1S16_Y88_P25,G1S16,known,Y-88,1836.063,1839.261,1840.430,1.169,2.164,0.9818,27.64,592,646,1,,-10.024
G1S16_Am241_P5,G1S16,known,Am-241,26.345,16.656,14.081,-2.575,0.128,0.2451,63.15,8,12,0,share,2.284
G1S16_Am241_P5,G1S16,known,Am-241,59.541,54.086,54.020,-0.066,0.178,0.9456,702.61,20,26,1,,3.843
G1S16_Ba133_P5,G1S16,known,Ba-133,30.973,28.637,28.737,0.100,0.122,0.8190,992.66,10,14,1,,2.444
G1S16_Ba133_P5,G1S16,known,Ba-133,53.162,53.985,56.938,2.952,0.187,0.2207,89.69,18,24,0,share,3.697
G1S16_Ba133_P5,G1S16,known,Ba-133,80.998,79.896,82.589,2.693,0.221,0.8499,792.84,26,34,0,outlier,3.778
G1S16_Ba133_P5,G1S16,known,Ba-133,160.612,159.218,161.877,2.659,0.349,0.0486,130.05,52,64,0,share,3.178
G1S16_Ba133_P5,G1S16,known,Ba-133,302.851,300.489,300.855,0.366,0.512,0.6520,396.82,99,117,1,,2.469
G1S16_Ba133_P5,G1S16,known,Ba-133,356.013,354.177,353.493,-0.684,0.569,0.8601,795.50,117,137,1,,2.120
G1S16_Cd109_P5,G1S16,known,Cd-109,22.163,19.054,19.082,0.028,0.102,0.7662,318.61,7,11,1,,2.093
G1S16_Cd109_P5,G1S16,known,Cd-109,88.034,90.921,90.883,-0.039,0.242,0.9172,213.71,30,38,1,,3.727
G1S16_Ce139_P5,G1S16,known,Ce-139,33.442,31.027,30.955,-0.073,0.130,0.7881,210.76,11,15,1,,2.212
G1S16_Ce139_P5,G1S16,known,Ce-139,165.858,169.005,169.117,0.112,0.354,0.9516,340.32,55,67,1,,3.136
G1S16_Co57_P5,G1S16,known,Co-57,122.061,124.245,124.247,0.002,0.306,0.8550,66.02,41,51,1,,3.330
G1S16_Co60_P5,G1S16,known,Ann-511,511.000,507.142,510.835,3.692,4.069,0.0176,5.45,166,190,0,share,1.268
G1S16_Co60_P5,G1S16,known,Co-60,1173.228,1172.822,1172.368,-0.455,1.236,0.9060,572.79,380,420,1,,-4.309
