True coincidence factor calculation results.

Decay branch(es):
 Eu-152   EC  Sm-152 (13.5077 y) - 72.08%
Eu-152   B-  Gd-152 (13.5077 y) - 27.92%

Date: 15/09/2026
Time: 18:19:49

Calculation settings:
cp.xrays = true
cp.annihilation = true
cp.angular = false
cp.angle_optimize = false
cp.calc_full_eff = false
cp.calc_spectrum = false
cp.calc_coincidence = true
cp.calc_scattered = true
cp.calc_effc = false
cp.calc_electron_ttb = true
cp.threads_number = 1

DetectorType = SCINTILLATOR
DS_CrystalDiameter = 6.3 cm
DS_CrystalHeight = 6.3 cm
DS_CrystalFrontReflectorThickness = 0.13 cm
DS_CrystalSideReflectorThickness = 0.1 cm
DS_CrystalFrontCladdingThickness = 0.18 cm
DS_CrystalSideCladdingThickness = 0.2 cm
DS_DetectorFrontPackagingThickness = 0 cm
DS_DetectorSidePackagingThickness = 0 cm
DS_DetectorFrontCapThickness = 0 cm
DS_DetectorSideCapThickness = 0 cm
DS_DetectorMountingThickness = 0.2 cm

DS_nCrystalElements = 2
DS_ZCrystal[0] = 11
DS_ZCrystal[1] = 53
DS_FractionTypeCrystal = MASS
DS_FractionsCrystal[0] = 0.153373
DS_FractionsCrystal[1] = 0.846627
DS_RoCrystal = 3.667
DS_nCrystalCladdingElements = 1
DS_ZCrystalCladding[0] = 13
DS_FractionTypeCrystalCladding = MASS
DS_FractionsCrystalCladding[0] = 1
DS_RoCrystalCladding = 2.7
DS_nCrystalReflectorElements = 2
DS_ZCrystalReflector[0] = 6
DS_ZCrystalReflector[1] = 9
DS_FractionTypeReflector = MASS
DS_FractionsCrystalReflector[0] = 0.240183
DS_FractionsCrystalReflector[1] = 0.759817
DS_RoCrystalReflector = 2.25
DS_nDetectorCapElements = 1
DS_ZDetectorCap[0] = 13
DS_FractionTypeDetectorCap = MASS
DS_FractionsDetectorCap[0] = 1
DS_RoDetectorCap = 2.7
DS_nDetectorPackagingElements = 1
DS_ZDetectorPackaging[0] = 13
DS_FractionTypeDetectorPackaging = MASS
DS_FractionsDetectorPackaging[0] = 1
DS_RoDetectorPackaging = 2.7

SourceType = POINT
pdistance = 5 cm
prho = 0 cm


Number of simulated decays: 20000000

Results:
-----------------------------------------------------------------------------------
##	E, MeV	I	dI(%)	CF	dCF(%)	Eff	dEff(%)	Areas	AreasCoi
-----------------------------------------------------------------------------------
1	0.039097	5.4244e-05	3.0000	0.82828	29.28	3.779e-02	22.62	41.00	49.50
2	0.039522	2.1376e-01	3.0000	1.08536	0.36	3.784e-02	0.25	161757.50	149035.50
3	0.040118	3.8734e-01	3.0000	1.08501	0.27	3.826e-02	0.18	296361.00	273140.50
4	0.041864	7.5780e-07	3.0000	0.00000	0.00	0.000e+00	0.00	0.00	0.50
5	0.042309	2.4737e-03	3.0000	1.04988	3.20	4.063e-02	2.23	2010.00	1914.50
6	0.042996	4.4582e-03	3.0000	1.03080	2.37	4.073e-02	1.66	3631.50	3523.00
7	0.045294	3.7850e-02	3.0000	1.07429	0.80	4.256e-02	0.56	32220.50	29992.50
8	0.045414	7.3290e-02	3.0000	1.08511	0.58	4.233e-02	0.40	62047.00	57180.50
9	0.045741	1.0849e-03	3.0000	1.04217	4.56	4.556e-02	3.19	988.50	948.50
10	0.046578	2.4189e-02	3.0000	1.06869	1.00	4.271e-02	0.70	20660.50	19332.50
11	0.046705	9.1612e-03	3.0000	1.07363	1.61	4.345e-02	1.12	7961.00	7415.00
12	0.048551	4.4213e-04	3.0000	1.09750	7.14	4.710e-02	4.93	416.50	379.50
13	0.048695	8.5564e-04	3.0000	1.01005	5.17	4.403e-02	3.65	753.50	746.00
14	0.049038	1.3476e-05	3.0000	1.80000	69.76	3.339e-02	40.82	9.00	5.00
15	0.049959	2.8614e-04	3.0000	0.93196	9.31	3.949e-02	6.70	226.00	242.50
16	0.050099	1.1076e-04	3.0000	1.03960	14.28	4.740e-02	10.10	105.00	101.00
17	0.118970	5.3181e-06	20.0036	1.36364	85.49	7.051e-02	47.61	7.50	5.50
18	0.121782	2.8531e-01	0.5320	1.08934	0.26	5.517e-02	0.18	314829.50	289008.50
19	0.125680	5.1319e-05	3.6467	1.45556	20.15	6.382e-02	12.70	65.50	45.00
20	0.137560	7.4453e-06	17.8612	11.00000	334.76	3.694e-02	45.45	5.50	0.50
21	0.148000	2.0475e-04	5.2086	1.15591	10.05	5.250e-02	6.87	215.00	186.00
22	0.150130	9.0407e-06	8.8317	0.90909	48.30	5.531e-02	36.06	10.00	11.00
23	0.172100	4.2546e-06	50.0000	0.94118	54.76	9.402e-02	41.46	8.00	8.50
24	0.174800	1.3827e-05	13.4615	0.93333	40.01	5.062e-02	29.45	14.00	15.00
25	0.192600	6.8073e-05	3.1250	1.12800	17.69	5.178e-02	11.97	70.50	62.50
26	0.195220	2.0475e-05	9.0909	1.37931	37.54	4.884e-02	24.75	20.00	14.50
27	0.207030	1.1434e-05	20.9337	1.26316	49.05	5.248e-02	30.62	12.00	9.50
28	0.207640	7.3389e-05	3.6430	1.25510	19.52	4.190e-02	12.83	61.50	49.00
29	0.209300	1.7018e-06	6.2500	0.00000	0.00	8.814e-02	70.71	3.00	0.00
30	0.209410	1.1966e-05	33.3333	0.72222	61.01	2.716e-02	49.25	6.50	9.00
31	0.209970	4.3076e-05	16.0539	1.03896	23.32	4.643e-02	16.39	40.00	38.50
32	0.210950	3.8024e-05	4.2129	1.25000	24.60	4.931e-02	16.49	37.50	30.00
33	0.212430	2.0740e-04	2.5920	1.14550	10.06	5.219e-02	6.85	216.50	189.00
34	0.237100	6.3285e-05	2.9656	1.20455	20.84	4.187e-02	14.12	53.00	44.00
35	0.239330	5.3181e-05	0.3795	1.23810	24.82	3.667e-02	16.62	39.00	31.50
36	0.241000	3.7226e-06	0.3795	0.00000	0.00	5.373e-02	50.00	4.00	0.00
37	0.244697	7.5490e-02	0.5178	1.12995	0.57	4.284e-02	0.39	64677.50	57239.50
38	0.251633	6.7008e-04	2.8036	1.07937	6.20	4.059e-02	4.30	544.00	504.00
39	0.269840	7.8441e-05	6.4518	1.02419	18.01	4.048e-02	12.62	63.50	62.00
40	0.271080	7.1530e-04	2.6022	1.01833	6.04	3.883e-02	4.25	555.50	545.50
41	0.272410	6.3817e-06	25.0029	2.25000	122.85	3.526e-02	50.92	4.50	2.00
42	0.275420	3.4567e-04	2.3387	1.22904	8.64	4.347e-02	5.80	300.50	244.50
43	0.285980	9.8384e-05	16.2207	1.14729	17.25	3.761e-02	11.86	74.00	64.50
44	0.286500	1.3827e-05	21.1573	0.61538	47.47	2.893e-02	38.53	8.00	13.00
45	0.287100	8.1103e-06	8.5246	0.70000	55.09	4.316e-02	41.65	7.00	10.00
46	0.295939	4.4034e-03	0.9821	1.17394	2.53	3.862e-02	1.72	3401.50	2897.50
47	0.315100	3.9887e-04	2.6667	0.96532	8.87	3.140e-02	6.33	250.50	259.50
48	0.316130	1.0051e-04	5.0408	1.08904	16.48	3.955e-02	11.48	79.50	73.00
49	0.320100	2.0475e-05	5.2086	0.66667	42.62	2.442e-02	33.91	10.00	15.00
50	0.324830	6.8073e-04	2.7344	1.03125	6.41	3.636e-02	4.49	495.00	480.00
51	0.324914	4.9725e-05	4.8128	0.89062	26.49	2.866e-02	18.98	28.50	32.00
52	0.328764	3.4568e-05	6.1538	1.20000	37.44	2.604e-02	24.53	18.00	15.00
53	0.329410	1.2125e-03	2.0098	1.18377	5.06	3.520e-02	3.43	853.50	721.00
54	0.330580	9.3066e-05	11.4349	0.94737	17.94	3.385e-02	12.90	63.00	66.50
55	0.340460	2.6590e-04	3.0239	1.02951	11.44	2.952e-02	8.02	157.00	152.50
56	0.344278	2.6591e-01	0.6000	1.02830	0.34	3.271e-02	0.24	173941.00	169153.50
57	0.345540	9.8118e-05	4.8928	1.02256	17.39	3.465e-02	12.26	68.00	66.50
58	0.348752	1.7018e-05	9.3827	0.72727	48.92	2.350e-02	38.53	8.00	11.00
59	0.351660	1.0636e-04	7.5000	1.29032	19.91	2.821e-02	13.07	60.00	46.50
60	0.354160	9.5728e-06	11.1111	1.66667	87.18	2.612e-02	50.99	5.00	3.00
61	0.357260	6.0892e-05	6.9972	1.07143	21.99	3.695e-02	15.40	45.00	42.00
62	0.358480	1.6486e-05	8.0734	1.26316	44.37	3.639e-02	28.87	12.00	9.50
63	0.367789	8.5942e-03	0.4641	1.11618	2.03	2.985e-02	1.40	5130.50	4596.50
64	0.378150	2.3665e-06	23.5986	0.00000	0.00	3.169e-02	100.00	1.50	0.00
65	0.385610	5.5574e-05	4.3229	1.14286	25.88	2.879e-02	17.68	32.00	28.00
66	0.387900	2.9250e-05	9.0909	0.56098	39.31	1.966e-02	32.24	11.50	20.50
67	0.391190	1.4093e-05	3.0426	0.91667	64.42	1.951e-02	45.45	5.50	6.00
68	0.397750	3.7226e-06	15.7189	1.14286	95.23	5.373e-02	66.14	4.00	3.50
69	0.401290	6.3817e-06	6.6775	3.00000	102.06	4.701e-02	40.82	6.00	2.00
70	0.411116	2.2371e-02	0.3090	1.06855	1.29	2.771e-02	0.90	12400.00	11604.50
71	0.416020	1.0875e-03	1.7531	1.13269	6.03	2.708e-02	4.13	589.00	520.00
72	0.423450	2.9781e-05	7.1529	1.65217	39.19	3.190e-02	24.69	19.00	11.50
73	0.440860	6.2489e-05	6.8085	1.07692	24.79	2.800e-02	16.90	35.00	32.50
74	0.443961	2.8266e-02	0.4729	1.11070	1.20	2.581e-02	0.83	14589.00	13135.00
75	0.444010	2.9781e-03	3.5915	1.15230	3.80	2.502e-02	2.59	1490.50	1293.50
76	0.464280	4.5204e-06	41.1782	1.00000	346.41	5.531e-03	331.66	0.50	0.00
77	0.476420	1.7018e-05	18.7538	0.72222	58.03	1.910e-02	45.51	6.50	9.00
78	0.482330	2.4729e-04	3.2481	1.23834	13.77	2.416e-02	9.23	119.50	96.50
79	0.482400	2.3400e-05	4.5455	1.44444	78.39	1.389e-02	45.51	6.50	4.50
80	0.488679	4.1428e-03	0.7457	1.12948	3.37	2.264e-02	2.31	1875.50	1660.50
81	0.493540	3.0313e-04	4.4024	1.08302	12.08	2.367e-02	8.37	143.50	132.50
82	0.493780	9.7589e-05	4.3597	0.96154	23.41	1.921e-02	16.49	37.50	39.00
83	0.496400	5.8766e-05	4.0724	0.78333	27.79	1.999e-02	20.96	23.50	30.00
84	0.496560	5.8499e-05	36.3656	0.89831	27.12	2.265e-02	19.70	26.50	29.50
85	0.503467	1.5237e-03	1.2216	1.02481	5.54	2.169e-02	3.89	661.00	645.00
86	0.511000	5.1198e-04	3.0000	1.04989	9.43	2.261e-02	6.58	231.50	220.50
87	0.514780	4.2544e-06	18.7538	0.60000	132.66	1.763e-02	100.00	1.50	2.50
88	0.520240	5.3448e-04	2.9851	0.96209	9.89	1.899e-02	7.07	203.00	211.00
89	0.523130	1.5289e-04	4.1911	0.95172	16.95	2.256e-02	12.17	69.00	72.50
90	0.526880	1.1966e-04	6.6667	1.26761	23.00	1.880e-02	15.15	45.00	35.50
91	0.527100	1.8613e-06	0.3795	5.00000	234.95	6.716e-02	72.11	2.50	0.50
92	0.534250	4.0950e-04	2.5974	0.88539	11.07	1.886e-02	8.06	154.50	174.50
93	0.535440	1.7284e-05	7.7017	0.80000	36.20	4.050e-02	26.73	14.00	17.50
94	0.538290	4.3342e-05	6.7591	0.64000	32.92	1.846e-02	26.15	16.00	25.00
