ch,keV,net,fit,model,continuum_raw,Eu-152,Cs-137,Am-241,Ti-44
0,-20.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-17.768,0.000,0.000,0.184,0.184,0.069,0.029,0.050,0.036
2,-14.808,0.000,0.000,0.368,0.368,0.137,0.057,0.101,0.073
3,-11.848,0.000,0.000,0.552,0.552,0.206,0.086,0.151,0.109
4,-8.888,0.000,0.000,0.736,0.736,0.275,0.114,0.202,0.146
5,-5.927,11.400,11.400,1.581,1.581,0.590,0.245,0.433,0.313
6,-2.967,58.200,58.200,44.006,44.006,16.412,6.825,12.051,8.718
7,-0.006,318.867,318.867,231.867,231.843,86.467,35.955,63.515,45.930
8,2.955,794.067,794.067,1005.710,1004.150,374.502,155.741,276.536,198.931
9,5.916,1596.867,1596.867,1693.657,1670.299,622.949,259.521,480.284,330.903
10,8.878,2588.733,2588.733,2284.564,2165.619,807.808,342.152,705.533,429.071
11,11.839,3490.867,3490.867,2903.176,2589.556,967.544,435.999,986.323,513.310
12,14.801,3910.067,3910.067,3688.384,3125.837,1180.144,568.494,1319.352,620.394
13,17.763,4712.467,4712.467,4678.833,3730.223,1455.440,692.699,1788.668,742.026
14,20.725,6121.467,6121.467,5983.295,4349.048,1775.906,817.820,2521.125,868.444
15,23.687,7289.667,7289.667,6972.236,4448.933,1920.925,924.271,3232.741,894.300
16,26.649,7560.933,7560.933,7706.708,4548.966,2195.698,1091.023,3496.087,923.901
17,29.612,7105.400,7105.400,7854.019,4649.001,2908.680,1168.991,2819.645,956.702
18,32.574,6028.133,6028.133,8374.213,4749.036,4357.037,1094.063,1931.645,991.468
19,35.537,6072.467,6072.467,9550.750,4849.077,5931.417,984.104,1598.172,1037.057
20,38.500,6747.200,6747.200,10020.566,4949.175,6182.642,938.169,1769.544,1130.211
21,41.463,9512.400,9512.400,9534.825,5049.705,5007.590,944.788,2237.022,1345.425
22,44.427,13586.933,13586.933,9405.348,5152.207,3719.866,967.866,2989.930,1727.686
23,47.390,17142.533,17142.533,9658.304,4757.305,2675.774,902.925,4021.430,2058.175
24,50.354,17956.266,17956.266,11114.357,4370.114,2012.131,826.244,5979.571,2296.411
25,53.318,18381.400,18381.400,14375.285,3986.667,1697.362,748.388,9442.110,2487.424
26,56.282,17468.066,17468.066,18138.732,3598.769,1562.855,688.515,13030.185,2857.177
27,59.246,16028.533,16028.533,18961.476,3203.152,1466.719,652.200,13195.084,3647.473
28,62.210,15433.066,15433.066,15765.428,2802.765,1355.620,623.261,8955.848,4830.699
29,65.175,15031.533,15031.533,11523.006,2400.804,1215.172,579.778,3902.851,5825.205
30,68.140,14951.133,14951.133,8693.839,1998.384,1050.707,513.955,1067.971,6061.205
31,71.105,13430.200,13430.200,7321.527,1595.896,871.419,431.025,181.201,5837.882
32,74.070,8743.066,8743.066,6676.617,1193.573,679.934,336.826,18.923,5640.935
33,77.035,4495.733,4495.733,5789.648,791.340,477.396,233.449,1.212,5077.592
34,80.000,2252.066,2252.066,4504.516,827.760,540.671,255.171,0.048,3708.626
35,82.966,1653.000,1653.000,2899.747,863.129,631.408,276.865,0.001,1991.473
36,85.931,1555.333,1555.333,1820.770,896.007,757.576,298.886,0.000,764.308
37,88.897,1528.666,1528.666,1448.416,924.588,908.765,324.355,0.000,215.296
38,91.863,1588.333,1588.333,1461.551,948.150,1051.171,355.649,0.000,54.730
39,94.830,1590.467,1590.467,1566.988,968.782,1152.716,390.743,0.000,23.529
40,97.796,1662.933,1662.933,1656.590,990.712,1212.506,424.278,0.000,19.806
41,100.763,1915.733,1915.733,1732.366,1017.140,1260.255,452.062,0.000,20.049
42,103.729,2201.000,2201.000,1835.964,1048.312,1341.375,473.816,0.000,20.774
43,106.696,3084.866,3084.866,2030.693,1082.563,1517.122,491.962,0.000,21.609
44,109.663,4179.066,4179.066,2392.341,1118.202,1860.696,509.124,0.000,22.520
45,112.631,4788.066,4788.066,2952.745,1154.295,2402.174,527.040,0.000,23.531
46,115.598,4907.466,4907.466,3605.572,1190.499,3034.089,546.785,0.000,24.698
47,118.566,4163.600,4163.600,4088.585,1226.722,3493.513,568.979,0.000,26.093
48,121.533,2925.000,2925.000,4140.809,1262.949,3519.536,593.456,0.000,27.818
49,124.501,2177.200,2177.200,3687.508,1261.492,3053.088,605.042,0.000,29.378
50,127.469,1760.733,1760.733,2995.551,1260.035,2347.822,614.851,0.000,32.878
51,130.438,1640.600,1640.600,2368.113,1258.578,1704.644,621.589,0.000,41.879
52,133.406,1813.666,1813.666,1974.982,1257.121,1286.246,625.392,0.000,63.343
53,136.375,1896.600,1896.600,1817.114,1255.665,1083.513,627.295,0.000,106.306
54,139.343,2040.866,2040.866,1815.655,1254.208,1011.822,628.245,0.000,175.588
55,142.312,2165.666,2165.666,1889.035,1252.751,998.056,628.724,0.000,262.255
56,145.281,2365.733,2365.733,1973.607,1251.294,1004.813,629.038,0.000,339.756
57,148.251,2171.533,2171.533,2023.836,1249.837,1019.298,629.581,0.000,374.957
58,151.220,2084.866,2084.866,2019.264,1248.381,1038.801,630.650,0.000,349.813
59,154.190,1905.066,1905.066,1969.397,1246.924,1062.250,632.154,0.000,274.993
60,157.159,1720.066,1720.066,1902.150,1245.467,1086.519,633.712,0.000,181.919
61,160.129,1671.800,1671.800,1842.237,1244.010,1105.939,635.064,0.000,101.234
62,163.099,1706.400,1706.400,1798.219,1242.553,1114.479,636.352,0.000,47.388
63,166.070,1652.933,1652.933,1765.885,1241.096,1109.146,638.077,0.000,18.662
64,169.040,1621.333,1621.333,1738.987,1239.640,1091.906,640.897,0.000,6.185
65,172.011,1782.533,1782.533,1715.590,1238.183,1068.459,645.407,0.000,1.725
66,174.982,1737.066,1737.066,1697.318,1236.726,1044.986,651.926,0.000,0.405
67,177.953,1686.333,1686.333,1685.887,1235.269,1025.494,660.312,0.000,0.080
68,180.924,1648.400,1648.400,1664.822,1217.591,1001.462,663.347,0.000,0.013
69,183.895,1638.333,1638.333,1648.230,1199.913,981.862,666.366,0.000,0.002
70,186.866,1590.200,1590.200,1633.364,1182.235,965.244,668.119,0.000,0.000
71,189.838,1634.933,1634.933,1618.112,1164.557,950.378,667.734,0.000,0.000
72,192.810,1595.266,1595.266,1601.611,1146.879,936.642,664.969,0.000,0.000
73,195.782,1624.533,1624.533,1584.036,1129.201,923.942,660.094,0.000,0.000
74,198.754,1606.200,1606.200,1565.921,1111.523,912.358,653.563,0.000,0.000
75,201.726,1559.733,1559.733,1547.589,1093.845,901.827,645.762,0.000,0.000
76,204.699,1587.466,1587.466,1529.021,1076.167,892.053,636.968,0.000,0.000
77,207.671,1522.066,1522.066,1510.054,1058.489,882.624,627.430,0.000,0.000
78,210.644,1432.266,1432.266,1490.692,1040.811,873.280,617.412,0.000,0.000
79,213.617,1468.733,1468.733,1471.435,1023.133,864.255,607.180,0.000,0.000
80,216.590,1540.933,1540.933,1453.604,1005.455,856.652,596.952,0.000,0.000
81,219.564,1430.266,1430.266,1439.608,987.777,852.748,586.861,0.000,0.000
82,222.537,1487.466,1487.466,1432.925,970.099,855.966,576.960,0.000,0.000
83,225.511,1486.533,1486.533,1437.455,952.420,870.198,567.256,0.000,0.000
84,228.485,1513.466,1513.466,1455.963,934.742,898.206,557.757,0.000,0.000
85,231.459,1646.000,1646.000,1487.831,917.064,939.328,548.503,0.000,0.000
86,234.433,1538.800,1538.800,1527.101,899.386,987.539,539.562,0.000,0.000
87,237.407,1679.000,1679.000,1562.420,881.708,1031.424,530.996,0.000,0.000
88,240.382,1550.800,1550.800,1579.916,864.030,1057.102,522.814,0.000,0.000
89,243.356,1576.933,1576.933,1568.355,846.352,1053.419,514.936,0.000,0.000
90,246.331,1468.800,1468.800,1524.053,828.674,1016.849,507.204,0.000,0.000
91,249.306,1408.066,1408.066,1452.653,810.996,953.230,499.422,0.000,0.000
92,252.281,1283.266,1283.266,1372.814,799.515,878.877,493.938,0.000,0.000
93,255.257,1202.867,1202.867,1292.384,788.035,804.253,488.130,0.000,0.000
94,258.232,1117.266,1117.266,1222.023,776.554,740.050,481.973,0.000,0.000
95,261.208,1136.467,1136.467,1166.678,765.073,691.151,475.528,0.000,0.000
96,264.184,1047.867,1047.867,1126.193,753.593,657.274,468.919,0.000,0.000
97,267.160,992.333,992.333,1097.550,742.112,635.256,462.294,0.000,0.000
98,270.136,1062.400,1062.400,1077.109,730.631,621.330,455.779,0.000,0.000
99,273.112,1030.200,1030.200,1061.897,719.150,612.442,449.455,0.000,0.000
100,276.089,1076.866,1076.866,1049.898,707.670,606.558,443.340,0.000,0.000
101,279.065,1023.600,1023.600,1039.771,696.189,602.372,437.399,0.000,0.000
102,282.042,1036.133,1036.133,1030.464,684.708,598.911,431.553,0.000,0.000
103,285.019,1045.933,1045.933,1020.995,673.227,595.283,425.712,0.000,0.000
104,287.996,992.133,992.133,1010.465,661.747,590.665,419.801,0.000,0.000
105,290.974,1056.733,1056.733,998.218,650.266,584.436,413.782,0.000,0.000
