ch,keV,net,fit,model,continuum_raw,Lu-176,Esc-NaI
0,-9.377,0.000,0.000,0.000,0.000,0.000,0.000
1,-9.035,0.000,0.000,0.000,0.000,0.000,0.000
2,-8.693,0.000,0.000,0.000,0.000,0.000,0.000
3,-8.351,0.000,0.000,0.000,0.000,0.000,0.000
4,-8.009,0.000,0.000,0.000,0.000,0.000,0.000
5,-7.667,0.000,0.000,0.000,0.000,0.000,0.000
6,-7.325,0.000,0.000,0.000,0.000,0.000,0.000
7,-6.983,0.000,0.000,0.000,0.000,0.000,0.000
8,-6.641,0.000,0.000,0.000,0.000,0.000,0.000
9,-6.299,0.000,0.000,0.000,0.000,0.000,0.000
10,-5.957,0.000,0.000,0.000,0.000,0.000,0.000
11,-5.615,0.000,0.000,0.000,0.000,0.000,0.000
12,-5.273,0.000,0.000,0.000,0.000,0.000,0.000
13,-4.930,0.000,0.000,0.000,0.000,0.000,0.000
14,-4.588,0.000,0.000,0.000,0.000,0.000,0.000
15,-4.246,0.000,0.000,0.000,0.000,0.000,0.000
16,-3.904,0.000,0.000,0.000,0.000,0.000,0.000
17,-3.562,0.000,0.000,0.000,0.000,0.000,0.000
18,-3.220,0.000,0.000,0.000,0.000,0.000,0.000
19,-2.878,0.000,0.000,0.001,0.001,0.001,0.000
20,-2.536,0.000,0.000,0.002,0.002,0.002,0.000
21,-2.194,0.000,0.000,0.005,0.005,0.005,0.000
22,-1.852,0.000,0.000,0.012,0.012,0.011,0.000
23,-1.510,0.000,0.000,0.023,0.023,0.023,0.000
24,-1.168,0.000,0.000,0.042,0.042,0.041,0.001
25,-0.826,0.000,0.000,0.069,0.069,0.068,0.001
26,-0.484,0.000,0.000,0.106,0.106,0.104,0.002
27,-0.142,0.000,0.000,0.149,0.149,0.147,0.003
28,0.201,0.000,0.000,0.194,0.194,0.190,0.003
29,0.543,0.000,0.000,0.233,0.233,0.229,0.004
30,0.885,0.000,0.000,0.263,0.263,0.259,0.004
31,1.227,0.000,0.000,0.282,0.282,0.277,0.005
32,1.569,0.000,0.000,0.290,0.290,0.285,0.005
33,1.911,0.000,0.000,0.292,0.292,0.287,0.005
34,2.253,0.000,0.000,0.291,0.291,0.286,0.005
35,2.595,0.000,0.000,0.291,0.291,0.286,0.005
36,2.938,0.000,0.000,0.292,0.292,0.287,0.005
37,3.280,0.000,0.000,0.294,0.294,0.289,0.005
38,3.622,0.000,0.000,0.296,0.296,0.291,0.005
39,3.964,0.000,0.000,0.296,0.296,0.291,0.005
40,4.306,0.000,0.000,0.297,0.297,0.292,0.005
41,4.648,0.000,0.000,0.297,0.297,0.292,0.005
42,4.991,0.000,0.000,0.298,0.298,0.293,0.005
43,5.333,0.000,0.000,0.299,0.299,0.294,0.005
44,5.675,0.000,0.000,0.300,0.300,0.295,0.005
45,6.017,0.000,0.000,0.301,0.301,0.296,0.005
46,6.359,0.737,0.737,0.302,0.302,0.297,0.005
47,6.702,0.000,-0.526,0.304,0.304,0.298,0.006
48,7.044,0.000,-0.263,0.307,0.306,0.301,0.006
49,7.386,0.000,-1.052,0.312,0.309,0.304,0.008
50,7.728,1.474,1.474,0.318,0.313,0.308,0.010
51,8.070,0.000,-0.526,0.328,0.319,0.313,0.014
52,8.413,0.000,-0.052,0.341,0.325,0.319,0.022
