ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232
4479,1723.340,335.048,335.048,344.666,151.566,12.301,326.541,0.000,5.824,0.000,0.000,0.000,0.000
4480,1723.759,300.604,300.604,344.199,151.418,12.059,326.394,0.000,5.745,0.000,0.000,0.000,0.000
4481,1724.178,325.921,325.921,343.738,151.269,11.822,326.249,0.000,5.667,0.000,0.000,0.000,0.000
4482,1724.598,321.146,321.146,343.282,151.121,11.588,326.104,0.000,5.591,0.000,0.000,0.000,0.000
4483,1725.017,314.571,314.571,342.833,150.973,11.358,325.959,0.000,5.517,0.000,0.000,0.000,0.000
4484,1725.436,330.929,330.929,342.390,150.824,11.131,325.814,0.000,5.444,0.000,0.000,0.000,0.000
4485,1725.856,324.482,324.482,341.953,150.676,10.909,325.670,0.000,5.374,0.000,0.000,0.000,0.000
4486,1726.275,275.981,275.981,341.521,150.528,10.690,325.527,0.000,5.305,0.000,0.000,0.000,0.000
4487,1726.695,309.655,309.655,341.096,150.380,10.475,325.384,0.000,5.237,0.000,0.000,0.000,0.000
4488,1727.114,296.047,296.047,340.675,150.231,10.263,325.241,0.000,5.171,0.000,0.000,0.000,0.000
4489,1727.533,328.013,328.013,340.261,150.083,10.055,325.099,0.000,5.107,0.000,0.000,0.000,0.000
4490,1727.953,306.587,306.587,339.852,149.935,9.850,324.957,0.000,5.045,0.000,0.000,0.000,0.000
4491,1728.372,260.828,260.828,339.448,149.787,9.649,324.815,0.000,4.984,0.000,0.000,0.000,0.000
4492,1728.791,328.431,328.431,339.050,149.638,9.451,324.674,0.000,4.925,0.000,0.000,0.000,0.000
4493,1729.211,311.302,311.302,338.657,149.490,9.257,324.533,0.000,4.867,0.000,0.000,0.000,0.000
4494,1729.630,315.499,315.499,338.269,149.342,9.066,324.393,0.000,4.811,0.000,0.000,0.000,0.000
4495,1730.049,285.420,285.420,337.887,149.193,8.878,324.252,0.000,4.756,0.000,0.000,0.000,0.000
4496,1730.469,281.106,281.106,337.509,149.045,8.694,324.113,0.000,4.703,0.000,0.000,0.000,0.000
4497,1730.888,315.462,315.462,337.137,148.897,8.513,323.973,0.000,4.651,0.000,0.000,0.000,0.000
4498,1731.307,307.397,307.397,336.769,148.749,8.335,323.834,0.000,4.601,0.000,0.000,0.000,0.000
4499,1731.727,317.605,317.605,336.407,148.600,8.160,323.695,0.000,4.552,0.000,0.000,0.000,0.000
4500,1732.146,302.882,302.882,336.049,148.452,7.988,323.556,0.000,4.504,0.000,0.000,0.000,0.000
4501,1732.565,325.001,325.001,335.696,148.304,7.819,323.418,0.000,4.458,0.000,0.000,0.000,0.000
4502,1732.985,312.751,312.751,335.347,148.156,7.654,323.280,0.000,4.414,0.000,0.000,0.000,0.000
4503,1733.404,298.638,298.638,335.003,148.007,7.491,323.142,0.000,4.370,0.000,0.000,0.000,0.000
4504,1733.823,295.606,295.606,334.664,147.859,7.331,323.005,0.000,4.328,0.000,0.000,0.000,0.000
4505,1734.243,276.771,276.771,334.329,147.711,7.174,322.867,0.000,4.288,0.000,0.000,0.000,0.000
4506,1734.662,299.891,299.891,333.999,147.563,7.020,322.730,0.000,4.248,0.000,0.000,0.000,0.000
4507,1735.081,303.018,303.018,333.673,147.414,6.869,322.594,0.000,4.210,0.000,0.000,0.000,0.000
4508,1735.501,266.926,266.926,333.351,147.266,6.720,322.457,0.000,4.173,0.000,0.000,0.000,0.000
4509,1735.920,305.771,305.771,333.033,147.118,6.574,322.321,0.000,4.138,0.000,0.000,0.000,0.000
4510,1736.339,286.001,286.001,332.720,146.969,6.431,322.185,0.000,4.104,0.000,0.000,0.000,0.000
4511,1736.758,294.191,294.191,332.410,146.821,6.291,322.049,0.000,4.070,0.000,0.000,0.000,0.000
4512,1737.178,274.376,274.376,332.105,146.673,6.153,321.914,0.000,4.038,0.000,0.000,0.000,0.000
4513,1737.597,296.664,296.664,331.804,146.525,6.018,321.778,0.000,4.008,0.000,0.000,0.000,0.000
4514,1738.016,317.310,317.310,331.506,146.376,5.885,321.643,0.000,3.978,0.000,0.000,0.000,0.000
4515,1738.436,299.066,299.066,331.212,146.228,5.755,321.508,0.000,3.949,0.000,0.000,0.000,0.000
4516,1738.855,322.777,322.777,330.923,146.080,5.627,321.373,0.000,3.922,0.000,0.000,0.000,0.000
4517,1739.274,286.752,286.752,330.636,145.932,5.502,321.239,0.000,3.896,0.000,0.000,0.000,0.000
4518,1739.694,339.190,339.190,330.354,145.783,5.379,321.104,0.000,3.871,0.000,0.000,0.000,0.000
