E_keV;code;ICRP74;ratio_code_over_ICRP74;diff_percent;public_entry;old_RToSv_over_0876;code_over_old_percent
10;0.008;0.008;1;0;0.008;;
15;0.26;0.26;1;0;0.26;;
20;0.61;0.61;1;0;0.61;;
30;1.1;1.1;1;0;1.1;;
40;1.47;1.47;1;0;1.47;1.4726;-0.176744
50;1.67;1.67;1;0;1.67;1.66667;0.2
60;1.74;1.74;1;0;1.74;1.73516;0.278947
80;1.72;1.72;1;0;1.72;1.72374;-0.217219
100;1.65;1.65;1;0;1.65;1.64384;0.375
150;1.49;1.49;1;0;1.49;1.49543;-0.363359
200;1.4;1.4;1;0;1.4;1.39269;0.52459
300;1.31;1.31;1;0;1.31;1.31279;-0.212174
400;1.26;1.26;1;0;1.26;1.25571;0.341818
500;1.23;1.23;1;0;1.23;1.22146;0.699065
600;1.21;1.21;1;0;1.21;1.18721;1.91923
800;1.2495;1.19;1.05;5;1.2495;1.16438;7.31
1000;1.17;1.17;1;0;1.17;1.15297;1.47723
1500;1.15;1.15;1;0;1.15;1.13014;1.75758
2000;1.14;1.14;1;0;1.14;1.13014;0.872727
3000;1.13;1.13;1;0;1.13;1.11872;1.00816
4000;1.12;1.12;1;0;1.12;;
5000;1.11;1.11;1;0;1.11;;
6000;1.11;1.11;1;0;1.11;;
8000;1.11;1.11;1;0;1.11;;
10000;1.1;1.1;1;0;1.1;;
