coal_t20m_A_noeq       код 0       2 с  chi2/ndf 1.001, невязка модели 8.1 %, суммирование да
coal_t2h_A_noeq        код 0       4 с  chi2/ndf 1.205, невязка модели 11.9 %, суммирование да
coal_t3h_A_noeq        код 0       7 с  chi2/ndf 1.087, невязка модели 10.0 %, суммирование да
coal_e01_A_noeq        код 0       9 с  chi2/ndf 1.442, невязка модели 10.9 %, суммирование да
coal_e02_A_noeq        код 0      11 с  chi2/ndf 1.401, невязка модели 10.8 %, суммирование да
coal_e03_A_noeq        код 0      13 с  chi2/ndf 1.530, невязка модели 11.5 %, суммирование да
coal_e04_A_noeq        код 0      15 с  chi2/ndf 1.506, невязка модели 12.5 %, суммирование да
coal_e05_A_noeq        код 0      17 с  chi2/ndf 1.390, невязка модели 12.1 %, суммирование да
coal_e06_A_noeq        код 0      19 с  chi2/ndf 1.437, невязка модели 11.5 %, суммирование да
coal_e07_A_noeq        код 0      22 с  chi2/ndf 1.415, невязка модели 12.1 %, суммирование да
coal_e08_A_noeq        код 0      24 с  chi2/ndf 1.414, невязка модели 11.8 %, суммирование да
coal_e09_A_noeq        код 0      26 с  chi2/ndf 1.340, невязка модели 11.7 %, суммирование да
coal_e10_A_noeq        код 0      28 с  chi2/ndf 1.436, невязка модели 12.3 %, суммирование да
coal_e11_A_noeq        код 0      30 с  chi2/ndf 1.408, невязка модели 11.3 %, суммирование да
coal_e12_A_noeq        код 0      32 с  chi2/ndf 1.302, невязка модели 11.9 %, суммирование да
coal_e13_A_noeq        код 0      35 с  chi2/ndf 1.330, невязка модели 12.4 %, суммирование да
coal_e14_A_noeq        код 0      37 с  chi2/ndf 1.414, невязка модели 13.1 %, суммирование да
coal_e15_A_noeq        код 0      39 с  chi2/ndf 1.389, невязка модели 12.6 %, суммирование да
coal_e16_A_noeq        код 0      41 с  chi2/ndf 1.323, невязка модели 13.5 %, суммирование да
coal_e17_A_noeq        код 0      43 с  chi2/ndf 1.306, невязка модели 13.3 %, суммирование да
coal_e18_A_noeq        код 0      46 с  chi2/ndf 1.312, невязка модели 12.4 %, суммирование да
coal_e19_A_noeq        код 0      48 с  chi2/ndf 1.355, невязка модели 13.6 %, суммирование да
coal_e20_A_noeq        код 0      50 с  chi2/ndf 1.303, невязка модели 11.7 %, суммирование да
coal_e21_A_noeq        код 0      53 с  chi2/ndf 1.279, невязка модели 13.9 %, суммирование да
coal_e22_A_noeq        код 0      55 с  chi2/ndf 1.337, невязка модели 14.1 %, суммирование да
coal_e23_A_noeq        код 0      57 с  chi2/ndf 1.379, невязка модели 13.7 %, суммирование да
coal_e24_A_noeq        код 0      59 с  chi2/ndf 1.318, невязка модели 13.9 %, суммирование да
coal_e25_A_noeq        код 0      61 с  chi2/ndf 1.273, невязка модели 13.4 %, суммирование да
coal_e26_A_noeq        код 0      63 с  chi2/ndf 1.341, невязка модели 14.7 %, суммирование да
coal_e27_A_noeq        код 0      65 с  chi2/ndf 1.343, невязка модели 14.3 %, суммирование да
coal_e28_A_noeq        код 0      67 с  chi2/ndf 1.266, невязка модели 15.3 %, суммирование да
