peak_kev,center_kev,center_ch,fwhm_kev,fwhm_ch,fwhm_err_kev,chi2_ndf
295.2,296.699,102.436,22.825,7.5342,0.2502,28.936
351.9,355.293,121.769,31.121,10.2647,0.1830,24.482
609.3,610.836,205.903,49.678,16.3275,0.2516,4.950
1120.3,1120.067,372.689,68.181,22.2538,1.2697,2.216
1764.5,1757.355,579.809,95.280,30.8321,1.3828,1.363
2204.1,2174.179,714.333,181.068,58.2537,11.3539,1.983
#sqrtfwhm_ch,np.float64(-159.6699248025441),np.float64(2.220140681015011),np.float64(-0.000671720304160368)
#model,242.0,14.477,28.461,23.730
#model,295.2,23.402,31.555,26.987
#model,351.9,30.077,34.593,30.252
#model,609.3,49.810,46.345,43.284
#model,1120.3,73.440,65.012,64.181
#model,1764.5,92.971,84.896,85.181
#model,2204.1,102.881,97.325,97.185
#model,2614.5,110.404,108.423,107.043
