== фоны: 19.11.2025 (422720 с, 6.9935 cps) против 05.04.2026 (414717 с, 7.0115 cps) ==
область, кэВ              cps 19.11    cps 05.04     отн.        σ
40-100                      0.68809      0.69909   1.0160      6.0
160-215 (186)               0.64788      0.66621   1.0283     10.3
215-265 (239/242)           0.54580      0.55335   1.0138      4.7
270-320 (295)               0.41439      0.41563   1.0030      0.9
320-390 (352)               0.46823      0.46965   1.0030      0.9
555-660 (583/609)           0.37516      0.37387   0.9965     -1.0
690-760 (727)               0.19557      0.19572   1.0008      0.2
860-1010 (911/969)          0.33105      0.32756   0.9895     -2.8
1070-1170 (1120)            0.17378      0.16996   0.9780     -4.2
1400-1520 (1461)            0.18817      0.18406   0.9781     -4.4
1690-1850 (1764)            0.07895      0.07869   0.9967     -0.4
2100-2300 (2204)            0.06111      0.06113   1.0003      0.0
2500-2750 (2614)            0.05298      0.05263   0.9935     -0.7

ключ       t_mid,ч      cps   нетто |         40-100        160-215        215-265        270-320        320-390        555-660        690-760       860-1010      1070-1170      1400-1520      1690-1850      2100-2300      2500-2750
coal_e01      5.49   20.179  13.185 |    36795 ( 217)    17409 ( 164)    18124 ( 162)    16440 ( 150)    22620 ( 172)    15049 ( 144)     2695 (  75)     4442 (  97)     3483 (  78)     1872 (  68)     2375 (  60)      767 (  41)      253 (  32)
coal_e02      9.49   19.859  12.865 |    35852 ( 215)    16811 ( 163)    17601 ( 160)    15932 ( 149)    22027 ( 170)    14817 ( 143)     2566 (  74)     4374 (  96)     3309 (  77)     1868 (  68)     2225 (  58)      750 (  41)      310 (  33)
coal_e03     13.49   19.606  12.613 |    35193 ( 213)    16519 ( 162)    17653 ( 161)    15678 ( 148)    21622 ( 169)    14402 ( 141)     2588 (  74)     4339 (  96)     3329 (  77)     1783 (  68)     2122 (  57)      702 (  40)      247 (  32)
coal_e04     17.49   19.404  12.410 |    34313 ( 211)    16264 ( 161)    16991 ( 158)    15533 ( 147)    21279 ( 168)    14239 ( 141)     2514 (  74)     4237 (  96)     3191 (  76)     1795 (  68)     2151 (  58)      646 (  39)      307 (  33)
coal_e05     21.50   19.042  12.048 |    33463 ( 209)    16031 ( 160)    16785 ( 158)    14944 ( 145)    20495 ( 166)    13886 ( 140)     2519 (  74)     4215 (  96)     3206 (  76)     1703 (  67)     1964 (  56)      663 (  40)      278 (  33)
coal_e06     25.50   18.825  11.832 |    32688 ( 207)    15559 ( 159)    16533 ( 157)    14864 ( 145)    20159 ( 165)    13579 ( 138)     2333 (  72)     4135 (  95)     3074 (  75)     1641 (  67)     2073 (  57)      707 (  40)      318 (  33)
coal_e07     29.50   18.456  11.463 |    32079 ( 206)    15069 ( 157)    16055 ( 156)    14321 ( 143)    19354 ( 162)    13051 ( 137)     2221 (  72)     4045 (  95)     3103 (  75)     1622 (  67)     1960 (  56)      608 (  39)      267 (  32)
coal_e08     33.51   18.263  11.270 |    31681 ( 205)    14925 ( 157)    15737 ( 154)    13666 ( 141)    19051 ( 161)    12850 ( 136)     2293 (  72)     3914 (  94)     2981 (  75)     1625 (  67)     2070 (  57)      538 (  38)      254 (  32)
coal_e09     37.51   18.095  11.101 |    31277 ( 204)    14432 ( 155)    15698 ( 154)    13491 ( 140)    18776 ( 160)    12686 ( 135)     2230 (  72)     3838 (  94)     2924 (  74)     1571 (  66)     1815 (  55)      613 (  39)      358 (  34)
