key,t_mid_h,live_s,cps_total,cps_net_total,40-100_net,40-100_sig,160-215 (186)_net,160-215 (186)_sig,215-265 (239/242)_net,215-265 (239/242)_sig,270-320 (295)_net,270-320 (295)_sig,320-390 (352)_net,320-390 (352)_sig,555-660 (583/609)_net,555-660 (583/609)_sig,690-760 (727)_net,690-760 (727)_sig,860-1010 (911/969)_net,860-1010 (911/969)_sig,1070-1170 (1120)_net,1070-1170 (1120)_sig,1400-1520 (1461)_net,1400-1520 (1461)_sig,1690-1850 (1764)_net,1690-1850 (1764)_sig,2100-2300 (2204)_net,2100-2300 (2204)_sig,2500-2750 (2614)_net,2500-2750 (2614)_sig,rate_609_net,rate_609_err,rate_352_net,rate_352_err
coal_e01,5.4884,14400.0,20.1786,13.1852,36795.3,216.9,17409.2,164.5,18123.7,162.0,16440.5,150.4,22620.0,172.0,15049.3,143.7,2695.0,74.9,4442.1,96.8,3483.3,77.9,1871.7,68.4,2374.8,59.6,767.3,41.0,252.8,32.3,1.045090,0.009976,1.570831,0.011946
coal_e02,9.4910,14400.0,19.8587,12.8653,35851.7,214.7,16811.0,162.7,17600.6,160.4,15932.4,148.7,22027.2,170.3,14816.8,142.8,2566.4,74.0,4373.6,96.5,3309.3,76.8,1867.7,68.3,2225.3,58.3,749.7,40.7,310.4,33.2,1.028943,0.009919,1.529670,0.011826
coal_e03,13.4937,14400.0,19.6063,12.6129,35192.7,213.2,16518.6,161.8,17652.6,160.6,15678.2,147.8,21622.4,169.1,14402.0,141.4,2587.6,74.2,4338.9,96.3,3329.0,76.9,1782.9,67.7,2121.5,57.4,701.9,40.1,246.8,32.2,1.000138,0.009818,1.501558,0.011743
coal_e04,17.4946,14400.0,19.4038,12.4104,34313.0,211.1,16263.8,161.0,16990.9,158.5,15533.3,147.3,21278.7,168.1,14239.2,140.8,2514.2,73.7,4237.4,95.7,3190.8,76.0,1794.7,67.8,2151.0,57.7,646.2,39.4,306.9,33.1,0.988835,0.009778,1.477687,0.011672
coal_e05,21.4972,14400.0,19.0416,12.0481,33462.6,209.1,16031.4,160.2,16785.1,157.8,14943.8,145.3,20495.4,165.7,13885.9,139.5,2519.0,73.7,4215.3,95.6,3205.7,76.1,1703.1,67.1,1963.9,56.0,662.5,39.7,277.9,32.7,0.964298,0.009690,1.423291,0.011509
coal_e06,25.4999,14400.0,18.8255,11.8320,32688.1,207.2,15558.9,158.8,16533.4,157.0,14863.6,145.0,20159.2,164.7,13578.6,138.4,2333.1,72.4,4134.6,95.2,3073.5,75.2,1641.0,66.7,2072.7,57.0,706.8,40.2,317.8,33.3,0.942958,0.009614,1.399946,0.011439
coal_e07,29.5024,14400.0,18.4565,11.4630,32079.0,205.7,15069.4,157.2,16055.2,155.5,14320.5,143.1,19354.3,162.3,13050.8,136.5,2220.6,71.6,4045.2,94.7,3102.7,75.4,1622.3,66.5,1959.6,56.0,607.8,39.0,267.0,32.5,0.906302,0.009480,1.344050,0.011268
coal_e08,33.5051,14400.0,18.2630,11.2695,31680.5,204.8,14924.7,156.8,15736.9,154.5,13665.5,140.8,19051.0,161.3,12850.2,135.8,2292.7,72.1,3913.8,94.0,2980.5,74.6,1624.8,66.5,2069.6,57.0,537.6,38.0,253.6,32.3,0.892376,0.009429,1.322986,0.011203
coal_e09,37.5076,14400.0,18.0948,11.1013,31277.4,203.8,14432.3,155.2,15698.4,154.4,13490.8,140.2,18776.3,160.5,12685.7,135.2,2230.0,71.7,3838.3,93.6,2923.6,74.2,1570.8,66.1,1815.3,54.7,612.9,39.0,358.3,33.9,0.880949,0.009387,1.303910,0.011143
coal_e10,41.5100,14400.0,17.8474,10.8539,30306.4,201.4,14466.7,155.3,15406.5,153.4,13322.7,139.6,18292.8,158.9,12085.5,132.9,2226.5,71.7,4061.7,94.8,2867.7,73.9,1500.1,65.6,1831.3,54.8,569.6,38.5,262.9,32.4,0.839273,0.009232,1.270331,0.011038
coal_e11,45.5125,14400.0,17.5783,10.5848,29540.8,199.5,13972.8,153.7,15028.8,152.2,13121.0,138.9,17781.1,157.3,12065.9,132.9,2189.6,71.4,3706.0,92.9,2778.7,73.3,1480.0,65.4,1766.9,54.2,579.8,38.6,335.8,33.5,0.837907,0.009227,1.234796,0.010926
coal_e12,49.5152,14400.0,17.5115,10.5181,29180.0,198.6,14030.1,153.9,15044.8,152.2,12969.3,138.3,17601.9,156.8,11883.7,132.2,2151.2,71.2,3921.5,94.1,2742.1,73.0,1403.2,64.8,1739.9,54.0,592.4,38.8,277.4,32.7,0.825260,0.009179,1.222353,0.010886
coal_e13,53.5174,14400.0,17.1272,10.1338,28375.5,196.5,13570.7,152.4,14558.5,150.6,12183.6,135.5,16987.0,154.8,11425.1,130.4,2104.1,70.8,3695.7,92.9,2763.8,73.2,1348.4,64.4,1722.2,53.8,590.2,38.7,312.2,33.2,0.793408,0.009058,1.179654,0.010749
coal_e14,57.5199,14400.0,17.0175,10.0240,28133.1,195.9,13124.1,150.9,14227.9,149.5,11952.4,134.6,16916.2,154.6,11316.0,130.0,2113.8,70.9,3640.7,92.6,2577.8,71.9,1429.7,65.1,1672.1,53.4,572.0,38.5,314.8,33.2,0.785834,0.009028,1.174739,0.010733
coal_e15,61.5223,14400.0,16.7972,9.8037,27838.7,195.2,12749.5,149.7,14108.2,149.1,11910.9,134.5,16170.7,152.1,10802.0,128.0,1977.6,69.9,3610.1,92.4,2546.0,71.6,1396.8,64.8,1650.7,53.2,633.1,39.3,289.7,32.8,0.750141,0.008890,1.122962,0.010564
coal_e16,65.5248,14400.0,16.5869,9.5935,27263.3,193.7,12455.1,148.7,13756.0,147.9,11676.4,133.6,15825.9,151.0,10771.1,127.9,2016.2,70.2,3602.7,92.4,2388.9,70.5,1310.4,64.1,1633.2,53.0,490.2,37.4,283.2,32.7,0.747996,0.008882,1.099019,0.010485
