геометрия: RC103_point0_p55: кристалл Cesium iodide брусок 10.0x10.0x10.0 мм, ро 4.510; источник — точка, 0.0 мм, Air, dry
грань: front, точка (0, 0, 0) см, нормаль наружу (0, 0, -1); N = 200000, зерно 20260917

ОБРАТНОЕ РАССЕЯНИЕ ОТ СЛОЁВ ОБВЯЗКИ (TransportInLayers, ключ ВКЛ): доля вернувшихся η, средняя энергия возврата ⟨T′⟩/T, средний |cos| угла возврата к нормали
  T, кэВ     θ°         η         ±    ⟨T′⟩/T   ⟨|cos|⟩
      50      0    0.0677    0.0006     0.475     0.717
      50     45    0.1943    0.0009     0.605     0.642
      50     70    0.4308    0.0011     0.749     0.503
     100      0    0.0618    0.0005     0.463     0.718
     100     45    0.1891    0.0009     0.593     0.640
     100     70    0.4252    0.0011     0.741     0.500
     200      0    0.0576    0.0005     0.438     0.724
     200     45    0.1806    0.0009     0.570     0.643
     200     70    0.4201    0.0011     0.728     0.497
     300      0    0.0530    0.0005     0.419     0.719
     300     45    0.1770    0.0009     0.556     0.642
     300     70    0.4150    0.0011     0.715     0.498
     500      0    0.0466    0.0005     0.392     0.725
     500     45    0.1660    0.0008     0.528     0.644
     500     70    0.4059    0.0011     0.694     0.496
    1000      0    0.0317    0.0004     0.330     0.724
    1000     45    0.1427    0.0008     0.472     0.649
    1000     70    0.3863    0.0011     0.652     0.494
    2000      0    0.0316    0.0004     0.256     0.736
    2000     45    0.1239    0.0007     0.372     0.670
    2000     70    0.3598    0.0011     0.583     0.495
