процесс пробы:     целевая платформа входной сборки=.NETFramework,Version=v4.8, NoAsyncCurrentCulture=по умолчанию платформы
культура ОС:       ru-RU; культура потока при старте: ru-RU
общий приём:       тип BecquerelMonitor.InvariantNumericUpDown в сборке ЕСТЬ
одиночки заведены: приборы, термометры, ROI, конфигурация, нуклиды

══ КУЛЬТУРА ПОТОКА en-US ═════════════════════════════════════════════
    (ПОДБРОШЕННЫЙ)                     подброшенный                 dp=2 печать «0.50»  подано «50.01» → 50.01

  AudioInputDeviceForm: полей со стрелками — 2

  DCCountRateView: полей со стрелками — 1

  DCEnergyCalibrationView: полей со стрелками — 1

  DCPeakDetectionView: полей со стрелками — 2

  DCSampleInfoView: полей со стрелками — 2

  DeviceConfigForm: полей со стрелками — 12

  EfficiencyMakerForm: полей со стрелками — 8

  GlobalConfigForm: полей со стрелками — 12

  ROIConfigForm: полей со стрелками — 1

  ToolStripEnergyCalibrationControl: полей со стрелками — 3

  ToolStripNumericUpdown: полей со стрелками — 1

  ResponseMatrixForm: полей со стрелками — 6

══ КУЛЬТУРА ПОТОКА ru-RU ═════════════════════════════════════════════
    (ПОДБРОШЕННЫЙ)                     подброшенный                 dp=2 печать «0,50»  подано «50.01» → 0.5  ⛔ЗАПЯТАЯ  ⛔ПЕЧАТЬ≠en  ⛔РАЗБОР≠en  ⛔ТОЧКА СЪЕДЕНА

  AudioInputDeviceForm: полей со стрелками — 2

  DCCountRateView: полей со стрелками — 1

  DCEnergyCalibrationView: полей со стрелками — 1

  DCPeakDetectionView: полей со стрелками — 2

  DCSampleInfoView: полей со стрелками — 2

  DeviceConfigForm: полей со стрелками — 12

  EfficiencyMakerForm: полей со стрелками — 8

  GlobalConfigForm: полей со стрелками — 12

  ROIConfigForm: полей со стрелками — 1

  ToolStripEnergyCalibrationControl: полей со стрелками — 3

  ToolStripNumericUpdown: полей со стрелками — 1

  ResponseMatrixForm: полей со стрелками — 6

══ СТРЕЛКИ И НАБРАННАЯ ЗАПЯТАЯ (культура потока ru-RU) ═══════════════

  подброшенный (голый):
     набрано «0.5», стрелка вверх (шаг 1) → значение 10, в поле «10,00»
     набранная запятая: пропущена; «0,5» прочтено как 0.5, в поле «0,50»
     набрано «1.5» → 0.5, в поле «0,50»

  общий InvariantNumericUpDown:
     набрано «0.5», стрелка вверх (шаг 1) → значение 1.5, в поле «1.50»
     набранная запятая: пропущена; «0,5» прочтено как 0.5, в поле «0.50»
     набрано «1.5» → 1.5, в поле «1.50»

══ ИТОГ ══════════════════════════════════════════════════════════════
сцен построено: 24, не построилось: 0
полей формы НЕ общего типа InvariantNumericUpDown: 0 (после правки обязано быть 0)

положительный контроль: подброшенный голый NumericUpDown найден по всем трём признакам (печать, разбор, набор) — проба мерит

ПОЛЯ ФОРМ, найдено: 51
  en-US: с запятой в печати 0 (запятая под английской культурой — это ГРУППИРОВКА разрядов, `A244`)
  ru-RU: с запятой в печати 0, печать разошлась с en-US 0, разбор разошёлся с en-US 0, съело набранную точку 0

модальных окон за прогон: 0 (обязано быть 0; контроль сторожа — ключ --modal-control)

══ ТАБЛИЦА ══
культура	сцена	имя	тип	dp	группы	печать	подано	разобрано	запятая	печать≠en	разбор≠en	набор
en-US	(ПОДБРОШЕННЫЙ)	подброшенный	NumericUpDown	2	-	0.50	50.01	50.01	-	-	-	-
en-US	AudioInputDeviceForm	numericUpDown2	InvariantNumericUpDown	0	-	0	32	32	-	-	-	-
en-US	AudioInputDeviceForm	numericUpDown1	InvariantNumericUpDown	0	-	8	132	132	-	-	-	-
en-US	DCCountRateView	windowControl	InvariantNumericUpDown	2	-	3.00	60.01	60.01	-	-	-	-
en-US	DCEnergyCalibrationView	numericUpDown6	InvariantNumericUpDown	0	-	0	2	2	-	-	-	-
en-US	DCPeakDetectionView	numericUpDown3	InvariantNumericUpDown	1	-	1.0	50.1	50.1	-	-	-	-
en-US	DCPeakDetectionView	numericUpDown1	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	DCSampleInfoView	numericUpDownVolume	InvariantNumericUpDown	3	-	0.000	50.001	50.001	-	-	-	-
en-US	DCSampleInfoView	numericUpDownWeight	InvariantNumericUpDown	3	-	0.000	50.001	50.001	-	-	-	-
en-US	DeviceConfigForm	rightSkewnumericUpDown	InvariantNumericUpDown	1	-	1.0	2.1	2.1	-	-	-	-
en-US	DeviceConfigForm	leftSkewnumericUpDown	InvariantNumericUpDown	1	-	1.0	2.1	2.1	-	-	-	-
en-US	DeviceConfigForm	numericUpDown4	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	DeviceConfigForm	numericUpDown6	InvariantNumericUpDown	1	-	0.0	50.1	50.1	-	-	-	-
en-US	DeviceConfigForm	numericUpDown3	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	DeviceConfigForm	numericUpDown12	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	DeviceConfigForm	numericUpDown13	InvariantNumericUpDown	0	-	51	50	51	-	-	-	-
en-US	DeviceConfigForm	numericUpDown14	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	DeviceConfigForm	numericUpDown15	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	DeviceConfigForm	numericUpDown16	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	DeviceConfigForm	numericUpDownWidenFactor	InvariantNumericUpDown	2	-	0.00	50.01	50.01	-	-	-	-
en-US	DeviceConfigForm	upDownDoseRateValue	InvariantNumericUpDown	2	-	0.50	50.01	50.01	-	-	-	-
en-US	EfficiencyMakerForm	(без имени)	InvariantNumericUpDown	0	-	5	501	501	-	-	-	-
en-US	EfficiencyMakerForm	(без имени)	InvariantNumericUpDown	0	-	3000	510	510	-	-	-	-
en-US	EfficiencyMakerForm	(без имени)	InvariantNumericUpDown	0	-	34	251	251	-	-	-	-
en-US	EfficiencyMakerForm	(без имени)	InvariantNumericUpDown	0	-	200000	1500	1500	-	-	-	-
en-US	EfficiencyMakerForm	(без имени)	InvariantNumericUpDown	0	-	15	33	33	-	-	-	-
en-US	EfficiencyMakerForm	orderNumericUpDown	InvariantNumericUpDown	0	-	3	4	4	-	-	-	-
en-US	EfficiencyMakerForm	minIntensityNumericUpDown	InvariantNumericUpDown	1	-	1.0	50.1	50.1	-	-	-	-
en-US	EfficiencyMakerForm	minSignificanceNumericUpDown	InvariantNumericUpDown	1	-	4.0	50.1	50.1	-	-	-	-
en-US	GlobalConfigForm	numericUpDown8	InvariantNumericUpDown	0	-	5	51	51	-	-	-	-
en-US	GlobalConfigForm	numericUpDown9	InvariantNumericUpDown	0	-	1	25	25	-	-	-	-
en-US	GlobalConfigForm	numericUpDown13	InvariantNumericUpDown	0	-	100	500	500	-	-	-	-
en-US	GlobalConfigForm	numericUpDown3	InvariantNumericUpDown	0	-	100	600	600	-	-	-	-
en-US	GlobalConfigForm	numericUpDown2	InvariantNumericUpDown	0	-	1	51	51	-	-	-	-
en-US	GlobalConfigForm	numericUpDown1	InvariantNumericUpDown	0	-	1	51	51	-	-	-	-
en-US	GlobalConfigForm	numericUpDown14	InvariantNumericUpDown	4	-	0.0000	500.0001	500.0001	-	-	-	-
en-US	GlobalConfigForm	numericUpDown7	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	GlobalConfigForm	numericUpDown6	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	GlobalConfigForm	numericUpDown10	InvariantNumericUpDown	0	-	1	501	501	-	-	-	-
en-US	GlobalConfigForm	numericUpDown5	InvariantNumericUpDown	2	-	1.00	50.01	50.01	-	-	-	-
en-US	GlobalConfigForm	numericUpDown4	InvariantNumericUpDown	2	-	1.00	50.01	50.01	-	-	-	-
en-US	ROIConfigForm	numericUpDown1	InvariantNumericUpDown	1	-	5.0	50.1	50.1	-	-	-	-
en-US	ToolStripEnergyCalibrationControl	numericUpDown3	InvariantNumericUpDown	4	-	0.0000	-9499.9999	-9499.9999	-	-	-	-
en-US	ToolStripEnergyCalibrationControl	numericUpDown2	InvariantNumericUpDown	4	-	0.0100	500.0001	500.0001	-	-	-	-
en-US	ToolStripEnergyCalibrationControl	numericUpDown1	InvariantNumericUpDown	7	-	0.0000000	0.0000001	0.0000001	-	-	-	-
en-US	ToolStripNumericUpdown	(без имени)	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
en-US	ResponseMatrixForm	(без имени)	InvariantNumericUpDown	0	-	5	253	253	-	-	-	-
en-US	ResponseMatrixForm	(без имени)	InvariantNumericUpDown	0	-	3000	1000	1000	-	-	-	-
en-US	ResponseMatrixForm	(без имени)	InvariantNumericUpDown	0	-	140	254	254	-	-	-	-
en-US	ResponseMatrixForm	(без имени)	InvariantNumericUpDown	0	-	2	11	11	-	-	-	-
en-US	ResponseMatrixForm	(без имени)	InvariantNumericUpDown	0	-	3000000	1500	1500	-	-	-	-
en-US	ResponseMatrixForm	(без имени)	InvariantNumericUpDown	0	-	15	33	33	-	-	-	-
ru-RU	(ПОДБРОШЕННЫЙ)	подброшенный	NumericUpDown	2	-	0,50	50.01	0.5	ЗАПЯТАЯ	ПЕЧАТЬ≠en	РАЗБОР≠en	ТОЧКА-СЪЕДЕНА
ru-RU	AudioInputDeviceForm	numericUpDown2	InvariantNumericUpDown	0	-	0	32	32	-	-	-	-
ru-RU	AudioInputDeviceForm	numericUpDown1	InvariantNumericUpDown	0	-	8	132	132	-	-	-	-
ru-RU	DCCountRateView	windowControl	InvariantNumericUpDown	2	-	3.00	60.01	60.01	-	-	-	-
ru-RU	DCEnergyCalibrationView	numericUpDown6	InvariantNumericUpDown	0	-	0	2	2	-	-	-	-
ru-RU	DCPeakDetectionView	numericUpDown3	InvariantNumericUpDown	1	-	1.0	50.1	50.1	-	-	-	-
ru-RU	DCPeakDetectionView	numericUpDown1	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
ru-RU	DCSampleInfoView	numericUpDownVolume	InvariantNumericUpDown	3	-	0.000	50.001	50.001	-	-	-	-
ru-RU	DCSampleInfoView	numericUpDownWeight	InvariantNumericUpDown	3	-	0.000	50.001	50.001	-	-	-	-
ru-RU	DeviceConfigForm	rightSkewnumericUpDown	InvariantNumericUpDown	1	-	1.0	2.1	2.1	-	-	-	-
ru-RU	DeviceConfigForm	leftSkewnumericUpDown	InvariantNumericUpDown	1	-	1.0	2.1	2.1	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown4	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown6	InvariantNumericUpDown	1	-	0.0	50.1	50.1	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown3	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown12	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown13	InvariantNumericUpDown	0	-	51	50	51	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown14	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown15	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDown16	InvariantNumericUpDown	0	-	0	50	50	-	-	-	-
ru-RU	DeviceConfigForm	numericUpDownWidenFactor	InvariantNumericUpDown	2	-	0.00	50.01	50.01	-	-	-	-
ru-RU	DeviceConfigForm	upDownDoseRateValue	InvariantNumericUpDown	2	-	0.50	50.01	50.01	-	-	-	-
