ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
3952,1502.829,593.022,593.022,439.400,181.848,131.180,288.778,0.000,19.443,0.000,0.000,0.000,0.000,0.000,0.000
3953,1503.245,587.434,587.434,439.584,181.711,131.347,288.717,0.000,19.520,0.000,0.000,0.000,0.000,0.000,0.000
3954,1503.662,613.308,613.308,439.766,181.573,131.511,288.658,0.000,19.597,0.000,0.000,0.000,0.000,0.000,0.000
3955,1504.078,549.074,549.074,439.946,181.436,131.671,288.599,0.000,19.675,0.000,0.000,0.000,0.000,0.000,0.000
3956,1504.494,591.962,591.962,440.124,181.298,131.829,288.541,0.000,19.754,0.000,0.000,0.000,0.000,0.000,0.000
3957,1504.911,605.633,605.633,440.300,181.161,131.984,288.484,0.000,19.833,0.000,0.000,0.000,0.000,0.000,0.000
3958,1505.327,589.066,589.066,440.475,181.023,132.136,288.428,0.000,19.912,0.000,0.000,0.000,0.000,0.000,0.000
3959,1505.743,645.127,645.127,440.648,180.886,132.284,288.372,0.000,19.991,0.000,0.000,0.000,0.000,0.000,0.000
3960,1506.160,558.928,558.928,440.819,180.748,132.429,288.318,0.000,20.071,0.000,0.000,0.000,0.000,0.000,0.000
3961,1506.576,590.301,590.301,440.988,180.611,132.572,288.265,0.000,20.152,0.000,0.000,0.000,0.000,0.000,0.000
3962,1506.993,604.196,604.196,441.156,180.473,132.711,288.213,0.000,20.232,0.000,0.000,0.000,0.000,0.000,0.000
3963,1507.409,621.491,621.491,441.321,180.336,132.847,288.162,0.000,20.313,0.000,0.000,0.000,0.000,0.000,0.000
3964,1507.826,626.242,626.242,441.485,180.198,132.980,288.112,0.000,20.394,0.000,0.000,0.000,0.000,0.000,0.000
3965,1508.242,631.422,631.422,441.647,180.061,133.109,288.063,0.000,20.475,0.000,0.000,0.000,0.000,0.000,0.000
3966,1508.658,518.410,518.410,441.808,179.923,133.236,288.015,0.000,20.557,0.000,0.000,0.000,0.000,0.000,0.000
3967,1509.075,593.705,593.705,441.966,179.786,133.360,287.968,0.000,20.639,0.000,0.000,0.000,0.000,0.000,0.000
