spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
ASN16_Th232,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,19,12,397,375,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 4, линий 131; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1588, DE-1588, SE-1631, DE-1631",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Charoite,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,18,12,58,47,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 3, линий 91; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-1764, DE-1764, SE-2204, DE-2204, SE-2448, DE-2448",0,0,0,-1,0,0.000,,,0.0000,
ASN16_UGlass,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,10,5,85,94,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 3, линий 232; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 6; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Granite,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,16,12,12,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 3, атомных 2, линий 408; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 10; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1764, DE-1764, SE-2204, DE-2204",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Charoite_v2,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,16,13,9,0,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 3, атомных 3, линий 192; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1764, DE-1764, SE-2204, DE-2204",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Th232_Am241,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,22,11,11,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 2, линий 119; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-2615, DE-2615, SE-1588, DE-1588, SE-1631, DE-1631",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Am241,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,13,3,6,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 2, линий 6; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Cs137,ASN16,unknown,28.4941,5.3380,1.000000,0.000,0,0,0,0,файла нет,0,1,1,13,3,174,172,,0,,652.1012,,14.676,sample,"распад 1, атомных 2, линий 14; полоса сведена ПОЛОМ ПО КРИВОЙ 16.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,2,0,0.000,привязки нет: без матрицы отклика синего канала нет,,0.0000,
ASN16_Cs137_10cm,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,5,2,6,0,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 1, атомных 1, линий 9; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",0,0,0,-1,0,0.000,,,0.0000,
ASN16_BrazilNuts,ASN16,unknown,ERROR,,0.000000,0.000,0,0,0,0,кривой нет,0,0,1,14,12,6,16,,0,нет геометрии — разбора не было (A277: кристалл описывается в редакторе геометрии у кривой эффективности),,,,sample,"распад 2, атомных 3, линий 91; пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); членов ряда ниже порога ветвления 4; вылет: долей кристалла нет, считаны равными; вылет: долей кристалла нет, считаны равными; вылет от линий состава: SE-1764, DE-1764, SE-2204, DE-2204, SE-2448, DE-2448",0,0,0,-1,0,0.000,,,0.0000,
ASN16_Lu176,ASN16,known,3.7535,1.9374,0.988836,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,11,4,297,297,,0,,22.3665,,20.203,sample,"распад 1, атомных 3, линий 24; полоса сведена ПОЛОМ ПО КРИВОЙ 30.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание); аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,2,2,0.000,"опор 2; усиление 0.98884, ноль 0.00 кэВ (0.000 кан.); свет CsI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.82 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 2 из 4, нет плеча (205.2…308.7 кэВ)), растяжение 1.01570 по 306.8 кэВ",CsI:Tl,1.0000,line
ASN16_Lu176_P0,ASN16,known,0.4089,1.0000,0.996556,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,5,4,227,219,,0,,0.5091,,0.000,sample,"распад 1, атомных 3, линий 24; полоса сведена ПОЛОМ ПО КРИВОЙ 30.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание); аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,0.000,"опор 2; усиление 0.99656, ноль 0.00 кэВ (0.000 кан.); свет CsI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.92 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 2 из 4, нет плеча (205.2…308.7 кэВ)), растяжение 1.02909 по 306.8 кэВ",CsI:Tl,1.0000,line
﻿spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S16_Am241_P25,G1S16,known,1.5801,1.2570,0.869905,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,2,3,30,31,,0,,3.7501,,17.211,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.86991, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.92 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.20027 по 59.5 кэВ",NaI:Tl,1.0000,line
