spectrum,part,chi2ndf_a,chi2ndf_b,tail_a,grey_below_a,grey_below_b,grey_grew_by_tail,missing_a,missing_b,shares_a_to_b
AS80_Cs137_0cm,known,3.9706,3.9706,85288.1,296198.4,381434.7,0,5.144,4.228,"Cs-137 95.840->94.804"
ASN16_Lu176,known,3.7535,3.7535,135548.0,148057.5,283605.5,1,6.451,6.285,"Lu-176 93.952->90.993; Xray-Lu 2.181->2.112; pile-up 0.315->0.305"
ASN16_Lu176_P0,known,0.4089,0.4089,1053.9,1258.4,2312.3,1,13.325,13.285,"Lu-176 96.229->93.320"
G1S16_Co57_P5,known,1.0076,1.0076,330.0,658.5,978.1,0,23.235,20.875,"Co-57 89.131->85.608"
G1S16_Co60_P5,known,9.6069,9.6069,4809.4,148824.5,153633.6,1,5.367,5.305,"Co-60 94.758->94.598"
G1S16_Cs137_P5,known,8.2573,8.2573,1.7,263154.2,263155.9,1,3.990,3.990,"Cs-137 94.561->94.561"
G1S16_Eu152_P25,known,3.4288,3.4288,1.2,65763.2,65764.3,1,4.696,4.696,"Eu-152 92.377->92.377"
G1S16_Eu152_P5,known,13.9796,13.9796,0.5,324126.7,324127.3,1,7.093,7.093,"Eu-152 93.435->93.435"
G1S16_Mn54_P25,known,1.5796,1.5796,92.8,13452.0,13544.8,1,3.312,3.291,"Mn-54 92.680->92.633"
G1S16_Mn54_P5,known,2.8640,2.8640,30750.5,15212.6,45963.0,1,5.952,3.471,"Mn-54 97.452->92.805"
G1S16_Y88_P5,known,1.3388,1.3388,348.1,2498.3,2846.4,1,6.726,6.445,"Ann-511 1.522->1.511; Y-88 93.479->92.833"
G1S24_Y88_P5,known,8.1913,8.1913,33357.9,198395.6,231753.4,1,3.782,3.289,"Ann-511 1.301->1.290; Y-88 93.668->92.883"
G1S24_Zn65_P5,known,1.0691,1.0691,34.7,1487.3,1522.0,1,7.641,7.594,"Ann-511 7.335->7.327; Zn-65 87.551->87.452"
свод: спектров с хвостом у А 13; χ²/ndf сдвинулся у 0 (ожидание 0); серый слой ниже порога вырос ровно на хвост у 11 из 13; «не описано» не выросло у 13 из 13
