ch,keV,net,fit,model,continuum_raw,Lu-176,continuum
90,25.142,0.000,-452.893,0.215,0.000,0.215,0.000
91,25.507,0.000,-411.406,0.320,0.000,0.320,0.000
92,25.871,0.000,-447.979,0.471,0.000,0.471,0.000
93,26.235,0.000,-391.055,0.682,0.000,0.682,0.000
94,26.600,0.000,-478.313,0.974,0.000,0.974,0.000
95,26.964,0.000,-449.588,1.373,0.000,1.373,0.000
96,27.328,0.000,-480.860,1.908,0.000,1.908,0.000
97,27.693,0.000,-493.252,2.615,0.000,2.615,0.000
98,28.057,0.000,-459.546,3.536,0.000,3.536,0.000
99,28.422,0.000,-467.040,4.717,0.000,4.717,0.000
100,28.786,0.000,-510.667,6.210,0.000,6.210,0.000
101,29.151,0.000,-482.716,8.067,0.000,8.067,0.000
102,29.515,0.000,-526.540,10.342,0.000,10.342,0.000
103,29.879,0.000,-509.232,13.090,0.000,13.090,0.000
104,30.244,0.000,-527.508,16.357,0.000,16.357,0.000
105,30.608,0.000,-552.976,20.184,0.000,20.184,0.000
106,30.973,0.000,-533.818,24.602,0.000,24.602,0.000
107,31.337,0.000,-525.901,29.626,0.000,29.626,0.000
108,31.702,0.000,-478.394,35.258,0.000,35.258,0.000
109,32.066,0.000,-484.649,41.481,0.000,41.481,0.000
110,32.431,0.000,-541.181,48.260,0.000,48.260,0.000
111,32.795,0.000,-495.461,55.544,0.000,55.544,0.000
112,33.160,0.000,-485.984,63.269,0.000,63.269,0.000
113,33.524,0.000,-516.791,71.358,0.000,71.358,0.000
114,33.889,0.000,-522.275,79.728,0.000,79.728,0.000
115,34.253,0.000,-493.465,88.296,0.000,88.296,0.000
116,34.618,0.000,-499.241,96.982,0.000,96.982,0.000
117,34.982,0.000,-492.012,105.717,0.000,105.717,0.000
118,35.347,0.000,-539.393,114.451,0.000,114.451,0.000
119,35.711,0.000,-499.532,123.154,0.000,123.154,0.000
120,36.076,0.000,-518.182,131.820,0.000,131.820,0.000
121,36.440,0.000,-492.867,140.474,0.000,140.474,0.000
122,36.805,0.000,-470.697,149.170,0.000,149.170,0.000
123,37.169,0.000,-458.293,157.993,0.000,157.993,0.000
124,37.534,0.000,-475.747,167.061,0.000,167.061,0.000
125,37.899,0.000,-443.004,176.519,0.000,176.519,0.000
126,38.263,0.000,-428.246,186.542,0.000,186.542,0.000
