ch,keV,net,fit,model,continuum_raw,Lu-176,continuum
2177,801.169,25.613,25.613,7.120,7.120,7.120,0.000
2178,801.548,0.000,-0.924,7.118,7.118,7.118,0.000
2179,801.928,9.345,9.345,7.115,7.115,7.115,0.000
2180,802.307,20.571,20.571,7.112,7.112,7.112,0.000
2181,802.686,0.000,-0.702,7.110,7.110,7.110,0.000
2182,803.066,0.631,0.631,7.107,7.107,7.107,0.000
2183,803.445,5.896,5.896,7.104,7.104,7.104,0.000
2184,803.825,16.855,16.855,7.102,7.102,7.102,0.000
2185,804.204,3.025,3.025,7.099,7.099,7.099,0.000
2186,804.583,6.021,6.021,7.096,7.096,7.096,0.000
2187,804.963,16.781,16.781,7.094,7.094,7.094,0.000
2188,805.342,1.814,1.814,7.091,7.091,7.091,0.000
2189,805.722,12.744,12.744,7.088,7.088,7.088,0.000
2190,806.101,3.079,3.079,7.086,7.086,7.086,0.000
2191,806.480,11.072,11.072,7.083,7.083,7.083,0.000
2192,806.860,8.493,8.493,7.080,7.080,7.080,0.000
2193,807.239,13.060,13.060,7.078,7.078,7.078,0.000
2194,807.619,12.833,12.833,7.075,7.075,7.075,0.000
2195,807.998,3.022,3.022,7.072,7.072,7.072,0.000
2196,808.378,7.377,7.377,7.069,7.069,7.069,0.000
2197,808.757,10.194,10.194,7.067,7.067,7.067,0.000
2198,809.137,4.435,4.435,7.064,7.064,7.064,0.000
2199,809.516,8.749,8.749,7.061,7.061,7.061,0.000
2200,809.896,3.639,3.639,7.059,7.059,7.059,0.000
2201,810.275,9.942,9.942,7.056,7.056,7.056,0.000
2202,810.655,9.151,9.151,7.053,7.053,7.053,0.000
2203,811.034,5.646,5.646,7.051,7.051,7.051,0.000
2204,811.414,5.603,5.603,7.048,7.048,7.048,0.000
2205,811.793,8.628,8.628,7.045,7.045,7.045,0.000
2206,812.173,0.000,-0.302,7.043,7.043,7.043,0.000
2207,812.552,3.807,3.807,7.040,7.040,7.040,0.000
2208,812.932,11.857,11.857,7.037,7.037,7.037,0.000
2209,813.311,12.459,12.459,7.035,7.035,7.035,0.000
2210,813.691,4.853,4.853,7.032,7.032,7.032,0.000
2211,814.071,6.731,6.731,7.029,7.029,7.029,0.000
2212,814.450,6.319,6.319,7.027,7.027,7.027,0.000
2213,814.830,14.136,14.136,7.024,7.024,7.024,0.000
2214,815.209,10.248,10.248,7.021,7.021,7.021,0.000
2215,815.589,0.000,-7.394,7.019,7.019,7.019,0.000
2216,815.969,14.814,14.814,7.016,7.016,7.016,0.000
2217,816.348,7.948,7.948,7.013,7.013,7.013,0.000
2218,816.728,0.000,-4.729,7.010,7.010,7.010,0.000
2219,817.107,21.964,21.964,7.008,7.008,7.008,0.000
2220,817.487,13.671,13.671,7.005,7.005,7.005,0.000
2221,817.867,0.000,-2.293,7.002,7.002,7.002,0.000
2222,818.246,5.667,5.667,7.000,7.000,7.000,0.000
2223,818.626,11.368,11.368,6.997,6.997,6.997,0.000
2224,819.006,1.743,1.743,6.994,6.994,6.994,0.000
2225,819.385,0.000,-3.066,6.992,6.992,6.992,0.000
2226,819.765,9.270,9.270,6.989,6.989,6.989,0.000
2227,820.145,10.721,10.721,6.986,6.986,6.986,0.000
2228,820.524,5.297,5.297,6.984,6.984,6.984,0.000
2229,820.904,7.075,7.075,6.981,6.981,6.981,0.000
2230,821.284,7.087,7.087,6.978,6.978,6.978,0.000
2231,821.664,16.533,16.533,6.976,6.976,6.976,0.000
2232,822.043,0.000,-3.988,6.973,6.973,6.973,0.000
2233,822.423,12.521,12.521,6.970,6.970,6.970,0.000
2234,822.803,8.437,8.437,6.968,6.968,6.968,0.000
2235,823.183,1.869,1.869,6.965,6.965,6.965,0.000
2236,823.562,9.926,9.926,6.962,6.962,6.962,0.000
2237,823.942,0.822,0.822,6.960,6.960,6.960,0.000
2238,824.322,10.837,10.837,6.957,6.957,6.957,0.000
2239,824.702,12.388,12.388,6.954,6.954,6.954,0.000
2240,825.081,11.090,11.090,6.951,6.951,6.951,0.000
2241,825.461,1.332,1.332,6.949,6.949,6.949,0.000
2242,825.841,4.686,4.686,6.946,6.946,6.946,0.000
2243,826.221,3.120,3.120,6.943,6.943,6.943,0.000
2244,826.601,6.950,6.950,6.941,6.941,6.941,0.000
2245,826.980,3.424,3.424,6.938,6.938,6.938,0.000
2246,827.360,11.479,11.479,6.935,6.935,6.935,0.000
2247,827.740,4.596,4.596,6.933,6.933,6.933,0.000
2248,828.120,9.742,9.742,6.930,6.930,6.930,0.000
2249,828.500,10.173,10.173,6.927,6.927,6.927,0.000
2250,828.880,14.306,14.306,6.925,6.925,6.925,0.000
2251,829.260,2.175,2.175,6.922,6.922,6.922,0.000
2252,829.639,13.608,13.608,6.919,6.919,6.919,0.000
2253,830.019,16.065,16.065,6.917,6.917,6.917,0.000
2254,830.399,17.279,17.279,6.914,6.914,6.914,0.000
2255,830.779,8.555,8.555,6.911,6.911,6.911,0.000
2256,831.159,8.993,8.993,6.909,6.909,6.909,0.000
2257,831.539,7.927,7.927,6.906,6.906,6.906,0.000
2258,831.919,18.296,18.296,6.903,6.903,6.903,0.000
2259,832.299,5.268,5.268,6.901,6.901,6.901,0.000
2260,832.679,10.788,10.788,6.898,6.898,6.898,0.000
2261,833.059,0.000,-0.591,6.895,6.895,6.895,0.000
2262,833.439,2.234,2.234,6.892,6.892,6.892,0.000
2263,833.818,19.309,19.309,6.890,6.890,6.890,0.000
2264,834.198,4.402,4.402,6.887,6.887,6.887,0.000
2265,834.578,5.242,5.242,6.884,6.884,6.884,0.000
2266,834.958,13.576,13.576,6.882,6.882,6.882,0.000
2267,835.338,1.360,1.360,6.879,6.879,6.879,0.000
2268,835.718,4.841,4.841,6.876,6.876,6.876,0.000
2269,836.098,0.000,-2.102,6.874,6.874,6.874,0.000
2270,836.478,14.958,14.958,6.871,6.871,6.871,0.000
2271,836.858,13.095,13.095,6.868,6.868,6.868,0.000
2272,837.238,4.161,4.161,6.866,6.866,6.866,0.000
2273,837.618,0.000,-0.257,6.863,6.863,6.863,0.000
2274,837.998,3.784,3.784,6.860,6.860,6.860,0.000
2275,838.378,14.969,14.969,6.858,6.858,6.858,0.000
2276,838.758,14.789,14.789,6.855,6.855,6.855,0.000
2277,839.139,12.385,12.385,6.852,6.852,6.852,0.000
2278,839.519,10.126,10.126,6.850,6.850,6.850,0.000
2279,839.899,1.899,1.899,6.847,6.847,6.847,0.000
2280,840.279,7.980,7.980,6.844,6.844,6.844,0.000
2281,840.659,16.045,16.045,6.842,6.842,6.842,0.000
2282,841.039,0.000,-2.140,6.839,6.839,6.839,0.000
2283,841.419,7.951,7.951,6.836,6.836,6.836,0.000
2284,841.799,10.345,10.345,6.834,6.833,6.834,0.000
2285,842.179,10.040,10.040,6.831,6.831,6.831,0.000
2286,842.559,1.081,1.081,6.828,6.828,6.828,0.000
2287,842.939,2.971,2.971,6.825,6.825,6.825,0.000
2288,843.320,6.906,6.906,6.823,6.823,6.823,0.000
2289,843.700,4.874,4.874,6.820,6.820,6.820,0.000
2290,844.080,5.748,5.748,6.817,6.817,6.817,0.000
2291,844.460,2.045,2.045,6.815,6.815,6.815,0.000
2292,844.840,0.000,-4.731,6.812,6.812,6.812,0.000
2293,845.220,10.274,10.274,6.809,6.809,6.809,0.000
2294,845.600,2.395,2.395,6.807,6.807,6.807,0.000
2295,845.981,5.690,5.690,6.804,6.804,6.804,0.000
2296,846.361,17.695,17.695,6.801,6.801,6.801,0.000
2297,846.741,2.275,2.275,6.799,6.799,6.799,0.000
2298,847.121,19.465,19.465,6.796,6.796,6.796,0.000
2299,847.501,10.979,10.979,6.793,6.793,6.793,0.000
2300,847.882,10.123,10.123,6.791,6.791,6.791,0.000
2301,848.262,0.447,0.447,6.788,6.788,6.788,0.000
2302,848.642,0.000,-3.783,6.785,6.785,6.785,0.000
2303,849.022,7.691,7.691,6.783,6.783,6.783,0.000
2304,849.403,9.463,9.463,6.780,6.780,6.780,0.000
2305,849.783,8.497,8.497,6.777,6.777,6.777,0.000
2306,850.163,10.576,10.576,6.775,6.774,6.775,0.000
2307,850.543,0.000,-4.565,6.772,6.772,6.772,0.000
2308,850.924,6.686,6.686,6.769,6.769,6.769,0.000
2309,851.304,15.705,15.705,6.767,6.766,6.767,0.000
2310,851.684,6.018,6.018,6.764,6.764,6.764,0.000
2311,852.065,14.399,14.399,6.761,6.761,6.761,0.000
2312,852.445,7.429,7.429,6.759,6.758,6.759,0.000
2313,852.825,0.964,0.964,6.756,6.756,6.756,0.000
2314,853.205,22.446,22.446,6.753,6.753,6.753,0.000
2315,853.586,11.893,11.893,6.751,6.750,6.751,0.000
2316,853.966,0.000,-3.758,6.748,6.748,6.748,0.000
2317,854.346,8.831,8.831,6.745,6.745,6.745,0.000
2318,854.727,3.369,3.369,6.743,6.742,6.743,0.000
2319,855.107,4.840,4.840,6.740,6.740,6.740,0.000
2320,855.488,0.000,-2.195,6.737,6.737,6.737,0.000
2321,855.868,5.058,5.058,6.735,6.734,6.735,0.000
2322,856.248,0.000,-5.187,6.732,6.732,6.732,0.000
2323,856.629,0.000,-1.735,6.729,6.729,6.729,0.000
2324,857.009,2.764,2.764,6.727,6.726,6.727,0.000
2325,857.389,0.000,-1.286,6.724,6.724,6.724,0.000
2326,857.770,1.794,1.794,6.721,6.721,6.721,0.000
2327,858.150,3.730,3.730,6.719,6.718,6.719,0.000
2328,858.531,3.612,3.612,6.716,6.715,6.716,0.000
2329,858.911,5.924,5.924,6.713,6.713,6.713,0.000
2330,859.291,7.183,7.183,6.711,6.710,6.711,0.000
2331,859.672,5.886,5.886,6.708,6.707,6.708,0.000
2332,860.052,11.375,11.375,6.705,6.705,6.705,0.000
2333,860.433,10.170,10.170,6.703,6.702,6.703,0.000
2334,860.813,0.439,0.439,6.700,6.699,6.700,0.000
2335,861.194,7.337,7.337,6.697,6.697,6.697,0.000
2336,861.574,17.405,17.405,6.695,6.694,6.695,0.000
2337,861.955,3.102,3.102,6.692,6.691,6.692,0.000
2338,862.335,2.024,2.024,6.689,6.689,6.689,0.000
2339,862.716,13.337,13.337,6.687,6.686,6.687,0.000
2340,863.096,10.981,10.981,6.684,6.683,6.684,0.000
2341,863.477,6.522,6.522,6.681,6.681,6.681,0.000
2342,863.857,8.379,8.379,6.679,6.678,6.679,0.000
2343,864.238,9.065,9.065,6.676,6.675,6.676,0.000
2344,864.618,0.000,-3.652,6.673,6.673,6.673,0.000
2345,864.999,3.353,3.353,6.671,6.670,6.671,0.000
2346,865.379,13.518,13.518,6.668,6.667,6.668,0.000
2347,865.760,11.251,11.251,6.665,6.665,6.665,0.000
2348,866.141,7.369,7.369,6.663,6.662,6.663,0.000
2349,866.521,7.620,7.620,6.660,6.659,6.660,0.000
2350,866.902,14.423,14.423,6.657,6.656,6.657,0.000
2351,867.282,8.143,8.143,6.655,6.654,6.655,0.000
2352,867.663,8.280,8.280,6.652,6.651,6.652,0.000
2353,868.043,3.632,3.632,6.650,6.648,6.650,0.000
2354,868.424,1.945,1.945,6.647,6.646,6.647,0.000
2355,868.805,6.757,6.757,6.644,6.643,6.644,0.000
2356,869.185,11.950,11.950,6.642,6.640,6.642,0.000
2357,869.566,10.843,10.843,6.639,6.638,6.639,0.000
2358,869.947,8.397,8.397,6.636,6.635,6.636,0.000
2359,870.327,8.234,8.234,6.634,6.632,6.634,0.000
2360,870.708,6.129,6.129,6.631,6.630,6.631,0.000
2361,871.088,5.923,5.923,6.628,6.627,6.628,0.000
2362,871.469,10.101,10.101,6.626,6.624,6.626,0.000
2363,871.850,0.000,-10.034,6.623,6.622,6.623,0.000
2364,872.230,10.273,10.273,6.621,6.619,6.621,0.000
2365,872.611,15.173,15.173,6.618,6.616,6.618,0.000
2366,872.992,11.522,11.522,6.615,6.614,6.615,0.000
2367,873.373,7.982,7.982,6.613,6.611,6.613,0.000
2368,873.753,0.000,-3.361,6.610,6.608,6.610,0.000
2369,874.134,11.648,11.648,6.607,6.606,6.607,0.000
2370,874.515,0.000,-2.303,6.605,6.603,6.605,0.000
2371,874.895,6.591,6.591,6.602,6.600,6.602,0.000
2372,875.276,0.000,-0.734,6.600,6.597,6.600,0.000
2373,875.657,6.936,6.936,6.597,6.595,6.597,0.000
2374,876.038,5.180,5.180,6.594,6.592,6.594,0.000
2375,876.418,19.777,19.777,6.592,6.589,6.592,0.000
2376,876.799,11.284,11.284,6.589,6.587,6.589,0.000
2377,877.180,1.768,1.768,6.587,6.584,6.587,0.000
2378,877.561,2.580,2.580,6.584,6.581,6.584,0.000
2379,877.941,13.254,13.254,6.581,6.579,6.581,0.000
2380,878.322,8.001,8.001,6.579,6.576,6.579,0.000
2381,878.703,5.202,5.202,6.576,6.573,6.576,0.000
2382,879.084,15.828,15.828,6.574,6.571,6.574,0.000
2383,879.465,0.015,0.015,6.571,6.568,6.571,0.000
2384,879.845,17.479,17.479,6.568,6.565,6.568,0.000
2385,880.226,14.562,14.562,6.566,6.563,6.566,0.000
2386,880.607,13.291,13.291,6.563,6.560,6.563,0.000
2387,880.988,5.284,5.284,6.561,6.557,6.561,0.000
2388,881.369,8.693,8.693,6.558,6.555,6.558,0.000
2389,881.750,10.539,10.539,6.555,6.552,6.555,0.000
2390,882.131,11.669,11.669,6.553,6.549,6.553,0.000
2391,882.511,12.545,12.545,6.550,6.547,6.550,0.000
2392,882.892,3.433,3.433,6.548,6.544,6.548,0.000
2393,883.273,5.469,5.469,6.545,6.541,6.545,0.000
2394,883.654,7.104,7.104,6.543,6.538,6.543,0.000
2395,884.035,8.259,8.259,6.540,6.536,6.540,0.000
2396,884.416,1.919,1.919,6.537,6.533,6.537,0.000
2397,884.797,13.702,13.702,6.535,6.530,6.535,0.000
2398,885.178,15.943,15.943,6.532,6.528,6.532,0.000
2399,885.559,7.886,7.886,6.530,6.525,6.530,0.000
2400,885.940,8.838,8.838,6.527,6.522,6.527,0.000
2401,886.321,16.055,16.055,6.525,6.520,6.525,0.000
2402,886.701,7.530,7.530,6.522,6.517,6.522,0.000
2403,887.082,2.805,2.805,6.520,6.514,6.520,0.000
2404,887.463,15.577,15.577,6.517,6.512,6.517,0.000
2405,887.844,21.434,21.434,6.514,6.509,6.514,0.000
2406,888.225,2.420,2.420,6.512,6.506,6.512,0.000
2407,888.606,11.641,11.641,6.509,6.504,6.509,0.000
2408,888.987,21.515,21.515,6.507,6.501,6.507,0.000
2409,889.368,10.137,10.137,6.504,6.498,6.504,0.000
2410,889.749,8.087,8.087,6.502,6.496,6.502,0.000
2411,890.130,15.630,15.630,6.499,6.493,6.499,0.000
2412,890.511,2.886,2.886,6.497,6.490,6.497,0.000
2413,890.892,14.328,14.328,6.494,6.487,6.494,0.000
2414,891.273,20.359,20.359,6.491,6.485,6.491,0.000
2415,891.654,3.201,3.201,6.489,6.482,6.489,0.000
2416,892.036,19.511,19.511,6.486,6.479,6.486,0.000
2417,892.417,15.548,15.548,6.484,6.477,6.484,0.000
2418,892.798,20.570,20.570,6.481,6.474,6.481,0.000
2419,893.179,15.363,15.363,6.479,6.471,6.479,0.000
2420,893.560,5.773,5.773,6.476,6.469,6.476,0.000
2421,893.941,9.839,9.839,6.474,6.466,6.474,0.000
2422,894.322,10.385,10.385,6.471,6.463,6.471,0.000
2423,894.703,4.166,4.166,6.469,6.461,6.469,0.000
2424,895.084,9.688,9.688,6.466,6.458,6.466,0.000
2425,895.465,3.504,3.504,6.464,6.455,6.464,0.000
2426,895.846,0.032,0.032,6.461,6.453,6.461,0.000
2427,896.228,8.458,8.458,6.459,6.450,6.459,0.000
2428,896.609,3.836,3.836,6.456,6.447,6.456,0.000
2429,896.990,17.054,17.054,6.454,6.445,6.454,0.000
2430,897.371,6.992,6.992,6.451,6.442,6.451,0.000
2431,897.752,0.000,-1.315,6.448,6.439,6.448,0.000
2432,898.133,6.316,6.316,6.446,6.437,6.446,0.000
2433,898.514,0.000,-6.395,6.443,6.434,6.443,0.000
2434,898.896,0.000,-3.304,6.441,6.431,6.441,0.000
2435,899.277,11.737,11.737,6.438,6.428,6.438,0.000
2436,899.658,9.498,9.498,6.436,6.426,6.436,0.000
2437,900.039,14.261,14.261,6.433,6.423,6.433,0.000
2438,900.420,0.000,-1.464,6.431,6.420,6.431,0.000
2439,900.802,7.550,7.550,6.428,6.418,6.428,0.000
2440,901.183,11.459,11.459,6.426,6.415,6.426,0.000
2441,901.564,15.593,15.593,6.423,6.412,6.423,0.000
2442,901.945,18.405,18.405,6.421,6.410,6.421,0.000
2443,902.327,10.769,10.769,6.418,6.407,6.418,0.000
2444,902.708,0.000,-0.538,6.416,6.404,6.416,0.000
2445,903.089,12.887,12.887,6.413,6.402,6.413,0.000
2446,903.470,15.695,15.695,6.411,6.399,6.411,0.000
2447,903.852,6.759,6.759,6.408,6.396,6.408,0.000
2448,904.233,16.602,16.602,6.401,6.389,6.401,0.000
2449,904.614,12.097,12.097,6.394,6.382,6.394,0.000
2450,904.995,5.084,5.084,6.387,6.375,6.387,0.000
2451,905.377,4.718,4.718,6.380,6.367,6.380,0.000
2452,905.758,5.277,5.277,6.373,6.360,6.373,0.000
2453,906.139,0.000,-1.987,6.366,6.353,6.366,0.000
2454,906.521,8.372,8.372,6.359,6.346,6.359,0.000
2455,906.902,3.279,3.279,6.351,6.339,6.351,0.000
2456,907.283,8.542,8.542,6.344,6.331,6.344,0.000
2457,907.665,0.000,-0.463,6.337,6.324,6.337,0.000
2458,908.046,5.750,5.750,6.330,6.317,6.330,0.000
2459,908.427,7.523,7.523,6.323,6.310,6.323,0.000
2460,908.809,0.000,-0.060,6.316,6.303,6.316,0.000
2461,909.190,11.223,11.223,6.309,6.295,6.309,0.000
2462,909.572,14.019,14.019,6.302,6.288,6.302,0.000
2463,909.953,5.807,5.807,6.295,6.281,6.295,0.000
2464,910.334,22.702,22.702,6.288,6.274,6.288,0.000
2465,910.716,5.830,5.830,6.281,6.267,6.281,0.000
2466,911.097,7.305,7.305,6.273,6.259,6.273,0.000
2467,911.479,4.464,4.464,6.266,6.252,6.266,0.000
2468,911.860,11.210,11.210,6.259,6.245,6.259,0.000
2469,912.241,5.174,5.174,6.252,6.238,6.252,0.000
2470,912.623,9.270,9.270,6.245,6.231,6.245,0.000
2471,913.004,2.519,2.519,6.238,6.223,6.238,0.000
2472,913.386,11.597,11.597,6.231,6.216,6.231,0.000
2473,913.767,7.064,7.064,6.224,6.209,6.224,0.000
2474,914.149,5.688,5.688,6.217,6.202,6.217,0.000
2475,914.530,0.000,-1.529,6.209,6.195,6.209,0.000
2476,914.912,6.557,6.557,6.202,6.187,6.202,0.000
2477,915.293,12.404,12.404,6.195,6.180,6.195,0.000
2478,915.675,13.488,13.488,6.188,6.173,6.188,0.000
2479,916.056,12.279,12.279,6.181,6.166,6.181,0.000
2480,916.438,11.093,11.093,6.174,6.159,6.174,0.000
2481,916.819,8.021,8.021,6.167,6.151,6.167,0.000
2482,917.201,5.497,5.497,6.159,6.144,6.159,0.000
2483,917.582,0.000,-2.966,6.152,6.137,6.152,0.000
2484,917.964,9.717,9.717,6.145,6.130,6.145,0.000
2485,918.345,0.970,0.970,6.138,6.123,6.138,0.000
2486,918.727,3.526,3.526,6.131,6.115,6.131,0.000
2487,919.108,8.583,8.583,6.124,6.108,6.124,0.000
2488,919.490,4.074,4.074,6.116,6.101,6.116,0.000
2489,919.872,9.680,9.680,6.109,6.094,6.109,0.000
2490,920.253,10.488,10.488,6.102,6.087,6.102,0.000
2491,920.635,17.481,17.481,6.095,6.079,6.095,0.000
2492,921.016,10.020,10.020,6.088,6.072,6.088,0.000
2493,921.398,3.048,3.048,6.080,6.065,6.080,0.000
2494,921.780,14.923,14.923,6.073,6.058,6.073,0.000
2495,922.161,15.058,15.058,6.066,6.050,6.066,0.000
2496,922.543,3.719,3.719,6.059,6.043,6.059,0.000
2497,922.924,6.172,6.172,6.051,6.036,6.051,0.000
2498,923.306,3.249,3.249,6.044,6.029,6.044,0.000
2499,923.688,8.087,8.087,6.037,6.022,6.037,0.000
2500,924.069,5.957,5.957,6.030,6.014,6.030,0.000
2501,924.451,7.456,7.456,6.023,6.007,6.023,0.000
2502,924.833,4.058,4.058,6.015,6.000,6.015,0.000
2503,925.214,12.467,12.467,6.008,5.993,6.008,0.000
2504,925.596,0.000,-4.606,6.001,5.986,6.001,0.000
2505,925.978,11.622,11.622,5.994,5.978,5.994,0.000
2506,926.359,14.049,14.049,5.986,5.971,5.986,0.000
2507,926.741,11.065,11.065,5.979,5.964,5.979,0.000
2508,927.123,3.163,3.163,5.972,5.957,5.972,0.000
2509,927.505,15.979,15.979,5.965,5.950,5.965,0.000
2510,927.886,7.879,7.879,5.957,5.942,5.957,0.000
2511,928.268,3.568,3.568,5.950,5.935,5.950,0.000
2512,928.650,14.455,14.455,5.943,5.928,5.943,0.000
2513,929.031,1.004,1.004,5.935,5.921,5.935,0.000
2514,929.413,4.212,4.212,5.928,5.914,5.928,0.000
2515,929.795,2.794,2.794,5.921,5.906,5.921,0.000
2516,930.177,0.000,-2.572,5.914,5.899,5.914,0.000
2517,930.559,11.405,11.405,5.906,5.892,5.906,0.000
2518,930.940,2.839,2.839,5.899,5.885,5.899,0.000
2519,931.322,7.659,7.659,5.892,5.878,5.892,0.000
2520,931.704,12.768,12.768,5.884,5.870,5.884,0.000
2521,932.086,11.247,11.247,5.877,5.863,5.877,0.000
2522,932.468,3.180,3.180,5.870,5.856,5.870,0.000
2523,932.849,5.905,5.905,5.862,5.849,5.862,0.000
2524,933.231,24.706,24.706,5.855,5.842,5.855,0.000
2525,933.613,14.428,14.428,5.848,5.834,5.848,0.000
2526,933.995,2.300,2.300,5.840,5.827,5.840,0.000
2527,934.377,0.000,-4.136,5.833,5.820,5.833,0.000
2528,934.759,15.839,15.839,5.826,5.813,5.826,0.000
2529,935.140,17.686,17.686,5.818,5.806,5.818,0.000
2530,935.522,6.514,6.514,5.811,5.798,5.811,0.000
2531,935.904,9.090,9.090,5.804,5.791,5.804,0.000
2532,936.286,1.265,1.265,5.796,5.784,5.796,0.000
2533,936.668,3.631,3.631,5.789,5.777,5.789,0.000
2534,937.050,2.376,2.376,5.782,5.770,5.782,0.000
2535,937.432,5.942,5.942,5.774,5.762,5.774,0.000
2536,937.814,6.067,6.067,5.767,5.755,5.767,0.000
2537,938.196,2.917,2.917,5.760,5.748,5.760,0.000
2538,938.577,1.622,1.622,5.752,5.741,5.752,0.000
2539,938.959,0.000,-5.818,5.745,5.733,5.745,0.000
2540,939.341,4.731,4.731,5.738,5.726,5.738,0.000
2541,939.723,2.713,2.713,5.730,5.719,5.730,0.000
2542,940.105,7.141,7.141,5.723,5.712,5.723,0.000
2543,940.487,1.437,1.437,5.716,5.705,5.716,0.000
2544,940.869,0.000,-1.573,5.708,5.697,5.708,0.000
2545,941.251,4.846,4.846,5.701,5.690,5.701,0.000
2546,941.633,0.000,-1.494,5.693,5.683,5.693,0.000
2547,942.015,14.024,14.024,5.686,5.676,5.686,0.000
2548,942.397,4.023,4.023,5.679,5.669,5.679,0.000
2549,942.779,0.000,-3.333,5.671,5.661,5.671,0.000
2550,943.161,11.818,11.818,5.664,5.654,5.664,0.000
2551,943.543,5.050,5.050,5.657,5.647,5.657,0.000
2552,943.925,9.190,9.190,5.649,5.640,5.649,0.000
2553,944.307,8.371,8.371,5.642,5.633,5.642,0.000
2554,944.689,9.999,9.999,5.635,5.625,5.635,0.000
2555,945.071,0.073,0.073,5.627,5.618,5.627,0.000
2556,945.453,0.080,0.080,5.620,5.611,5.620,0.000
2557,945.835,5.603,5.603,5.613,5.604,5.613,0.000
2558,946.218,2.527,2.527,5.605,5.597,5.605,0.000
2559,946.600,4.256,4.256,5.598,5.589,5.598,0.000
2560,946.982,7.386,7.386,5.590,5.582,5.590,0.000
2561,947.364,0.463,0.463,5.583,5.575,5.583,0.000
2562,947.746,12.949,12.949,5.576,5.568,5.576,0.000
2563,948.128,14.694,14.694,5.568,5.561,5.568,0.000
2564,948.510,4.098,4.098,5.561,5.553,5.561,0.000
2565,948.892,4.251,4.251,5.554,5.546,5.554,0.000
2566,949.274,0.000,-0.189,5.546,5.539,5.546,0.000
2567,949.656,8.241,8.241,5.539,5.532,5.539,0.000
2568,950.039,5.658,5.658,5.532,5.525,5.532,0.000
2569,950.421,4.727,4.727,5.524,5.517,5.524,0.000
2570,950.803,5.804,5.804,5.517,5.510,5.517,0.000
2571,951.185,8.030,8.030,5.510,5.503,5.510,0.000
2572,951.567,17.223,17.223,5.502,5.496,5.502,0.000
2573,951.949,14.860,14.860,5.495,5.489,5.495,0.000
2574,952.332,22.653,22.653,5.488,5.481,5.488,0.000
2575,952.714,10.444,10.444,5.480,5.474,5.480,0.000
2576,953.096,5.749,5.749,5.473,5.467,5.473,0.000
2577,953.478,6.044,6.044,5.466,5.460,5.466,0.000
2578,953.860,3.396,3.396,5.458,5.453,5.458,0.000
2579,954.243,7.675,7.675,5.451,5.445,5.451,0.000
2580,954.625,4.206,4.206,5.444,5.438,5.444,0.000
2581,955.007,0.000,-1.484,5.436,5.431,5.436,0.000
2582,955.389,6.348,6.348,5.429,5.424,5.429,0.000
2583,955.772,10.473,10.473,5.422,5.416,5.422,0.000
2584,956.154,1.680,1.680,5.414,5.409,5.414,0.000
2585,956.536,3.231,3.231,5.407,5.402,5.407,0.000
2586,956.918,12.589,12.589,5.400,5.395,5.400,0.000
2587,957.301,11.720,11.720,5.392,5.388,5.392,0.000
2588,957.683,2.501,2.501,5.385,5.380,5.385,0.000
2589,958.065,14.508,14.508,5.378,5.373,5.378,0.000
2590,958.448,3.807,3.807,5.370,5.366,5.370,0.000
2591,958.830,0.000,-1.664,5.363,5.359,5.363,0.000
2592,959.212,7.391,7.391,5.356,5.352,5.356,0.000
2593,959.595,15.421,15.421,5.348,5.344,5.348,0.000
2594,959.977,0.000,-5.445,5.341,5.337,5.341,0.000
2595,960.359,8.951,8.951,5.334,5.330,5.334,0.000
2596,960.742,6.072,6.072,5.326,5.323,5.326,0.000
2597,961.124,3.394,3.394,5.319,5.316,5.319,0.000
2598,961.506,0.000,-1.755,5.312,5.308,5.312,0.000
2599,961.889,0.000,-1.978,5.304,5.301,5.304,0.000
2600,962.271,15.841,15.841,5.297,5.294,5.297,0.000
2601,962.653,13.019,13.019,5.290,5.287,5.290,0.000
2602,963.036,1.855,1.855,5.283,5.280,5.283,0.000
2603,963.418,10.487,10.487,5.275,5.272,5.275,0.000
2604,963.801,16.154,16.154,5.268,5.265,5.268,0.000
2605,964.183,16.392,16.392,5.261,5.258,5.261,0.000
2606,964.565,11.709,11.709,5.253,5.251,5.253,0.000
2607,964.948,0.000,-3.510,5.246,5.244,5.246,0.000
2608,965.330,4.444,4.444,5.239,5.236,5.239,0.000
2609,965.713,9.176,9.176,5.232,5.229,5.232,0.000
2610,966.095,0.000,-5.452,5.224,5.222,5.224,0.000
2611,966.478,0.000,-0.139,5.217,5.215,5.217,0.000
2612,966.860,7.340,7.340,5.210,5.208,5.210,0.000
2613,967.242,3.922,3.922,5.202,5.200,5.202,0.000
2614,967.625,17.783,17.783,5.195,5.193,5.195,0.000
2615,968.007,6.578,6.578,5.188,5.186,5.188,0.000
2616,968.390,1.618,1.618,5.181,5.179,5.181,0.000
2617,968.772,5.362,5.362,5.173,5.172,5.173,0.000
2618,969.155,5.171,5.171,5.166,5.164,5.166,0.000
2619,969.537,8.514,8.514,5.159,5.157,5.159,0.000
2620,969.920,8.748,8.748,5.152,5.150,5.152,0.000
2621,970.302,7.015,7.015,5.144,5.143,5.144,0.000
2622,970.685,0.000,-2.262,5.137,5.136,5.137,0.000
2623,971.067,1.014,1.014,5.130,5.128,5.130,0.000
2624,971.450,0.000,-2.436,5.123,5.121,5.123,0.000
