спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S24_Th228_P25              known        4.3822     4.3834   +0.027  chi2ndf, chi2ndf_pois, collinearity, dt_decay_s, dt_decay_s, inflate
G1S24_Th228_P5               known       20.6845    20.7168   +0.156  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Denta120         known        1.1455     1.1394   -0.533  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 36.03→36.18; Tl-208 23.52→23.35
G1S24_Th232_Denta120_2       known        2.0625     2.0736   +0.538  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ac-228 38.77→38.89; Tl-208 26.11→26.03
G1S24_Th232_Mar              known        2.6604     2.6765   +0.605  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ac-228 37.37→37.46; Tl-208 25.46→25.41
G1S24_Th232_Mar_2            known        6.1955     6.2285   +0.533  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 39.45→39.52; Tl-208 27.57→27.51
G1S24_Th232_Petri            known        1.9780     1.9969   +0.956  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 36.01→36.19; Pb-212 32.30→32.23; Tl-208 23.93→23.81
G1S24_Th232_Petri_2          known        4.5198     4.6269   +2.370  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 37.81→37.97; Pb-212 29.49→29.41; Tl-208 25.30→25.22
G1S24_Y88_P25                known        2.0842     2.0839   -0.014  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
G1S24_Y88_P5                 known        8.2016     8.1996   -0.024  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
RC103_Lu176                  known        0.9708     0.9710   +0.021  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s

known: разобранных 89, Σχ²/ndf 465.6456 -> 464.6883 (-0.2056 %)
сдвинулось 49, побитово 40
побитово: AS80_Am241, AS80_Cs137_0cm, G1S16_Am241_P25, G1S16_Am241_P5, G1S16_Cd109_P25, G1S16_Cd109_P5, G1S16_Ce139_P25, G1S16_Co57_P5, G1S16_Co60_P25, G1S16_Cs137_Mar, G1S16_Cs137_Mar_2, G1S16_Cs137_P25, G1S16_Cs137_P5, G1S16_K40_Mar, G1S16_K40_Mar_2, G1S16_Mn54_P25, G1S16_Mn54_P5, G1S16_Na22_P25, G1S16_Na22_P5, G1S24_Am241_P5, G1S24_Cd109_P5, G1S24_Cs137_Denta120, G1S24_Cs137_Denta120_2, G1S24_Cs137_Mar, G1S24_Cs137_Mar_2, G1S24_Cs137_P25, G1S24_Cs137_P5, G1S24_Cs137_Petri, G1S24_Cs137_Petri_2, G1S24_K40_Denta120, G1S24_K40_Denta120_2, G1S24_K40_Mar, G1S24_K40_Mar_2, G1S24_K40_Petri, G1S24_K40_Petri_2, G1S24_Na22_P25, G1S24_Na22_P5, G1S24_Zn65_P5, RC103_Cs137_0cm, RC103_K40
