спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
AS80_Lu176                   known        1.9456     1.9422   -0.175  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
AS80_Lu176_v2                known        1.8496     1.8385   -0.600  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
AS80_Th232Medal              known       12.7106    12.7146   +0.031  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
ASN16_Lu176                  known        3.7327     3.6575   -2.015  <число строк 3→2>, anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s; Lu-176 94.39→94.69; pile-up 0.30→0.00
ASN16_Lu176_P0               known        0.4095     0.4119   +0.586  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Ba133_P25              known        2.6767     2.6768   +0.004  chi2ndf, dt_decay_s, dt_decay_s, mda_peak_counts, model_kev, peak_counts
G1S16_Ba133_P5               known       11.6113    11.6128   +0.013  anchor_note, chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s
G1S16_Co60_P5                known        9.6326     9.6326   +0.000  chi2ndf_pois, peak_counts
G1S16_Eu152_P25              known        3.4278     3.4275   -0.009  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Eu152_P5               known       13.9503    13.6877   -1.882  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Mix_Denta100           known       13.3464    13.3780   +0.237  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity; Cs-137 20.10→19.66; Eu-152 46.14→46.57
G1S16_Mix_Mar                known       35.5599    35.6239   +0.180  <число строк 17→16>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Am-241 17.11→17.29; Cs-137 24.07→23.74; Eu-152 53.52→53.83; Ti-44 5.29→5.13
G1S16_Mix_Petri              known       12.0330    12.0601   +0.225  anchor_note, ch_hi, chi2ndf, chi2ndf_pois, collinearity, decay_s; Cs-137 22.02→21.61; Eu-152 44.90→45.32
G1S16_Ra226_Mar              known        2.8045     2.8046   +0.004  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Ra226_Mar_2            known        4.8899     4.8917   +0.037  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
G1S16_Th228_P25              known        1.1853     1.1853   +0.000  dt_decay_s, dt_decay_s, mda_decay_s, mda_decay_s, mda_peak_counts, measured_kev
G1S16_Th228_P5               known        4.4764     4.4704   -0.134  anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Th232_Denta100         known        1.4447     1.4463   +0.111  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Ac-228 37.48→37.54; Pb-212 30.95→30.87
G1S16_Th232_Mar_2            known        3.3696     3.3727   +0.092  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Th232_Mar_3            known        5.2953     5.3039   +0.162  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Th232_Petri            known        1.5420     1.5420   +0.000  anchor_note, anchor_offset_kev, chi2ndf_pois, collinearity, decay_s, decay_s; Ac-228 36.95→37.01; Pb-212 31.05→30.98
