спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
AS80_Lu176                   known        1.9422     1.9420   -0.010  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s; Lu-176 99.37→98.96
AS80_Lu176_v2                known        1.8385     1.8382   -0.016  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
AS80_Th232Medal              known       12.7146    12.7045   -0.079  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 38.02→38.08; Tl-208 30.35→30.30
ASN16_Lu176                  known        3.6575     3.6583   +0.022  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
ASN16_Lu176_P0               known        0.4119     0.4120   +0.024  anchor_note, chi2ndf, chi2ndf_pois, collinearity, dt_decay_s, dt_decay_s; Lu-176 99.95→99.83
G1S16_Ba133_P25              known        2.6768     2.6768   +0.000  peak_counts
G1S16_Ba133_P5               known       11.6128    11.6313   +0.159  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Ce139_P5               known        3.2744     3.2748   +0.012  chi2ndf, chi2ndf_pois, dt_decay_s, dt_decay_s, inflate, inflate
G1S16_Eu152_P25              known        3.4275     3.4275   +0.000  measured_kev, peak_counts, sigma_kev, z
G1S16_Eu152_P5               known       13.6877    13.7753   +0.640  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Mix_Denta100           known       13.3780    13.3481   -0.224  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Cs-137 19.66→19.54; Eu-152 46.57→46.68
G1S16_Mix_Mar                known       35.6239    35.5843   -0.111  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Am-241 17.29→17.68; Cs-137 23.74→23.68; Eu-152 53.83→53.93; Ti-44 5.13→4.72
G1S16_Mix_Petri              known       12.0601    12.0366   -0.195  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Cs-137 21.61→21.45; Eu-152 45.32→45.52
G1S16_Ra226_Mar              known        2.8046     2.8056   +0.036  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Ra226_Mar_2            known        4.8917     4.8934   +0.035  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Th228_P25              known        1.1853     1.1853   +0.000  mda_peak_counts, peak_counts
G1S16_Th228_P5               known        4.4704     4.4724   +0.045  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S16_Th232_Denta100         known        1.4463     1.4463   +0.000  anchor_note, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s; Ac-228 37.54→37.63; Tl-208 24.26→24.18
G1S16_Th232_Mar_2            known        3.3727     3.3804   +0.228  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ac-228 36.94→36.99; Tl-208 24.84→24.78
G1S16_Th232_Mar_3            known        5.3039     5.3134   +0.179  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Th232_Petri            known        1.5420     1.5453   +0.214  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 37.01→37.12; Tl-208 24.42→24.32
G1S24_Ba133_P5               known       17.5971    17.5089   -0.501  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Bi207_P5               known       23.3180    23.3185   +0.002  chi2ndf, chi2ndf_pois, dt_decay_s, dt_decay_s, mda_decay_s, mda_decay_s
G1S24_Eu152_P5               known       30.0146    30.2283   +0.712  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ra226_Denta120         known        1.5155     1.5159   +0.026  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, dt_decay_s
G1S24_Ra226_Denta120_2       known        3.4015     3.4073   +0.171  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
