exe: 14.09.2026 16:46:54  sha256 1058B93C89F0951A
as80_free    код 0  chi2/ndf 12.596, невязка модели 18.6 %, суммирование да  |  | рентген кристалла снят 1, вылет кристалла снят 1 | meta,response_matrix,,,1,,,,,,,,,,,,,
as80_eq      код 0  chi2/ndf 14.115, невязка модели 21.3 %, суммирование да  |  | рентген кристалла снят 1, вылет кристалла снят 1 | meta,response_matrix,,,1,,,,,,,,,,,,,
as80_nomx    код 0  chi2/ndf 11.975, невязка модели 17.2 %, суммирование нет  | CUT Esc-NaI Nuisance z=0.00 | рентген кристалла снят 0, вылет кристалла снят 0 | meta,response_matrix,,,0,,,,,,,,,,,,,
radon1_free  код 0  chi2/ndf 1.158, невязка модели 58.3 %, суммирование да  |  | рентген кристалла снят 1, вылет кристалла снят 1 | meta,response_matrix,,,1,,,,,,,,,,,,,
radon1_eq    код 0  chi2/ndf 1.264, невязка модели 56.8 %, суммирование да  |  | рентген кристалла снят 1, вылет кристалла снят 1 | meta,response_matrix,,,1,,,,,,,,,,,,,
radon1_nomx  код 0  chi2/ndf 1.143, невязка модели 57.0 %, суммирование нет  | ROW Esc-CsI Nuisance 8.189 - - | рентген кристалла снят 0, вылет кристалла снят 0 | meta,response_matrix,,,0,,,,,,,,,,,,,
radon2_free  код 0  chi2/ndf 1.316, невязка модели 81.1 %, суммирование да  |  | рентген кристалла снят 1, вылет кристалла снят 1 | meta,response_matrix,,,1,,,,,,,,,,,,,
radon2_eq    код 0  chi2/ndf 1.190, невязка модели 77.6 %, суммирование да  |  | рентген кристалла снят 1, вылет кристалла снят 1 | meta,response_matrix,,,1,,,,,,,,,,,,,
radon2_nomx  код 0  chi2/ndf 1.283, невязка модели 80.3 %, суммирование нет  | ROW Esc-CsI Nuisance 33.839 - - | рентген кристалла снят 0, вылет кристалла снят 0 | meta,response_matrix,,,0,,,,,,,,,,,,,
коды: as80_free=0 as80_eq=0 as80_nomx=0 radon1_free=0 radon1_eq=0 radon1_nomx=0 radon2_free=0 radon2_eq=0 radon2_nomx=0
