
=== Eu-152 (ключ 152EU): пар 71 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
        304.200        806.174   0.00270100677
        304.200        826.300    0.018411295
        304.200        934.061   0.00773329072
        304.200       1051.960   0.0031712868
        304.200       1120.287   0.0153031865
        304.200       1133.660   0.00888363649
        304.200       1377.669   0.00838529712
        304.200       1543.320   0.000773329072
        304.200       1594.730   0.0482200583
        304.200       1661.280   0.0106063104
        304.200       1729.595    0.002953515
        304.200       2204.210    0.876728332
        348.920        609.312    0.980027049
        348.920        806.174    0.988855597
        386.770        609.312     0.54242119
        386.770        768.356    0.545677996
        386.770       1377.669    0.444727566
        388.880        454.770   0.0158510749
        388.880        609.312    0.824951666
        388.880        665.453   0.0159569809
        388.880        768.356   0.00111779223
        388.880       1120.287    0.812875635
        388.880       1377.669   0.000911000671
        388.880       1729.595    0.156884997
        405.740        609.312    0.980027049
        454.770        609.312    0.980027049
        454.770        665.453    0.994243331
        469.760        609.312     0.54242119
        469.760        768.356    0.545677996
        469.760       1377.669    0.444727566
        474.410        454.770   0.0158510749
        474.410        609.312    0.824951666
        474.410        665.453   0.0159569809
        474.410        768.356   0.00111779223
        474.410       1120.287    0.812875635
        474.410       1377.669   0.000911000671
        474.410       1729.595    0.156884997
        665.453        609.312    0.980027049
        703.110        609.312    0.980027049
        703.110        806.174    0.988855597
        719.860        609.312    0.980027049
        719.860        665.453    0.994243331
        752.840        454.770   0.0158510749
        752.840        609.312    0.824951666
        752.840        665.453   0.0159569809
        752.840        768.356   0.00111779223
        752.840       1120.287    0.812875635
        752.840       1377.669   0.000911000671
        752.840       1729.595    0.156884997
        768.356        609.312    0.980027049
        786.100        609.312    0.227141725
        786.100       1051.960    0.229022602
        786.100       1661.280     0.76596188
        806.174        609.312    0.980027049
        821.180        609.312    0.227141725
        821.180       1051.960    0.229022602
        821.180       1661.280     0.76596188
        826.300        609.312     0.54242119
        826.300        768.356    0.545677996
        826.300       1377.669    0.444727566
        934.061        609.312    0.980027049
        964.080        348.920   0.00593808863
        964.080        386.770   0.0168536927
        964.080        609.312    0.111259781
        964.080        768.356   0.0106681596
        964.080        806.174   0.00783900276
        964.080       1155.190   0.0933502463
        964.080       1377.669   0.00869455004
        964.080       1764.494    0.873248328
       1051.960        609.312    0.980027049
       1069.960        609.312     0.54242119
       1069.960        768.356    0.545677996
       1069.960       1377.669    0.444727566
       1120.287        609.312    0.980027049
       1133.660        609.312    0.980027049
       1155.190        609.312    0.980027049
       1207.680        609.312    0.980027049
       1207.680        665.453    0.994243331
       1238.110        609.312    0.980027049
       1280.960        609.312    0.980027049
       1303.760        609.312    0.980027049
       1303.760        806.174    0.988855597
       1385.310        609.312    0.980027049
       1401.500        609.312    0.980027049
       1407.980        609.312    0.980027049
       1509.228        609.312    0.980027049
       1538.500        609.312    0.980027049
       1583.220        609.312    0.980027049
       1594.730        609.312    0.980027049
       1599.310        609.312    0.980027049
       1683.990        609.312    0.980027049
       1838.360        609.312    0.980027049
       1873.160        609.312    0.980027049
       1895.920        609.312    0.980027049

=== Pb-214 (ключ 214PB): пар 9 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
        241.997         53.228   0.0757575758
        274.800         53.228   0.0135436671
        274.800        258.870    0.484212025
        462.000         53.228   0.0757575758
        480.430         53.228   0.0757575758
        487.090        351.932    0.795544948
        580.130         53.228   0.0135436671
        580.130        258.870    0.484212025
        785.960         53.228   0.0757575758

=== Ac-228 (ключ 228AC): пар 245 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
         99.510         57.770   0.00504945134
         99.510        129.060   0.0379907203
         99.510        209.250   0.0120687509
         99.510        270.250    0.011868226
         99.510        278.950   0.00370864398
         99.510        328.000   0.0104796436
         99.510        338.320   0.0352887454
         99.510        340.960   0.0444924554
         99.510        409.460    0.220945489
         99.510        463.000    0.505596084
         99.510        572.140   0.0212539526
         99.510        772.290   0.00214728883
         99.510        782.140   0.00878388989
         99.510        835.710   0.0587068702
         99.510        840.380   0.00133131908
         99.510        904.200   0.0387489312
         99.510        911.200     0.34288508
         99.510        964.770    0.177362146
         99.510        968.970    0.204446672
         99.510       1033.250   0.0104234625
        129.060         57.770   0.00649350649
        145.850         57.770   0.00649350649
        145.850        129.060   0.0525820896
        145.850        835.710    0.245749462
        145.850        964.770    0.742445506
        153.980         57.770   0.00405578666
        153.980        129.060   0.00239035303
        153.980        782.140   0.0111501977
        153.980        911.200    0.605989004
        153.980        968.970    0.371471259
        191.350         57.770   0.00649350649
        191.350        129.060    0.210970464
        199.410         57.770   0.00405578666
        199.410        129.060   0.00239035303
        199.410        782.140   0.0111501977
        199.410        911.200    0.605989004
        199.410        968.970    0.371471259
        204.030         57.770   0.00649350649
        204.030        129.060   0.0525820896
        204.030        835.710    0.245749462
        204.030        964.770    0.742445506
        209.250         57.770   0.00649350649
        209.250        129.060    0.210970464
        270.250         57.770   0.00649350649
        278.950         57.770   0.00413723688
        278.950        129.060   0.0104901505
        278.950        191.350       0.011248  (поставочная, как и в эталоне)
        278.950        209.250   0.00573215085
        278.950        270.250   0.0513290378
        278.950        278.950   0.0273538656
        278.950        321.650   0.0385265713
        278.950        328.000   0.0453235404
        278.950        332.370       0.132098  (поставочная, как и в эталоне)
        278.950        338.320    0.016760675
        278.950        478.330   0.0172377295
        278.950        503.820   0.0327468575
        278.950        546.470   0.0155139566
        278.950        572.140       0.462087  (поставочная, как и в эталоне)
        278.950        583.410   0.00651111155
        278.950        688.100   0.00430943238
        278.950       1095.680   0.0211896142
        278.950       1153.520   0.0235012085
        321.650         57.770   0.00420836395
        321.650        270.250    0.386745543
        321.650        328.000    0.341496315
        321.650        503.820    0.747564733
        327.440         57.770   0.00396501724
        327.440        129.060   0.00837541712
        327.440        153.980    0.107270443
        327.440        209.250   0.0220463195
        327.440        270.250    0.347273554
        327.440        328.000    0.306642548
        327.440        338.320   0.0644629224
        327.440        726.860   0.0868379779
        327.440        782.140   0.00140623907
        327.440        794.950    0.638514543
        327.440        835.710   0.0141536974
        327.440        911.200   0.0764260365
        327.440        964.770   0.0427604152
        327.440        968.970   0.0468491604
        327.440       1065.180   0.0194108421
        332.370         57.770   0.00649350649
        332.370        129.060    0.210970464
        338.320         57.770   0.00649350649
        340.960         57.770   0.00649190753
        340.960        129.060     0.16530368
        340.960        904.200    0.738336445
        340.960       1033.250    0.198612504
        409.460         57.770   0.00649350649
        409.460        129.060   0.0525820896
        409.460        835.710    0.245749462
        409.460        964.770    0.742445506
        440.440         57.770   0.00649190753
        440.440        129.060     0.16530368
        440.440        904.200    0.738336445
        440.440       1033.250    0.198612504
        463.000         57.770   0.00405578666
        463.000        129.060   0.00239035303
        463.000        782.140   0.0111501977
        463.000        911.200    0.605989004
        463.000        968.970    0.371471259
        478.330         57.770   0.00641932514
        478.330        129.060   0.0545532619
        478.330        209.250    0.238368788
        478.330        338.320     0.69698476
        503.820         57.770   0.00347416417
        503.820        270.250     0.51100409
        503.820        328.000    0.451216611
        508.960         57.770   0.00649350649
        508.960        129.060   0.0525820896
        508.960        835.710    0.245749462
        508.960        964.770    0.742445506
        523.130         57.770   0.00396501724
        523.130        129.060   0.00837541712
        523.130        153.980    0.107270443
        523.130        209.250   0.0220463195
        523.130        270.250    0.347273554
        523.130        328.000    0.306642548
        523.130        338.320   0.0644629224
        523.130        726.860   0.0868379779
        523.130        782.140   0.00140623907
        523.130        794.950    0.638514543
        523.130        835.710   0.0141536974
        523.130        911.200   0.0764260365
        523.130        964.770   0.0427604152
        523.130        968.970   0.0468491604
        523.130       1065.180   0.0194108421
        546.470         57.770   0.00347416417
        546.470        270.250     0.51100409
        546.470        328.000    0.451216611
        562.500         57.770   0.00405578666
        562.500        129.060   0.00239035303
        562.500        782.140   0.0111501977
        562.500        911.200    0.605989004
        562.500        968.970    0.371471259
        570.910         57.770   0.00413723688
        570.910        129.060   0.0104901505
        570.910        191.350       0.011248  (поставочная, как и в эталоне)
        570.910        209.250   0.00573215085
        570.910        270.250   0.0513290378
        570.910        278.950   0.0273538656
        570.910        321.650   0.0385265713
        570.910        328.000   0.0453235404
        570.910        332.370       0.132098  (поставочная, как и в эталоне)
        570.910        338.320    0.016760675
        570.910        478.330   0.0172377295
        570.910        503.820   0.0327468575
        570.910        546.470   0.0155139566
        570.910        572.140       0.462087  (поставочная, как и в эталоне)
        570.910        583.410   0.00651111155
        570.910        688.100   0.00430943238
        570.910       1095.680   0.0211896142
        570.910       1153.520   0.0235012085
        572.140         57.770   0.00641932514
        572.140        129.060   0.0545532619
        572.140        209.250    0.238368788
        572.140        338.320     0.69698476
        583.410         57.770   0.00641932514
        583.410        129.060   0.0545532619
        583.410        209.250    0.238368788
        583.410        338.320     0.69698476
        674.160         57.770   0.00405578666
        674.160        129.060   0.00239035303
        674.160        782.140   0.0111501977
        674.160        911.200    0.605989004
        674.160        968.970    0.371471259
        674.750         57.770   0.00645973795
        674.750        129.060    0.095489504
        674.750        191.350    0.019584348
        674.750        209.250    0.108509311
        674.750        270.250   0.00571510741
        674.750        328.000   0.00504643985
        674.750        332.370    0.230915066
        674.750        338.320    0.317278687
        674.750        572.140     0.45085677
        688.100         57.770   0.00347416417
        688.100        129.060         0.2079  (поставочная, как и в эталоне)
        688.100        270.250     0.51100409
        688.100        328.000    0.451216611
        701.750         57.770   0.00649350649
        701.750        129.060   0.0525820896
        701.750        835.710    0.245749462
        701.750        964.770    0.742445506
        707.410         57.770   0.00649350649
        707.410        129.060    0.210970464
        707.410        191.350   0.0589815073
        707.410        332.370    0.869426865
        726.860         57.770   0.00641932514
        726.860        129.060   0.0545532619
        726.860        209.250    0.238368788
        726.860        338.320     0.69698476
        755.320         57.770   0.00405578666
        755.320        129.060   0.00239035303
        755.320        782.140   0.0111501977
        755.320        911.200    0.605989004
        755.320        968.970    0.371471259
        772.290         57.770   0.00641932514
        772.290        129.060   0.0545532619
        772.290        209.250    0.238368788
        772.290        338.320     0.69698476
        782.140         57.770   0.00649350649
        782.140        129.060    0.210970464
        794.950         57.770   0.00347416417
        794.950        270.250     0.51100409
        794.950        328.000    0.451216611
        830.490         57.770   0.00641932514
        830.490        129.060   0.0545532619
        830.490        209.250    0.238368788
        830.490        338.320     0.69698476
        835.710         57.770   0.00649350649
        835.710        129.060    0.210970464
        840.380         57.770   0.00347416417
        840.380        270.250     0.51100409
        840.380        328.000    0.451216611
        904.200         57.770   0.00649350649
        904.200        129.060    0.210970464
        911.200         57.770   0.00649350649
        947.980         57.770   0.00641932514
        947.980        129.060   0.0545532619
        947.980        209.250    0.238368788
        947.980        338.320     0.69698476
        958.610         57.770   0.00649350649
        964.770         57.770   0.00649350649
       1033.250         57.770   0.00649350649
       1065.180         57.770   0.00649350649
       1095.680         57.770   0.00649350649
       1110.610         57.770   0.00649350649
       1110.610        129.060    0.210970464
       1247.080         57.770   0.00641932514
       1247.080        129.060   0.0545532619
       1247.080        209.250    0.238368788
       1247.080        338.320     0.69698476
       1459.140         57.770   0.00649350649
       1459.140        129.060    0.210970464
       1495.910         57.770   0.00649350649
       1495.910        129.060    0.210970464
       1501.570         57.770   0.00649350649
       1501.570        129.060    0.210970464
       1557.110         57.770   0.00649350649
       1557.110        129.060    0.210970464
       1580.530         57.770   0.00649350649
       1588.200         57.770   0.00649350649
       1625.060         57.770   0.00649350649
       1630.630         57.770   0.00649350649
       1666.520         57.770   0.00649350649

=== U-235 (ключ 235U): пар 9 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
         19.590        143.760     0.14228726
         19.590        185.710    0.744569649
         64.350        143.760    0.137373089
         64.350        182.520   0.0912026521
         64.350        185.710    0.718854471
         64.350        194.940   0.00325280407
         64.350        202.110    0.236890005
        202.110        143.760     0.14228726
        202.110        185.710    0.744569649

=== Sc-44 (ключ 44SC): пар 1 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
       1499.460       1157.020    0.999930805

=== Co-57 (ключ 57CO): пар 2 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
        122.061         14.413     0.10460251
        692.030         14.413     0.10460251

=== Co-60 (ключ 60CO): пар 1 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
       1173.228       1332.492    0.999837526

=== Y-88 (ключ 88Y): пар 1 ===
   носитель, кэВ   партнёр, кэВ      P(B|A)
        898.042       1836.063    0.999607154

замена долей по схеме (S176): пар по схеме 528, осталось с долей поставки 16, носителей без перехода 0; худшее отношение схема/поставка 0.008499 на паре 304.200+934.061
ПРИМЕЧАНИЕ БАЗЫ: 152EU: доли по схеме уровней у 69 пар из 71 (S176), у 2 осталась доля поставки, носителей без перехода в схеме 0 | 214BI: доли по схеме уровней у 122 пар из 129 (S176), у 7 осталась доля поставки, носителей без перехода в схеме 0 | 228AC: доли по схеме уровней у 238 пар из 245 (S176), у 7 осталась доля поставки, носителей без перехода в схеме 0
сверка с эталоном: пар 544, проверено 544, расхождений 0, худшее Δ 4.24E-012 (214BI:280.950:786.100)
СОШЛОСЬ
