variant,spectrum,det,mode_base,mode_new,d_max_kev,d_max_fwhm,lines,worst_base,worst_new,sum_base,sum_new,verdict
snap_df_1.json,ASN3_Tile,ASN3,stored/grp,stored/robust/grp,0.0,0.0,12,-1.117,-1.117,4.188,4.188,ровно
snap_df_1.json,ASN8_Am241,ASN8_8192,affine/grp,stored/grp,36.974,1.092,5,-0.943,-1.21,1.787,2.28,ХУЖЕ
snap_df_1.json,G1S16_Am241_P25,G1S16,affine/grp,stored/grp,33.918,1.333,5,1.1,1.281,3.383,3.814,ХУЖЕ
snap_df_1.json,G1S16_Ba133_P5,G1S16,gain,gain,2.643,0.039,5,-1.038,-1.027,1.565,1.552,ровно
snap_df_1.json,G1S16_Cd109_P25,G1S16,gain/grp,gain/grp,1.832,0.021,4,-0.732,-0.721,1.18,1.189,ровно
snap_df_1.json,G1S16_Cd109_P5,G1S16,gain/grp,gain/grp,85.055,1.133,4,-1.138,1.046,2.182,1.535,лучше
snap_df_1.json,G1S16_Ce139_P5,G1S16,gain/grp,affine/grp,27.401,0.719,4,1.102,0.925,1.369,1.012,лучше
snap_df_1.json,G1S16_Co60_P25,G1S16,affine/grp,gain,29.747,3.343,7,1.087,0.998,2.591,2.157,лучше
snap_df_1.json,G1S16_Mn54_P25,G1S16,gain,affine/grp,10.749,0.914,5,1.127,1.189,1.462,1.516,ХУЖЕ
snap_df_1.json,G1S16_Na22_P5,G1S16,affine/grp,affine,64.802,2.884,9,1.114,1.015,4.691,5.086,лучше
snap_df_1.json,G1S16_Th228_P5,G1S16,poly2/grp,poly2/grp,0.865,0.153,8,0.945,0.934,1.579,1.554,ровно
snap_df_1.json,G1S16_Y88_P25,G1S16,gain/recal/grp,gain/recal/grp,0.046,0.0,9,-1.095,-1.095,1.707,1.708,ровно
snap_df_1.json,G1S16_Y88_P5,G1S16,affine/grp,gain/grp,14.492,1.708,5,0.85,0.701,1.138,1.108,лучше
snap_df_1.json,G1S24_Am241_P5,G1S24,affine/recal/grp,affine/recal/grp,31.372,0.343,5,-1.107,-0.984,2.859,2.524,лучше
snap_df_1.json,G1S24_Ba133_P5,G1S24,affine/grp,gain,5.181,0.292,5,-0.95,-0.942,1.325,1.36,ровно
snap_df_1.json,G1S24_Co60_P5,G1S24,affine/grp,affine,2.71,0.501,7,0.166,0.195,0.581,0.569,ровно
snap_df_1.json,G1S24_Cs137_Denta120_2,G1S24,affine,affine/grp,6.47,0.951,5,-0.597,-0.63,0.942,1.081,ровно
snap_df_1.json,G1S24_Cs137_Mar,G1S24,affine,stored/grp,43.933,1.894,2,0.075,-0.107,0.08,0.134,ровно
snap_df_1.json,G1S24_Cs137_Mar_2,G1S24,affine,affine/grp,0.877,0.23,6,1.112,1.138,2.842,2.902,ровно
snap_df_1.json,G1S24_Cs137_P5,G1S24,affine/grp,affine/grp,0.787,0.076,3,0.475,0.465,0.629,0.624,ровно
snap_df_1.json,G1S24_Cs137_Petri,G1S24,poly2,gain,52.66,0.97,5,-0.97,-1.064,2.169,2.553,ХУЖЕ
snap_df_1.json,G1S24_K40_Mar,G1S24,stored,stored/grp,0.0,0.0,7,-1.105,-1.105,3.159,3.159,ровно
snap_df_1.json,G1S24_K40_Mar_2,G1S24,gain/grp,gain,9.196,0.092,3,-0.958,-1.014,1.044,1.077,ХУЖЕ
snap_df_1.json,G1S24_K40_Petri,G1S24,poly2/grp,poly2/grp,2.128,0.39,8,-1.125,-1.102,2.392,2.385,ровно
snap_df_1.json,G1S24_K40_Petri_2,G1S24,gain,gain/grp,14.257,0.12,5,-1.111,-1.179,1.966,2.172,ХУЖЕ
snap_df_1.json,G1S24_Na22_P25,G1S24,gain/grp,gain/grp,3.637,0.034,4,0.245,0.271,0.64,0.607,ровно
snap_df_1.json,G1S24_Ra226_Denta120_2,G1S24,affine,affine/grp,0.192,0.041,13,-0.377,-0.364,1.156,1.154,ровно
snap_df_1.json,G1S24_Zn65_P5,G1S24,affine/grp,gain,5.109,1.079,3,-0.367,-0.509,0.461,0.544,ХУЖЕ
snap_df_1.json,HPGeGEM_K40,HPGE_GEM,gain/grp,stored/grp,1.048,0.375,3,-0.65,-0.419,0.958,0.885,лучше
snap_df_1.json,OBS_UGlass,OBS,affine/grp,affine/grp,22.87,1.595,7,1.157,1.397,4.088,4.411,ХУЖЕ
snap_df_1.json,RC103_Charoite,RC103,affine/robust/grp,affine/robust,17.707,0.426,6,0.363,0.483,0.825,1.053,ХУЖЕ
