rule,spectrum,det,n,tag_base,tag_rule,d_max_kev,d_max_fwhm
df:1/nu1,ASN16_Lu176_P0,ASN16,4,poly1,stored,167.6458,2.2588
df:1/nu1,G1S16_Ba133_P25,G1S16,5,poly2,affine,149.821,2.0883
df:1/nu1,G1S16_Co60_P5,G1S16,5,poly2,gain,118.4398,1.1833
df:1/nu1,G1S24_K40_Denta120_2,G1S24,4,poly2,gain,33.298,0.7946
df:1.5/nu1,ASN16_Lu176_P0,ASN16,4,poly1,stored,167.6458,2.2588
df:1.5/nu1,G1S16_Ba133_P25,G1S16,5,poly2,affine,149.821,2.0883
df:1.5/nu1,G1S16_Co60_P5,G1S16,5,poly2,gain,118.4398,1.1833
df:1.5/nu1,G1S24_K40_Denta120_2,G1S24,4,poly2,gain,33.298,0.7946
df:2/nu1,ASN16_Lu176_P0,ASN16,4,poly1,stored,167.6458,2.2588
df:2/nu1,G1S16_Ba133_P25,G1S16,5,poly2,affine,149.821,2.0883
df:2/nu1,G1S16_Co60_P5,G1S16,5,poly2,gain,118.4398,1.1833
df:2/nu1,G1S24_K40_Denta120_2,G1S24,4,poly2,gain,33.298,0.7946
df:3/nu1,ASN16_Lu176_P0,ASN16,4,poly1,stored,167.6458,2.2588
df:3/nu1,G1S16_Ba133_P25,G1S16,5,poly2,affine,149.821,2.0883
df:3/nu1,G1S16_Co60_P5,G1S16,5,poly2,gain,118.4398,1.1833
df:3/nu1,G1S16_Th228_P5,G1S16,6,poly2,affine,3.2997,0.8055
df:3/nu1,G1S16_Th232_Petri,G1S16,7,poly2,affine,5.778,0.9821
df:3/nu1,G1S24_K40_Denta120_2,G1S24,4,poly2,gain,33.298,0.7946
df:3/nu1,G1S24_Ra226_Petri,G1S24,10,poly2,affine,86.9729,0.9291
df:3/nu1,G1S24_Th232_Mar,G1S24,9,poly2,stored,45.7327,0.4536
df:4/nu1,ASN16_Lu176_P0,ASN16,4,poly1,stored,167.6458,2.2588
df:4/nu1,G1S16_Ba133_P25,G1S16,5,poly2,affine,149.821,2.0883
df:4/nu1,G1S16_Co60_P5,G1S16,5,poly2,gain,118.4398,1.1833
df:4/nu1,G1S16_Th228_P5,G1S16,6,poly2,affine,3.2997,0.8055
df:4/nu1,G1S16_Th232_Petri,G1S16,7,poly2,affine,5.778,0.9821
df:4/nu1,G1S24_K40_Denta120,G1S24,8,poly2,affine,33.8216,0.7492
df:4/nu1,G1S24_K40_Denta120_2,G1S24,4,poly2,gain,33.298,0.7946
df:4/nu1,G1S24_Ra226_Petri,G1S24,10,poly2,affine,86.9729,0.9291
df:4/nu1,G1S24_Th232_Mar,G1S24,9,poly2,stored,45.7327,0.4536
df:8/nu1,ASN16_Lu176_P0,ASN16,4,poly1,stored,167.6458,2.2588
df:8/nu1,G1S16_Ba133_P25,G1S16,5,poly2,affine,149.821,2.0883
df:8/nu1,G1S16_Co60_P5,G1S16,5,poly2,gain,118.4398,1.1833
df:8/nu1,G1S16_Th228_P5,G1S16,6,poly2,affine,3.2997,0.8055
df:8/nu1,G1S16_Th232_Petri,G1S16,7,poly2,affine,5.778,0.9821
df:8/nu1,G1S24_K40_Denta120,G1S24,8,poly2,affine,33.8216,0.7492
df:8/nu1,G1S24_K40_Denta120_2,G1S24,4,poly2,gain,33.298,0.7946
df:8/nu1,G1S24_Ra226_Petri,G1S24,10,poly2,affine,86.9729,0.9291
df:8/nu1,G1S24_Th232_Mar,G1S24,9,poly2,stored,45.7327,0.4536
